timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
38493899,38493,1,1,1,0,0,0,0,0
39002536,38493,1,1,1,0,0,0,0,0
39513928,38493,1,1,1,0,0,0,0,0
40014310,38493,1,1,1,0,0,0,0,0
40523365,38493,1,1,1,0,0,0,0,0
41032474,38493,1,1,1,0,0,0,0,0
41539307,38493,1,1,1,0,0,0,0,0
42049308,38493,1,1,1,0,0,0,0,0
42558727,38493,1,1,1,0,0,0,0,0
43069467,38493,1,1,1,0,0,0,0,0
43570353,38493,1,1,1,0,0,0,0,0
44070531,38493,1,1,1,0,0,0,0,0
44571349,38493,1,1,1,0,0,0,0,0
45071493,38493,1,1,1,0,0,0,0,0
45572308,38493,1,1,1,0,0,0,0,0
46080306,38493,1,1,1,0,0,0,0,0
46591307,38493,1,1,1,0,0,0,0,0
47097651,38493,1,1,1,0,0,0,0,0
47607440,38493,1,1,1,0,0,0,0,0
48108069,38493,1,1,1,0,0,0,0,0
48614311,38493,1,1,1,0,0,0,0,0
49122353,38493,1,1,1,0,0,0,0,0
49632568,38493,1,1,1,0,0,0,0,0
50132899,38493,1,1,1,0,0,0,0,0
50640600,38493,1,1,1,0,0,0,0,0
51150354,38493,1,1,1,0,0,0,0,0
51658427,38493,1,1,1,0,0,0,0,0
52167400,38493,1,1,1,0,0,0,0,0
52676359,38493,1,1,1,0,0,0,0,0
53178357,38493,1,1,1,0,0,0,0,0
53679310,38493,1,1,1,0,0,0,0,0
54187398,38493,1,1,1,0,0,0,0,0
54698306,38493,1,1,1,0,0,0,0,0
55206353,38493,1,1,1,0,0,0,0,0
55717893,38493,1,1,1,0,0,0,0,0
56228496,38493,1,1,1,0,0,0,0,0
56730359,38493,1,1,1,0,0,0,0,0
57236689,38493,1,1,1,0,0,0,0,0
57737437,38493,1,1,1,0,0,0,0,0
58242414,38493,1,1,1,0,0,0,0,0
58750405,38493,1,1,1,0,0,0,0,0
59251304,38493,1,1,1,0,0,0,0,0
59761465,38493,1,1,1,0,0,0,0,0
60271953,38493,1,1,1,0,0,0,0,0
60779889,38493,1,1,1,0,0,0,0,0
61286476,38493,1,1,1,0,0,0,0,0
61797395,38493,1,1,1,0,0,0,0,0
62305839,38493,1,1,1,0,0,0,0,0
62815322,38493,1,1,1,0,0,0,0,0
63323308,38493,1,1,1,0,0,0,0,0
63835059,38493,1,1,1,0,0,0,0,0
64343352,38493,1,1,1,0,0,0,0,0
