timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
143195974,1611122789799766,340362542,1087608231,421910,394001,0.21400002,0.36095852,0.68600005,0.95400006,0.65999997,1.02,117,9,0.026,0.021000002,0.014,0.022000002,5.091099,0,nan,0.0,4,1,17
143398015,1611122789999767,340362546,1087608228,421971,394061,0.254,0.3609779,0.68200004,0.95000005,0.65999997,1.02,117,9,0.013,0.011000001,-0.006,0.015000001,5.091099,0,nan,0.0,4,1,17
144195944,1611122790799766,340362557,1087608227,422188,394278,0.23500001,0.36105326,0.666,0.93200004,0.65999997,1.02,117,9,0.021000002,0.016,-0.014,0.020000001,5.091099,0,nan,0.0,4,1,17
145201486,1611122791799765,340362567,1087608228,422492,394582,0.19900002,0.36113268,0.64900005,0.91300005,0.65999997,1.02,117,10,0.029000001,0.025,0.014,-0.035,5.091099,0,nan,0.0,4,1,17
146195992,1611122792799764,340362575,1087608230,422765,394855,0.16000001,0.36121246,0.634,0.896,0.65999997,1.02,117,7,0.015000001,0.014,0.003,-0.010000001,5.091099,0,nan,0.0,4,1,17
147197020,1611122793799763,340362580,1087608230,422869,394960,0.22500001,0.36128995,0.62200004,0.88100004,0.65999997,1.02,117,6,0.011000001,-0.003,-0.011000001,0.052,5.091099,0,nan,0.0,4,1,17
148197093,1611122794799763,340362583,1087608230,422937,395027,0.22600001,0.3613753,0.611,0.86800003,0.65999997,1.02,117,23,0.027,0.024,-0.013,0.078,5.091099,0,nan,0.0,4,1,17
149198047,1611122795799762,340362582,1087608234,422978,395068,0.2,0.3614493,0.601,0.85700005,0.65999997,1.02,117,24,0.026,-0.017,-0.019000001,0.041,5.091099,0,nan,0.0,4,1,17
150196347,1611122796799761,340362580,1087608238,423032,395122,0.21100001,0.3615282,0.592,0.84700006,0.65999997,1.02,117,6,0.042000003,-0.041,0.007,-0.061000004,5.091099,0,nan,0.0,4,1,17
151190978,1611122797799760,340362576,1087608251,423356,395447,0.25800002,0.3616636,0.587,0.84200007,0.65999997,1.02,98,4,0.156,-0.038000003,0.15100001,-0.63900006,5.091099,0,nan,0.0,4,1,17
152185969,1611122798799760,340362575,1087608274,423584,395674,0.15400001,0.6492893,0.59000003,0.84300005,0.65999997,1.02,92,4,0.048,0.037,-0.032,-0.030000001,0.38579854,0,nan,0.0,4,1,17
153188948,1611122799799759,340362582,1087608256,423841,395932,0.14600001,0.31106216,0.578,0.83300006,0.65999997,1.02,92,3,0.453,0.043,-0.45100003,-0.344,4.899738,0,nan,0.0,4,1,17
154190945,1611122800799758,340362598,1087608215,424436,396526,0.13800001,0.23128283,0.573,0.82800007,0.65999997,1.02,92,6,0.67700005,0.147,-0.661,-0.30600002,4.9979525,0,nan,0.0,4,1,17
155186409,1611122801799758,340362610,1087608184,424690,396781,0.17400001,0.4154442,0.56700003,0.82500005,0.65999997,1.02,98,9,0.397,0.21900001,-0.33200002,-0.071,5.15822,0,nan,0.0,4,1,17
