timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
629813246,0.662882,0.00256277,-0.0207404,-0.748432,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
629818210,0.662844,0.00257858,-0.0207001,-0.748467,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
629867870,0.663174,0.00248537,-0.0209084,-0.748169,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
629962226,0.662819,0.00262823,-0.0210168,-0.74848,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630012030,0.663188,0.00279474,-0.0208681,-0.748156,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630066569,0.662768,0.00236022,-0.0207904,-0.748532,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630116173,0.66303,0.00260248,-0.0207358,-0.748301,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630160867,0.662968,0.00259332,-0.0210744,-0.748347,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630215494,0.66295,0.0025584,-0.02078,-0.748371,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630265319,0.663087,0.00291378,-0.0206575,-0.748251,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630314815,0.663207,0.00250408,-0.0209427,-0.748139,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630364475,0.663062,0.00247784,-0.0209582,-0.748267,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630414136,0.663213,0.00283304,-0.0206814,-0.74814,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630463796,0.663356,0.00306114,-0.02041,-0.748019,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630513534,0.663238,0.00324071,-0.0206481,-0.748117,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630568093,0.663453,0.003032,-0.0205179,-0.747931,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630612778,0.663522,0.00320336,-0.0212832,-0.747847,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630662438,0.66361,0.00306657,-0.021458,-0.747765,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630712100,0.663746,0.00297329,-0.021578,-0.747641,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630766737,0.663814,0.00269372,-0.0214552,-0.747585,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630816576,0.663894,0.00232614,-0.0216255,-0.74751,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630861080,0.663872,0.00246227,-0.0217628,-0.747525,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630915707,0.664025,0.00227011,-0.0216508,-0.747393,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
630965368,0.664075,0.00247524,-0.0215516,-0.747351,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631015028,0.664164,0.00268534,-0.0214593,-0.747274,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631064778,0.664163,0.00293435,-0.0213027,-0.747279,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631114349,0.664175,0.00321631,-0.0211724,-0.747271,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631164009,0.664211,0.00316726,-0.0212236,-0.747237,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631213671,0.664162,0.00317705,-0.020999,-0.747287,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631268296,0.664188,0.00302294,-0.0198089,-0.747297,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631312990,0.664352,0.00311678,-0.020363,-0.747136,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631362821,0.664294,0.00363187,-0.0202545,-0.747188,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631412312,0.664629,0.00232569,-0.019401,-0.746918,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631466938,0.664777,0.00352523,-0.0215037,-0.746724,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631516598,0.664671,0.00308004,-0.0210101,-0.746835,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631561293,0.66487,0.00339725,-0.0210382,-0.746655,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631611022,0.665045,0.00309468,-0.019486,-0.746543,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631665580,0.665174,0.0031806,-0.0200964,-0.746412,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631715240,0.665299,0.0031836,-0.0210527,-0.746273,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631764902,0.665034,0.00304498,-0.0206047,-0.746523,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631814567,0.665207,0.00267028,-0.0206749,-0.746368,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631864232,0.665314,0.00336252,-0.0210484,-0.746259,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631913882,0.665518,0.00287792,-0.0197448,-0.746115,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
631963543,0.665599,0.0031186,-0.0206445,-0.746018,-0.997905,5.14513e-10,5.7063e-10,0.0647031,6
