timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
99730246,5.21426,3.29194,1,0,1,0,1,0,0
99740218,5.18364,3.29194,1,0,1,0,1,0,0
100240218,4.94678,3.28872,1,0,1,0,1,0,0
100740231,4.979,3.29355,1,0,1,0,1,0,0
101240346,4.93389,3.29194,1,0,1,0,1,0,0
101740248,4.96772,3.2855,1,0,1,0,1,0,0
102240688,5.19331,3.28872,1,0,1,0,1,0,0
102740305,5.22231,3.29194,1,0,1,0,1,0,0
103240363,5.21587,3.29194,1,0,1,0,1,0,0
103740332,5.19976,3.28711,1,0,1,0,1,0,0
104240217,5.13047,3.28711,1,0,1,0,1,0,0
104740218,5.21587,3.29355,1,0,1,0,1,0,0
105240330,5.22231,3.29194,1,0,1,0,1,0,0
105740294,4.98223,3.28872,1,0,1,0,1,0,0
106240319,4.99834,3.28711,1,0,1,0,1,0,0
106740258,4.97578,3.29194,1,0,1,0,1,0,0
107240269,5.12241,3.28872,1,0,1,0,1,0,0
107740218,5.21909,3.28872,1,0,1,0,1,0,0
108240219,5.22231,3.29194,1,0,1,0,1,0,0
108740486,5.22231,3.29355,1,0,1,0,1,0,0
109240245,4.98867,3.28711,1,0,1,0,1,0,0
109740218,5.21426,3.28872,1,0,1,0,1,0,0
110240432,5.21909,3.29194,1,0,1,0,1,0,0
110740442,5.21587,3.29194,1,0,1,0,1,0,0
111240218,4.99028,3.29033,1,0,1,0,1,0,0
111740221,4.97256,3.2855,1,0,1,0,1,0,0
112240218,5.21748,3.29194,1,0,1,0,1,0,0
112740316,4.97578,3.28711,1,0,1,0,1,0,0
113240280,5.21426,3.28711,1,0,1,0,1,0,0
113740225,5.21104,3.29194,1,0,1,0,1,0,0
114240274,5.20781,3.29194,1,0,1,0,1,0,0
114740228,4.96611,3.28872,1,0,1,0,1,0,0
115240221,5.21265,3.28711,1,0,1,0,1,0,0
115740222,5.20781,3.29355,1,0,1,0,1,0,0
116240224,4.98062,3.29033,1,0,1,0,1,0,0
116740250,4.95967,3.28872,1,0,1,0,1,0,0
117240273,5.20298,3.2855,1,0,1,0,1,0,0
117740237,5.20781,3.29194,1,0,1,0,1,0,0
118240718,4.98384,3.29194,1,0,1,0,1,0,0
118740248,5.19976,3.28872,1,0,1,0,1,0,0
119240245,5.19814,3.29355,1,0,1,0,1,0,0
119740367,5.12241,3.29194,1,0,1,0,1,0,0
120240218,5.20298,3.29033,1,0,1,0,1,0,0
120740225,5.19814,3.28711,1,0,1,0,1,0,0
121241085,4.97256,3.29194,1,0,1,0,1,0,0
121740377,5.19976,3.29194,1,0,1,0,1,0,0
122240273,5.19653,3.2855,1,0,1,0,1,0,0
122740255,4.94678,3.2855,1,0,1,0,1,0,0
123240263,4.9645,3.29194,1,0,1,0,1,0,0
123740319,4.94839,3.29194,1,0,1,0,1,0,0
124240225,5.19492,3.28872,1,0,1,0,1,0,0
124740385,5.19331,3.29355,1,0,1,0,1,0,0
125240309,5.14658,3.29355,1,0,1,0,1,0,0
125740219,5.1917,3.29033,1,0,1,0,1,0,0
126240316,5.14175,3.28872,1,0,1,0,1,0,0
126740295,4.95806,3.29194,1,0,1,0,1,0,0
127240329,5.19814,3.29194,1,0,1,0,1,0,0
127740234,5.19492,3.28872,1,0,1,0,1,0,0
128240222,5.19331,3.2855,1,0,1,0,1,0,0
128740256,5.19814,3.29194,1,0,1,0,1,0,0
129241921,5.1772,3.29194,1,0,1,0,1,0,0
129740267,5.19814,3.28872,1,0,1,0,1,0,0
130240239,5.19976,3.29194,1,0,1,0,1,0,0
130740306,5.04829,3.29194,1,0,1,0,1,0,0
131240489,4.95645,3.29033,1,0,1,0,1,0,0
131740218,5.18525,3.28872,1,0,1,0,1,0,0
132240250,5.19492,3.29194,1,0,1,0,1,0,0
132740237,5.19492,3.29194,1,0,1,0,1,0,0
133240228,5.19653,3.28872,1,0,1,0,1,0,0
133740263,5.14014,3.28872,1,0,1,0,1,0,0
134240232,4.99512,3.29194,1,0,1,0,1,0,0
134740387,5.19331,3.29033,1,0,1,0,1,0,0
135240217,5.19814,3.29033,1,0,1,0,1,0,0
135740349,5.19331,3.29194,1,0,1,0,1,0,0
136240218,5.17075,3.29355,1,0,1,0,1,0,0
136740320,5.19492,3.28872,1,0,1,0,1,0,0
137240249,5.19976,3.28711,1,0,1,0,1,0,0
137740465,4.95967,3.29355,1,0,1,0,1,0,0
138240507,5.20459,3.29194,1,0,1,0,1,0,0
138740233,5.19976,3.28872,1,0,1,0,1,0,0
139240217,5.05635,3.2855,1,0,1,0,1,0,0
139740219,5.19492,3.29194,1,0,1,0,1,0,0
140241201,5.19653,3.29194,1,0,1,0,1,0,0
140740302,5.19009,3.29033,1,0,1,0,1,0,0
141240289,5.18687,3.29194,1,0,1,0,1,0,0
141741250,5.19653,3.29194,1,0,1,0,1,0,0
142240217,5.20137,3.28872,1,0,1,0,1,0,0
142740218,5.19492,3.28711,1,0,1,0,1,0,0
