timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
99680369,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100183018,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100690008,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101198145,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101706002,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102214082,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102721974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103231037,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103738228,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
104246863,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
104753506,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
105260994,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
105770096,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
106279089,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
106786112,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
107295870,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
107802531,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
108309139,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
108816973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
109325308,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
109833053,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
110340974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
110841302,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
111347988,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
111855975,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
112363056,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
112869077,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
113377972,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
113886459,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
114392976,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
114902047,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
115412078,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
115918975,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
116425976,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
116935027,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
117442122,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
117947973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
118456136,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
118962977,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
119469008,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
119977014,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
120485869,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
120994058,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
121502019,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
122010014,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
122515982,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
123024325,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
123531010,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
124039995,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
124549202,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
125056005,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
125564479,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
126071159,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
126578974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
127087011,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
127594979,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
128095033,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
128596743,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
129098006,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
129601000,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
130103975,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
130612026,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
131120234,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
131627977,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
132137074,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
132644972,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
133151120,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
133660592,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
134168269,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
134674976,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135183159,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135690291,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
136198280,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
136705974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
137215050,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
137722975,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
138232101,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
138739975,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
139248994,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
139756234,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
140266471,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
140774123,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
141282098,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
141791033,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
142299017,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
142807037,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
143317117,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
143823974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
144332056,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
144840978,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
145349044,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
145858320,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
146366041,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
146874011,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
147381004,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
147887973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
148395176,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
148902036,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
149411029,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
149916997,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
150422973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
150931976,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
151439985,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
151948071,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
152456019,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
152966218,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
153474100,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
153980973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
154487141,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
154995358,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
155503068,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
156011975,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
156519974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
157028040,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
157534974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
158042052,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
158553225,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
159062479,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
159570977,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
160077994,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
160587132,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
161094978,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
161601973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
162109114,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
