timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
174743318,0.0691148,0.304958,0.395754
174754453,0.0629528,0.304958,0.395754
174933375,0.0814389,0.322872,0.47021
175145568,0.0845199,0.322872,0.47021
175346532,0.0876009,0.304958,0.413624
175547630,0.0660338,0.310929,0.431493
175748826,0.0814389,0.3169,0.434471
175938787,0.0721959,0.310929,0.437449
176139909,0.093763,0.310929,0.431493
176341711,0.096844,0.313915,0.440428
176543147,0.0845199,0.304958,0.410645
176744561,0.0691148,0.310929,0.428515
176945761,0.0845199,0.3169,0.440428
177146767,0.0814389,0.301972,0.407667
177336765,0.093763,0.313915,0.443406
177537802,0.0783579,0.307943,0.428515
177738860,0.0691148,0.304958,0.392776
177940122,0.0691148,0.304958,0.395754
178141296,0.0660338,0.304958,0.395754
178342232,0.0660338,0.307943,0.395754
178543162,0.0691148,0.307943,0.395754
178744526,0.0660338,0.304958,0.398732
178934511,0.0629528,0.304958,0.395754
179136707,0.0660338,0.304958,0.395754
179337702,0.0660338,0.304958,0.395754
179538877,0.0629528,0.304958,0.392776
179739951,0.0660338,0.304958,0.398732
179941200,0.0691148,0.304958,0.392776
180142216,0.0660338,0.307943,0.398732
180343255,0.0660338,0.304958,0.395754
180544280,0.0660338,0.307943,0.395754
180745625,0.0660338,0.307943,0.395754
180946566,0.0660338,0.307943,0.398732
181136696,0.0660338,0.304958,0.389798
181337841,0.0629528,0.304958,0.389798
181538978,0.0691148,0.307943,0.392776
181740081,0.0629528,0.304958,0.392776
181942167,0.0660338,0.304958,0.398732
182143525,0.0691148,0.307943,0.395754
182344570,0.0691148,0.304958,0.395754
182545525,0.0691148,0.304958,0.398732
182746716,0.0660338,0.307943,0.395754
182936770,0.0660338,0.304958,0.395754
183137842,0.0629528,0.301972,0.401711
183338904,0.0691148,0.301972,0.395754
183540083,0.0783579,0.301972,0.392776
183741252,0.090682,0.301972,0.398732
183942362,0.099925,0.298987,0.401711
184143214,0.096844,0.298987,0.404689
184344459,0.0845199,0.301972,0.398732
184545610,0.0783579,0.304958,0.395754
184735513,0.0783579,0.307943,0.401711
184948594,0.0691148,0.307943,0.395754
185139002,0.0691148,0.310929,0.38682
185340133,0.0691148,0.310929,0.392776
185541219,0.0721959,0.307943,0.395754
185742311,0.0660338,0.307943,0.392776
185943365,0.0629528,0.307943,0.395754
186144546,0.0567908,0.304958,0.395754
186345558,0.0598718,0.307943,0.398732
186546875,0.0629528,0.307943,0.392776
186736804,0.0660338,0.304958,0.398732
186937903,0.0721959,0.304958,0.395754
187139009,0.0721959,0.301972,0.398732
187340104,0.0752769,0.304958,0.395754
187541273,0.0752769,0.310929,0.38682
187743574,0.0783579,0.307943,0.395754
187944551,0.0814389,0.304958,0.398732
188145653,0.0814389,0.301972,0.398732
188335834,0.090682,0.301972,0.398732
188536868,0.096844,0.298987,0.395754
188738096,0.103006,0.301972,0.398732
188939010,0.099925,0.304958,0.392776
189140227,0.099925,0.307943,0.392776
189341301,0.103006,0.310929,0.38682
189542371,0.099925,0.310929,0.389798
189743515,0.0752769,0.307943,0.395754
189933395,0.0691148,0.304958,0.395754
190145730,0.0629528,0.319886,0.389798
190335710,0.0567908,0.334814,0.38682
190548708,0.0598718,0.310929,0.38682
190738975,0.0721959,0.301972,0.404689
190940253,0.0598718,0.304958,0.398732
191141434,0.0629528,0.304958,0.398732
191342498,0.0629528,0.304958,0.401711
191543630,0.0660338,0.301972,0.401711
191744658,0.0691148,0.304958,0.404689
191945705,0.0721959,0.307943,0.395754
192146876,0.0721959,0.310929,0.398732
192336886,0.0721959,0.304958,0.395754
192537865,0.0660338,0.310929,0.395754
192738929,0.0660338,0.307943,0.395754
192940408,0.0660338,0.307943,0.398732
193141309,0.0691148,0.307943,0.398732
193342357,0.0752769,0.304958,0.398732
193544646,0.099925,0.304958,0.392776
193745956,0.099925,0.307943,0.395754
193935917,0.0876009,0.307943,0.395754
194136813,0.0814389,0.307943,0.395754
194337987,0.0752769,0.307943,0.395754
194539303,0.0629528,0.304958,0.395754
194740314,0.0629528,0.304958,0.404689
194941248,0.0752769,0.307943,0.395754
195142413,0.0783579,0.307943,0.398732
195343467,0.0691148,0.307943,0.398732
195544787,0.0752769,0.307943,0.395754
195734480,0.0660338,0.307943,0.404689
195935743,0.0691148,0.307943,0.398732
196136966,0.0845199,0.307943,0.398732
196339312,0.0814389,0.307943,0.398732
196540379,0.0814389,0.322872,0.380863
196741415,0.096844,0.3169,0.395754
196942655,0.096844,0.310929,0.395754
197143655,0.090682,0.3169,0.395754
197333512,0.0752769,0.319886,0.392776
197545790,0.0629528,0.310929,0.392776
197735918,0.0691148,0.307943,0.395754
197948246,0.0660338,0.307943,0.395754
198138715,0.0691148,0.307943,0.395754
198340362,0.0721959,0.310929,0.398732
198541574,0.0691148,0.307943,0.395754
198742772,0.0691148,0.307943,0.398732
198943706,0.0691148,0.307943,0.395754
199134840,0.0783579,0.310929,0.395754
199347218,0.0783579,0.307943,0.395754
199548346,0.0783579,0.307943,0.389798
199738485,0.0783579,0.310929,0.395754
199939418,0.0752769,0.310929,0.395754
200140579,0.0814389,0.307943,0.398732
200341935,0.0876009,0.310929,0.395754
200542863,0.090682,0.307943,0.395754
200743937,0.0876009,0.301972,0.401711
200945084,0.0721959,0.304958,0.401711
201146155,0.0660338,0.304958,0.395754
201336083,0.0660338,0.304958,0.401711
201537253,0.0721959,0.310929,0.398732
201738393,0.0721959,0.304958,0.401711
201939397,0.0721959,0.307943,0.404689
202141667,0.0721959,0.307943,0.401711
202343038,0.0752769,0.310929,0.398732
202543863,0.0721959,0.310929,0.395754
202744952,0.0721959,0.310929,0.392776
202935085,0.0691148,0.307943,0.401711
203147497,0.0691148,0.310929,0.398732
203337310,0.0721959,0.307943,0.395754
203538412,0.0845199,0.304958,0.398732
203739442,0.0814389,0.301972,0.404689
203940583,0.0783579,0.301972,0.407667
204141772,0.0845199,0.304958,0.401711
204342745,0.0845199,0.307943,0.401711
204543803,0.0814389,0.310929,0.392776
204745111,0.0752769,0.313915,0.395754
204935837,0.0721959,0.3169,0.392776
205137184,0.0598718,0.310929,0.395754
205338516,0.0444667,0.310929,0.398732
205539685,0.0413857,0.310929,0.395754
205740847,0.0444667,0.304958,0.407667
205941840,0.0506287,0.304958,0.410645
206142955,0.0598718,0.304958,0.404689
206344117,0.0629528,0.304958,0.404689
206545096,0.0721959,0.307943,0.395754
206746091,0.0814389,0.307943,0.395754
206947393,0.093763,0.310929,0.401711
207137380,0.099925,0.313915,0.395754
207349606,0.090682,0.3169,0.398732
207539547,0.0845199,0.3169,0.392776
207741432,0.0721959,0.310929,0.401711
207943121,0.0660338,0.307943,0.404689
208144102,0.0660338,0.310929,0.398732
208345181,0.0660338,0.310929,0.401711
208546223,0.0814389,0.307943,0.395754
208747525,0.0721959,0.319886,0.38682
208948593,0.0721959,0.322872,0.383841
209138470,0.0814389,0.319886,0.395754
209339608,0.090682,0.310929,0.398732
209540769,0.093763,0.310929,0.389798
209741787,0.093763,0.313915,0.395754
209943092,0.090682,0.313915,0.392776
210144220,0.0876009,0.310929,0.398732
210345280,0.0876009,0.313915,0.395754
