timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
25649265,0.0,0.0,0.0,0.0
25651768,0.0,0.0,0.0,0.0
25850544,0.0,0.0,0.0,0.0
26050360,0.0,0.0,0.0,0.0
26250289,0.0,0.0,0.0,0.0
26448980,0.0,0.0,0.0,0.0
26649035,0.0,0.0,0.0,0.0
26851324,8.24396e-05,0.000236215,7.59442e-06,0.0
27051253,0.00145663,0.00259558,-5.63643e-06,0.0
27251204,0.00267544,0.00471981,8.9353e-05,0.0
27449928,0.00413593,0.00718898,0.000243864,0.0
27649795,0.00537303,0.00957137,0.000467614,0.0
27849730,0.00661168,0.0119578,0.000769446,0.0
28052141,0.0074354,0.0140211,0.00125957,0.0
28252154,0.0078941,0.0157082,0.00176759,0.0
28450755,0.00766922,0.0167045,0.0021879,0.0
28650695,0.00709413,0.0172773,0.00206685,0.0
28850620,0.00534957,0.0178963,-0.000747951,0.0
29049398,0.000533382,0.0177537,-0.00690574,0.0
29249240,-0.00176526,0.0116949,-0.0132226,0.0
29452903,-0.0038286,0.00774985,-0.0167776,0.0
29651575,-0.0100524,0.00651133,-0.0187343,0.0
29851547,-0.00600159,0.00367116,-0.0208855,0.0
30051452,-0.00816243,0.00149185,-0.0235881,0.0
30251379,-0.0132918,-0.003114,-0.0257949,0.0
30450054,-0.0173821,-0.00400178,-0.0280831,0.0
30649986,-0.0203072,-0.00679317,-0.0305505,0.0
30852410,-0.0228379,-0.00143545,-0.0333402,0.0
31052327,-0.0236181,-0.00767232,-0.0354307,0.0
31251010,-0.0249425,-0.00766715,-0.0366965,0.0
31450948,-0.0235212,-0.00706125,-0.0365316,0.0
31650888,-0.0236446,-0.00764742,-0.0351492,0.0
31849566,-0.031028,-0.00755075,-0.0337649,0.0
32049702,-0.0276447,-0.00941665,-0.0321825,0.0
32251909,-0.0257148,-0.0110731,-0.0321288,0.0
32451850,-0.0190549,-0.0126664,-0.0321968,0.0
32651762,-0.0223756,-0.013616,-0.0331987,0.0
32850637,-0.0276998,-0.00904122,-0.0344386,0.0
33050384,-0.0343761,-0.00541943,-0.0349056,0.0
33250328,-0.036629,-0.00330166,-0.0348816,0.0
33449008,-0.0319159,-0.00836366,-0.0342547,0.0
33652772,-0.0301574,-0.0128281,-0.0336073,0.0
33851351,-0.028559,-0.0157123,-0.0331004,0.0
34051280,-0.0289254,-0.0202214,-0.0323731,0.0
