timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
16680225,4.751,1.732,536,-10000,-9420,-10000,-9420,0,0,0,0,1075,1099,1075,1099,1500,1500,0,0,1495,1500,1094,1921,1505,1086,1087,1090,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
17701193,4.744,1.638,536,-6392,-10000,-6392,-10000,0,0,0,0,1232,1075,1232,1075,1500,1500,0,0,1497,1500,1092,1457,1505,1086,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
18720242,4.713,1.722,536,-10000,-6392,-10000,-6392,0,0,0,0,1075,1232,1075,1232,1500,1500,0,0,1497,1501,1092,1458,1503,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
19731292,4.751,1.729,536,-7782,-8770,-8024,-8128,0,0,0,0,1171,1128,1160,1156,1500,1500,0,0,1497,1500,1093,1466,1503,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
20750107,4.727,1.692,536,-10000,-6352,-10000,-6352,0,0,0,0,1075,1234,1075,1234,1500,1500,0,0,1498,1500,1093,1457,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
21763962,4.715,1.753,536,-10000,-6392,-10000,-6392,0,0,0,0,1075,1232,1075,1232,1500,1500,0,0,1497,1500,1093,1457,1504,1086,1087,1088,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
22782687,4.749,1.73,536,-6110,-9718,-7934,-6392,0,0,0,0,1244,1086,1075,1232,1500,1500,0,0,1508,1500,1093,1457,1504,1086,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
23796778,4.674,1.664,536,-9878,-6458,-7666,-2838,0,0,0,0,1079,1229,1176,1387,1500,1500,0,0,1496,1503,1170,1471,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
24807787,4.734,1.623,536,-7375,-1857,-2165,-6235,0,0,0,0,1189,1430,1417,1239,1500,1500,0,0,1519,1503,1277,1509,1504,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
25821910,4.713,1.732,536,-321,-5659,-3052,-820,0,0,0,0,1497,1256,1378,1476,1500,1500,0,0,1518,1489,1375,1510,1505,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
