timestamp,safety_switch_available,safety_off,override_available,override_enabled
16028518,1,1,0,0
17032124,1,1,0,0
18051236,1,1,0,0
19052390,1,1,0,0
20066111,1,1,0,0
21077305,1,1,0,0
22088612,1,1,0,0
23107613,1,1,0,0
24121263,1,1,0,0
25122501,1,1,0,0
26133855,1,1,0,0
27145118,1,1,0,0
28156414,1,1,0,0
29167721,1,1,0,0
30179029,1,1,0,0
31180302,1,1,0,0
32191610,1,1,0,0
33192962,1,1,0,0
34211912,1,1,0,0
35225624,1,1,0,0
36236944,1,1,0,0
37238075,1,1,0,0
38249501,1,1,0,0
39250704,1,1,0,0
40251967,1,1,0,0
41271011,1,1,0,0
42284555,1,1,0,0
43295973,1,1,0,0
44307151,1,1,0,0
45328458,1,1,0,0
46339815,1,1,0,0
47351068,1,1,0,0
48352344,1,1,0,0
49353614,1,1,0,0
50372648,1,1,0,0
51386254,1,1,0,0
52405223,1,1,0,0
53418877,1,1,0,0
54433493,1,1,0,0
55451409,1,1,0,0
56460481,1,1,0,0
57461659,1,1,0,0
58475331,1,1,0,0
59480111,1,1,0,0
60495635,1,1,0,0
61516844,1,1,0,0
62530445,1,1,0,0
63541736,1,1,0,0
64556723,1,1,0,0
65574406,1,1,0,0
66575674,1,1,0,0
67586976,1,1,0,0
68588238,1,1,0,0
69589467,1,1,0,0
70608392,1,1,0,0
71619709,1,1,0,0
72623309,1,1,0,0
73634532,1,1,0,0
74635903,1,1,0,0
75650359,1,1,0,0
76658340,1,1,0,0
77669714,1,1,0,0
78690895,1,1,0,0
79702181,1,1,0,0
80711173,1,1,0,0
81718250,1,1,0,0
82726048,1,1,0,0
83737197,1,1,0,0
84756332,1,1,0,0
85769747,1,1,0,0
86770998,1,1,0,0
87782299,1,1,0,0
88791260,1,1,0,0
89794762,1,1,0,0
90796097,1,1,0,0
91807279,1,1,0,0
92808507,1,1,0,0
93819768,1,1,0,0
94831028,1,1,0,0
95852312,1,1,0,0
96863569,1,1,0,0
97864852,1,1,0,0
98873835,1,1,0,0
99887290,1,1,0,0
100902106,1,1,0,0
101909810,1,1,0,0
102931093,1,1,0,0
103942344,1,1,0,0
104953545,1,1,0,0
105964779,1,1,0,0
106983720,1,1,0,0
107994950,1,1,0,0
109003251,1,1,0,0
110003310,1,1,0,0
111020980,1,1,0,0
112022204,1,1,0,0
113033431,1,1,0,0
114044669,1,1,0,0
115050663,1,1,0,0
116057152,1,1,0,0
117068496,1,1,0,0
118087312,1,1,0,0
119100870,1,1,0,0
120112144,1,1,0,0
121133391,1,1,0,0
122134570,1,1,0,0
123135890,1,1,0,0
124147011,1,1,0,0
125168272,1,1,0,0
126179515,1,1,0,0
127198382,1,1,0,0
128211937,1,1,0,0
129223208,1,1,0,0
130244381,1,1,0,0
131265656,1,1,0,0
132276857,1,1,0,0
133278066,1,1,0,0
134292960,1,1,0,0
135313907,1,1,0,0
136321690,1,1,0,0
137326514,1,1,0,0
138344155,1,1,0,0
139345369,1,1,0,0
140346502,1,1,0,0
141357704,1,1,0,0
142368966,1,1,0,0
143377773,1,1,0,0
144381343,1,1,0,0
145390218,1,1,0,0
146403689,1,1,0,0
147404870,1,1,0,0
148419255,1,1,0,0
149427285,1,1,0,0
150433256,1,1,0,0
151449629,1,1,0,0
152464041,1,1,0,0
153481997,1,1,0,0
154493232,1,1,0,0
155494353,1,1,0,0
156505657,1,1,0,0
157506702,1,1,0,0
158515682,1,1,0,0
159526865,1,1,0,0
160530232,1,1,0,0
161539087,1,1,0,0
162552626,1,1,0,0
163571499,1,1,0,0
164592629,1,1,0,0
165606143,1,1,0,0
166607248,1,1,0,0
167611691,1,1,0,0
168627335,1,1,0,0
169634093,1,1,0,0
170649642,1,1,0,0
171660718,1,1,0,0
172664248,1,1,0,0
173683122,1,1,0,0
174684295,1,1,0,0
175685335,1,1,0,0
176688797,1,1,0,0
177699988,1,1,0,0
178715861,1,1,0,0
179732245,1,1,0,0
180733416,1,1,0,0
181752292,1,1,0,0
182753469,1,1,0,0
183764475,1,1,0,0
184777963,1,1,0,0
185779118,1,1,0,0
186780234,1,1,0,0
187791359,1,1,0,0
188792498,1,1,0,0
189811351,1,1,0,0
190812498,1,1,0,0
191826035,1,1,0,0
