timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
16967939,-0.0682801,0.179693,0.0825311,5007,0,9.74397,4.12795,-9.24404,5007,0
16972942,0.384106,-0.111507,0.15152,5003,0,12.8961,-1.43272,-7.82125,5003,0
16977948,0.507606,-0.551775,-0.00773824,5006,0,3.99116,-5.83891,-4.69027,5006,0
16982955,-0.242006,-0.626885,-0.199645,5007,0,-8.59644,-4.33357,-9.49284,5007,0
16987961,-0.623959,0.13658,-0.119646,5006,0,-13.3915,2.0817,-18.7006,5006,0
16992970,0.17576,0.782251,0.0299326,5009,0,-4.34177,4.9218,-13.7416,5009,0
16997974,0.0132989,0.359693,0.0441668,5004,0,9.00953,3.94494,-8.80669,5004,0
17002996,0.179024,-0.114151,0.142696,5022,0,13.2506,-1.00609,-6.55779,5022,0
17007987,0.564,-0.500158,0.0255448,4991,0,4.37632,-5.42845,-4.76671,4991,0
17012994,-0.136066,-0.606074,-0.152438,5007,0,-8.63795,-3.6891,-8.00326,5007,0
17018000,-0.745871,0.0714004,-0.101983,5006,0,-13.2056,1.6019,-18.6114,5006,0
17023006,0.24502,0.792834,0.0038925,5006,0,-3.23285,3.78718,-14.7515,5006,0
17028032,0.129762,0.368986,0.0136793,5026,0,9.85189,3.07686,-9.05264,5026,0
17033021,0.000868146,-0.191988,0.122428,4989,0,12.6323,-1.27153,-6.05566,4989,0
17038025,0.509122,-0.460554,-0.0069057,5004,0,2.68342,-4.38853,-4.83096,5004,0
17043032,-0.17486,-0.584074,-0.133468,5007,0,-9.62257,-1.67531,-7.96364,5007,0
17048038,-0.618271,0.157282,-0.0408393,5006,0,-12.3798,2.57201,-19.4194,5006,0
17053046,0.335627,0.768856,0.0388154,5008,0,-1.0309,3.00649,-14.0983,5008,0
17058051,0.166932,0.304588,0.0311796,5005,0,10.72,1.09984,-8.88533,5005,0
17063061,-0.0337683,-0.278829,0.0545432,5010,0,11.1198,-3.01089,-5.74355,5010,0
17068064,0.434004,-0.45336,-0.0899777,5003,0,0.189515,-3.40341,-5.07966,5003,0
17073076,-0.381239,-0.526253,-0.141137,5012,0,-10.4059,0.555416,-9.83479,5012,0
17078077,-0.367565,0.330553,0.0131195,5001,0,-9.85124,3.95524,-19.3314,5001,0
17083085,0.503057,0.654915,0.0685466,5008,0,2.18821,2.33846,-12.7503,5008,0
17088092,0.0921356,0.143716,0.0705284,5007,0,10.827,-1.13509,-8.56048,5007,0
17093146,0.0230479,-0.35877,-0.0178255,5054,0,7.69269,-4.49924,-6.13439,5054,0
17098106,0.259401,-0.443232,-0.142547,4960,0,-3.39335,-2.09103,-6.38371,4960,0
17103109,-0.592494,-0.254522,-0.0917026,5003,0,-10.6479,2.94204,-13.145,5003,0
17108115,-0.00168852,0.49099,0.0709735,5006,0,-5.46246,4.04318,-16.3661,5006,0
17113127,0.563688,0.4578,0.0552566,5012,0,6.00488,1.17972,-11.0831,5012,0
17118128,-0.0337468,-0.093961,0.0676354,5001,0,10.228,-3.42143,-7.35127,5001,0
17123135,0.165826,-0.394445,-0.0932562,5007,0,3.39277,-4.73089,-6.67488,5007,0
17128141,-0.138534,-0.382929,-0.144503,5006,0,-6.8692,-0.303133,-8.69332,5006,0
17133155,-0.565924,0.0981943,-0.00752378,5014,0,-9.45202,4.33616,-15.0887,5014,0
17138154,0.346253,0.500696,0.0758898,4999,0,-0.410661,3.46137,-13.2864,4999,0
17143160,0.429169,0.257791,0.0838532,5006,0,8.46228,-0.030229,-9.62831,5006,0
17148167,-0.0613778,-0.281158,0.0221603,5007,0,7.69787,-5.21499,-6.63478,5007,0
17153173,0.175946,-0.415507,-0.143009,5006,0,-1.39576,-3.61549,-8.03979,5006,0
17158180,-0.532455,-0.175231,-0.11146,5007,0,-8.73795,1.91413,-12.2288,5007,0
17163186,-0.193552,0.35608,0.0493044,5006,0,-5.7422,4.61008,-14.1363,5006,0
17168193,0.506447,0.398281,0.0493295,5007,0,4.37105,2.50109,-11.0196,5007,0
17173199,0.169573,0.0206552,0.0913845,5006,0,8.80928,-2.31431,-7.85769,5006,0
17178205,0.0777329,-0.399895,-0.0739737,5006,0,3.36169,-5.32436,-6.99528,5006,0
17183215,-0.148621,-0.345348,-0.154314,5010,0,-5.70436,-1.7362,-10.9124,5010,0
17188220,-0.509053,0.156081,-0.0258972,5005,0,-8.11779,3.92359,-14.316,5005,0
17193227,0.171702,0.417523,0.0524809,5007,0,-0.247331,3.87016,-11.61,5007,0
17198231,0.432202,0.268074,0.0614999,5004,0,7.4714,1.24223,-9.49109,5004,0
17203240,0.0779316,-0.224502,0.0220795,5009,0,6.6753,-4.17671,-6.24097,5009,0
17208244,0.109459,-0.484356,-0.129474,5004,0,-1.57,-4.07532,-8.97372,5004,0
17213250,-0.450843,-0.10739,-0.119859,5006,0,-7.85984,0.722923,-14.3567,5006,0
17218257,-0.150114,0.384096,0.0414794,5007,0,-4.51201,3.97068,-12.8194,5007,0
17223269,0.350123,0.355746,0.0456439,5012,0,4.65229,2.74516,-9.91097,5012,0
