timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
703915768,703915768,38,0,0,0,1487,1507,1090,1918,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
703937509,703937509,38,0,0,0,1488,1507,1090,1918,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
704406901,704406901,38,0,0,0,1488,1507,1090,1494,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
704922067,704922067,38,0,0,0,1487,1507,1090,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
705402286,705402286,38,0,0,0,1487,1507,1218,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
705913476,705913476,38,0,0,0,1487,1507,1220,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
706424910,706424910,38,0,0,0,1488,1507,1221,1494,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
706914665,706914665,38,0,0,0,1487,1507,1221,1492,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
707405939,707405939,38,0,0,0,1487,1507,1220,1496,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
707919251,707919251,38,0,0,0,1487,1507,1272,1488,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
708405811,708405811,38,0,0,0,1487,1507,1352,1492,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
708919840,708919840,38,0,0,0,1487,1507,1375,1494,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
709408609,709408609,38,0,0,0,1487,1507,1411,1488,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
709922708,709922708,38,0,0,0,1487,1507,1415,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
710411708,710411708,38,0,0,0,1488,1507,1414,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
710921224,710921224,38,0,0,0,1488,1507,1446,1492,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
711407297,711407297,38,0,0,0,1487,1507,1464,1494,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
711916225,711916225,38,0,0,0,1487,1507,1490,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
712402511,712402511,38,0,0,0,1490,1530,1511,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
712913855,712913855,38,0,0,0,1489,1557,1512,1500,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
713423477,713423477,38,0,0,0,1490,1563,1515,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
713911949,713911949,38,0,0,0,1488,1550,1511,1491,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
714403400,714403400,38,0,0,0,1488,1508,1557,1500,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
714917362,714917362,38,0,0,0,1490,1535,1560,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
715408981,715408981,38,0,0,0,1488,1521,1505,1474,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
715922517,715922517,38,0,0,0,1488,1522,1519,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
716413966,716413966,38,0,0,0,1488,1515,1551,1484,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
716903750,716903750,38,0,0,0,1488,1507,1580,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
717412080,717412080,38,0,0,0,1488,1515,1553,1486,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
717921601,717921601,38,0,0,0,1488,1507,1513,1488,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
718409997,718409997,38,0,0,0,1488,1518,1550,1497,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
718901469,718901469,38,0,0,0,1489,1515,1564,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
719410541,719410541,38,0,0,0,1490,1589,1563,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
719924293,719924293,38,0,0,0,1488,1522,1562,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
720413792,720413792,38,0,0,0,1488,1507,1513,1491,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
720905409,720905409,38,0,0,0,1489,1514,1518,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
721413686,721413686,38,0,0,0,1490,1550,1523,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
721905049,721905049,38,0,0,0,1488,1565,1570,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
722419424,722419424,38,0,0,0,1489,1550,1575,1497,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
722908085,722908085,38,0,0,0,1487,1508,1564,1469,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
723419464,723419464,38,0,0,0,1475,1508,1528,1440,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
723905464,723905464,38,0,0,0,1489,1518,1527,1501,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
724410000,724410000,38,0,0,0,1489,1522,1539,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
724921499,724921499,38,0,0,0,1489,1529,1538,1490,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
725414334,725414334,38,0,0,0,1470,1525,1538,1494,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
725905286,725905286,38,0,0,0,1489,1523,1537,1495,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
726415855,726415855,38,0,0,0,1489,1546,1553,1485,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
726907392,726907392,38,0,0,0,1488,1543,1553,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
727396297,727396297,38,0,0,0,1487,1516,1553,1491,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
727907559,727907559,38,0,0,0,1489,1524,1553,1498,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
728419197,728419197,38,0,0,0,1490,1544,1552,1501,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
728908156,728908156,38,0,0,0,1489,1553,1518,1494,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
729420329,729420329,38,0,0,0,1489,1555,1512,1493,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
729908383,729908383,38,0,0,0,1486,1554,1562,1486,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
730423448,730423448,38,0,0,0,1484,1543,1562,1497,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
730909148,730909148,38,0,0,0,1489,1523,1562,1498,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
731420338,731420338,38,0,0,0,1489,1527,1553,1487,1065,1095,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,18,0,0,4
