timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
29921656,29921543,4259850,4325386,-6.95229e-05,9.30289e-05,-0.000188302,-0.000521013,0.00169509,-0.0481555,4988,4933,0
29927060,29926533,4259850,4325386,-2.80983e-05,0.000135535,-0.000167215,0.000107377,-0.000492678,-0.0482336,4990,4932,0
30425418,30425305,4259850,4325386,0.000592477,0.000117451,0.000389204,-0.00186348,0.000179688,-0.0496621,4985,4930,0
30924231,30924081,4259850,4325386,-0.000134778,-0.00111436,-0.000109354,-0.00182938,0.00041342,-0.0511019,4987,4977,0
31423683,31423572,4259850,4325386,0.000560905,-0.00045608,-0.000464939,0.00721986,0.00295649,-0.043395,4964,4934,0
31921946,31921827,4259850,4325386,0.000930887,-0.000469352,-0.000139022,0.00666919,-0.00156447,-0.049067,4989,4938,0
32425828,32425692,4259850,4325386,6.95739e-05,0.000192273,0.000199716,-0.00192711,-0.00467238,-0.0489519,5008,4622,0
32924284,32924170,4259850,4325386,0.000370874,5.41757e-05,-0.000182544,0.00317338,-0.00148293,-0.0457837,4963,4932,0
33428067,33427935,4259850,4325386,-0.000509662,-0.000514469,-0.000432978,3.16334e-05,-0.0033356,-0.0517503,4988,4998,0
33926979,33926867,4259850,4325386,-0.000848924,-0.00115276,-0.000125283,0.000112978,0.000159632,-0.0507726,4962,4980,0
34421280,34421123,4259850,4325386,-0.000673488,0.00205854,-0.000360039,-0.00685142,0.000191112,-0.049135,4962,4689,0
34924386,34924260,4259850,4325386,0.00134689,-0.000624236,0.000169059,-0.00528832,-0.0077229,-0.0376032,4987,4943,0
35423331,35423149,4259850,4325386,-5.74425e-05,0.00125745,0.00113721,-0.00811029,-0.00486975,-0.0522557,4969,4933,0
35927087,35926804,4259850,4325386,-0.00349995,0.00176127,0.000856145,-0.00283583,0.00878526,-0.0609916,4991,5794,0
36425684,36425576,4259850,4325386,-0.00384001,0.00118153,0.000218217,0.0161273,0.00890005,-0.046821,4988,4964,0
36924640,36924502,4259850,4325386,-0.00139588,-0.000166897,0.000416836,0.0201913,0.00580193,-0.0393591,5029,4925,0
37428361,37428234,4259850,4325386,-0.000168336,-0.000357254,-0.000324569,0.0129605,0.000156357,-0.0408635,5024,5016,0
