timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
29915895,25495381,34.0356403,108.7574614,0.282237,-0.126481,0.0848391,-0.16454,0.0848762,0.0,0.1268,-0.043575,0.0888614,0.0163109,-0.179406,0.0782857,-0.0672427,0.00462527,0.244923,-0.026423,-1.53548,0.0152849,421.254,0.10089,0.309211,0.410879,0.155951,0.117718,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
29925875,25495381,34.0356403,108.7574614,0.282881,-0.126978,0.0852927,-0.16454,0.0848762,0.0,0.128618,-0.0404489,0.0885117,0.0162182,-0.179406,0.0782857,-0.0672427,0.168701,0.29083,-0.0368692,-1.53589,0.0152849,421.254,0.101321,0.310089,0.411547,0.156518,0.117956,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30025139,25495381,34.0356403,108.7574614,0.28781,-0.131682,0.089318,-0.16454,0.0848762,0.0,0.12621,-0.0485958,0.0899978,0.0195144,-0.179406,0.0782857,-0.0672427,0.177892,0.347115,0.0025806,-1.53493,0.0152849,421.254,0.1,0.299555,0.408109,0.150037,0.115862,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30124476,25495381,34.0356403,108.7574614,0.292642,-0.135604,0.0928896,-0.16454,0.0848762,0.0,0.123588,-0.0397262,0.0871225,0.0177499,-0.179406,0.0782857,-0.0672427,0.0193726,0.501276,-0.529169,-1.53564,0.0152849,421.254,0.1,0.308103,0.409176,0.155612,0.117735,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30223859,25495381,34.0356403,108.7574614,0.296671,-0.139872,0.0980092,-0.16454,0.0848762,0.0,0.123653,-0.0414859,0.0899922,0.0229688,-0.179406,0.0782857,-0.0672427,0.587872,0.726164,-1.67541,-1.53507,0.0152849,421.254,0.100127,0.298057,0.405864,0.149622,0.115743,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30323150,25495381,34.0356403,108.7574614,0.302702,-0.144167,0.103455,-0.16454,0.0848762,0.0,0.122786,-0.0472846,0.0975341,0.0328314,-0.179406,0.0782857,-0.0672427,-0.398325,-0.383931,1.09383,-1.5345,0.0152849,421.254,0.1,0.306728,0.407037,0.155161,0.11762,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30422487,25495381,34.0356403,108.7574614,0.307047,-0.149989,0.10825,-0.16454,0.0848762,0.0,0.122987,-0.0474801,0.0959588,0.032474,-0.179406,0.0782857,-0.0672427,0.98779,0.0340631,-0.0418685,-1.53392,0.0152849,421.254,0.1,0.296643,0.403774,0.149069,0.11562,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30521824,25495381,34.0356403,108.7574614,0.31285,-0.155859,0.112578,-0.16454,0.0848762,0.0,0.121216,-0.0454795,0.0988793,0.0360275,-0.179406,0.0782857,-0.0672427,0.201973,-0.111408,-0.0894132,-1.53325,0.0152849,421.254,0.1,0.305407,0.407781,0.154521,0.117755,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30621162,25495381,34.0356403,108.7574614,0.316736,-0.162546,0.11628,-0.16454,0.0848762,0.0,0.113655,-0.0462524,0.0966698,0.0337062,-0.179406,0.0782857,-0.0672427,-0.694407,0.538359,0.011283,-1.5318,0.0152849,421.254,0.1,0.295371,0.404524,0.148467,0.115755,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30720520,25495381,34.0356403,108.7574614,0.322042,-0.169109,0.120704,-0.16454,0.0848762,0.0,0.120586,-0.0536995,0.101183,0.0387459,-0.179406,0.0782857,-0.0672427,-0.0064222,-1.18033,-0.0361268,-1.53118,0.0152849,421.254,0.1,0.304213,0.405901,0.153887,0.11763,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
