timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
198090342,0.0,1.622,536,-10000,-10000,-10000,-10000,0,0,0,0,1075,1075,1075,1075,1500,1500,0,0,1493,1508,1090,1918,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
199115316,0.0,1.58,536,-10000,-10000,-10000,-10000,0,0,0,0,1075,1075,1075,1075,1500,1500,0,0,1493,1508,1090,1492,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
200141271,0.0,1.611,536,-4887,-2625,-2542,-5510,0,0,0,0,1298,1341,1400,1270,1500,1500,0,0,1493,1508,1319,1488,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
201169871,0.0,1.59,536,463,-1916,-1130,74,0,0,0,0,1549,1428,1462,1515,1500,1500,0,0,1493,1508,1477,1490,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
202189924,0.0,1.603,536,-1798,-2062,2152,2516,0,0,0,0,1433,1421,1613,1622,1500,1500,0,0,1493,1508,1509,1377,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
203216160,0.0,1.626,536,-835,3671,1427,395,0,0,0,0,1475,1672,1633,1529,1500,1500,0,0,1493,1508,1560,1439,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
204241084,0.0,1.593,536,4178,4266,-2893,173,0,0,0,0,1694,1700,1385,1519,1500,1500,0,0,1493,1508,1561,1674,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
205259520,0.0,1.578,536,-1875,-805,1548,-212,0,0,0,0,1429,1476,1579,1502,1500,1500,0,0,1493,1508,1483,1511,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
206272241,0.0,1.611,536,3193,1219,1104,5980,0,0,0,0,1651,1565,1560,1723,1500,1500,0,0,1493,1508,1618,1495,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
207293742,0.0,1.601,536,-537,1001,1128,-76,0,0,0,0,1488,1543,1561,1508,1500,1500,0,0,1427,1517,1515,1608,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
208317562,0.0,1.606,536,1889,2152,1616,508,0,0,0,0,1580,1606,1582,1534,1500,1500,0,0,1495,1620,1559,1503,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
209337807,0.0,1.583,536,-622,3482,1992,892,0,0,0,0,1484,1664,1599,1551,1500,1500,0,0,1365,1488,1560,1561,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
210360859,0.0,1.601,536,-5237,-2771,2895,5537,0,0,0,0,1282,1390,1638,1754,1500,1500,0,0,1495,1507,1504,1307,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
211387357,0.0,1.641,536,3030,538,-483,5539,0,0,0,0,1644,1535,1490,1754,1500,1500,0,0,1493,1507,1596,1468,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
212405020,0.0,1.616,536,987,-248,747,1929,0,0,0,0,1522,1501,1544,1596,1500,1500,0,0,1493,1507,1525,1495,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
213426663,0.0,1.6,536,-44,112,225,581,0,0,0,0,1510,1516,1518,1537,1500,1500,0,0,1450,1542,1510,1536,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
214452224,0.0,1.612,536,1622,2226,749,3775,0,0,0,0,1585,1609,1544,1677,1500,1500,0,0,1444,1602,1589,1529,1499,1214,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
