timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
198096304,0.334083,-0.0801865,0.416602
198107477,0.331002,-0.0801865,0.416602
198308715,0.352569,-0.0801865,0.431493
198498696,0.358731,-0.0712297,0.449362
198699872,0.352569,-0.0861577,0.431493
198901128,0.337164,-0.0742153,0.449362
199113471,0.334083,-0.0742153,0.449362
199303517,0.346407,-0.0831721,0.431493
199504756,0.334083,-0.0742153,0.449362
199707002,0.337164,-0.0772009,0.45234
199908171,0.346407,-0.068244,0.45234
200109208,0.352569,-0.0801865,0.431493
200299378,0.352569,-0.0712297,0.461275
200500490,0.352569,-0.0801865,0.431493
200701700,0.337164,-0.0742153,0.449362
200902690,0.35565,-0.0742153,0.446384
201103952,0.331002,-0.0801865,0.41958
201305243,0.331002,-0.0801865,0.41958
201506335,0.327921,-0.0772009,0.428515
201707435,0.32484,-0.0772009,0.428515
201897588,0.327921,-0.068244,0.422558
202109960,0.327921,-0.053316,0.425536
202299813,0.337164,-0.0174886,0.425536
202513000,0.337164,0.0272957,0.422558
202703382,0.327921,0.063123,0.431493
202904667,0.315596,0.0661087,0.434471
203105712,0.306353,0.113878,0.422558
203306910,0.300191,0.149706,0.41958
203497073,0.294029,0.170605,0.416602
203709419,0.287867,0.164634,0.41958
203910548,0.284786,0.107907,0.434471
204111716,0.290948,0.140749,0.428515
204301691,0.300191,0.149706,0.41958
204502863,0.32484,0.101936,0.407667
204703867,0.340245,0.0452093,0.41958
204905141,0.392622,0.048195,0.371928
205095223,0.414189,0.0362525,0.339168
205308252,0.377217,0.0213244,0.383841
205509483,0.343326,0.00938196,0.416602
205710938,0.334083,0.00938196,0.422558
205901207,0.334083,0.0183388,0.416602
206102346,0.334083,0.0272957,0.41958
206303331,0.331002,0.0272957,0.422558
206504645,0.337164,0.0183388,0.422558
206705828,0.334083,-0.0115173,0.41958
206907022,0.334083,-0.053316,0.41958
207108107,0.340245,-0.107057,0.398732
207309442,0.312515,-0.166769,0.398732
207499383,0.287867,-0.178712,0.410645
207700527,0.281705,-0.175726,0.407667
207901522,0.306353,-0.133928,0.413624
208102914,0.32484,-0.0712297,0.422558
208305127,0.35565,-0.0443591,0.404689
208506421,0.389541,-0.029431,0.36895
208707630,0.383379,-0.0413735,0.389798
208908707,0.352569,-0.0563016,0.404689
209098825,0.334083,-0.053316,0.422558
209299907,0.318677,-0.116014,0.413624
209501119,0.309434,-0.163784,0.407667
209702220,0.309434,-0.121985,0.422558
209903545,0.315596,-0.121985,0.413624
210104632,0.340245,-0.0891433,0.407667
210305868,0.343326,-0.0563016,0.416602
210506985,0.318677,-0.0981002,0.428515
210708292,0.327921,-0.068244,0.428515
210909284,0.327921,-0.0622728,0.41958
211111592,0.32484,-0.136913,0.410645
211301837,0.327921,-0.136913,0.404689
211502965,0.337164,-0.0563016,0.422558
211704032,0.340245,-0.0354023,0.422558
211905127,0.340245,-0.0204742,0.41958
212106436,0.349488,0.0272957,0.413624
212307611,0.349488,0.063123,0.413624
212508715,0.340245,0.00938196,0.422558
212710078,0.337164,-0.00853173,0.422558
212899991,0.361812,-0.0174886,0.401711
213101225,0.364893,-0.0443591,0.401711
213302099,0.358731,-0.0563016,0.404689
213503333,0.352569,-0.0652584,0.407667
213704754,0.334083,-0.0712297,0.41958
213906660,0.327921,-0.0622728,0.425536
214107749,0.334083,-0.0652584,0.425536
214309308,0.358731,-0.0861577,0.398732
214499443,0.374136,-0.101086,0.380863
214700592,0.358731,-0.104071,0.389798
214901737,0.374136,-0.113028,0.371928
215102831,0.374136,-0.113028,0.371928
215303938,0.361812,-0.118999,0.383841
215505282,0.315596,-0.110043,0.425536
215706599,0.312515,-0.092129,0.431493
215907552,0.315596,-0.0861577,0.428515
216097667,0.315596,-0.0772009,0.431493
216298746,0.32484,-0.0592872,0.434471
216510979,0.331002,-0.0473447,0.428515
216701077,0.327921,-0.053316,0.431493
216903399,0.32484,-0.124971,0.413624
217104618,0.318677,-0.113028,0.41958
217305745,0.337164,-0.0712297,0.428515
217507136,0.327921,-0.0652584,0.425536
217697129,0.346407,-0.0652584,0.410645
217909412,0.398784,-0.0383879,0.36895
218099532,0.395703,-0.0473447,0.374907
218300681,0.383379,-0.0622728,0.38682
218501850,0.367974,-0.0622728,0.395754
218702784,0.349488,-0.0622728,0.413624
218904072,0.32484,-0.0622728,0.422558
219105211,0.312515,-0.0622728,0.446384
219306310,0.32484,-0.0592872,0.440428
219507550,0.321759,-0.121985,0.422558
219709572,0.32484,-0.104071,0.416602
219899826,0.331002,-0.0712297,0.425536
220101228,0.377217,-0.0413735,0.398732
220302224,0.374136,-0.0592872,0.392776
220503419,0.361812,-0.0712297,0.404689
220704771,0.346407,-0.0712297,0.416602
220905931,0.334083,-0.0473447,0.41958
221106960,0.331002,-0.0473447,0.428515
221308226,0.327921,-0.0592872,0.428515
221498330,0.334083,-0.0503303,0.428515
221699469,0.334083,-0.0443591,0.431493
221900428,0.318677,-0.101086,0.416602
222112878,0.32484,-0.0861577,0.428515
222302961,0.334083,-0.0443591,0.428515
222504971,0.331002,-0.0413735,0.428515
222706356,0.358731,-0.0503303,0.410645
222907708,0.389541,-0.0503303,0.380863
223097741,0.38646,-0.053316,0.377885
223310027,0.374136,-0.053316,0.398732
223499815,0.371055,-0.0592872,0.398732
223712471,0.374136,-0.0592872,0.395754
223902730,0.364893,-0.053316,0.398732
224103971,0.343326,-0.053316,0.416602
224304795,0.334083,-0.0563016,0.428515
224505941,0.303272,-0.0443591,0.443406
224695924,0.331002,-0.0413735,0.428515
224908216,0.327921,-0.0413735,0.431493
225109261,0.340245,-0.0383879,0.422558
225310541,0.371055,-0.0324166,0.401711
225501634,0.361812,-0.0413735,0.404689
225702883,0.352569,-0.0383879,0.41958
225904116,0.331002,-0.0413735,0.431493
226105292,0.331002,-0.0383879,0.434471
226306507,0.337164,-0.0413735,0.431493
226507557,0.35565,-0.0264454,0.413624
226697674,0.367974,-0.0324166,0.401711
226910074,0.361812,-0.053316,0.407667
227100145,0.374136,-0.053316,0.392776
227301397,0.380298,-0.0473447,0.389798
227502393,0.377217,-0.0592872,0.395754
227703518,0.343326,-0.0503303,0.422558
227904770,0.29711,-0.053316,0.45234
228105712,0.287867,-0.0413735,0.461275
228307832,0.32484,-0.0354023,0.440428
228509351,0.327921,-0.0443591,0.434471
228699518,0.327921,-0.053316,0.431493
228900591,0.327921,-0.0712297,0.422558
229112890,0.331002,-0.0712297,0.425536
229303079,0.340245,-0.0473447,0.422558
229504241,0.35565,-0.0473447,0.410645
229705255,0.367974,-0.0473447,0.404689
229906567,0.349488,-0.0503303,0.413624
230107756,0.35565,-0.0473447,0.416602
230308907,0.337164,-0.0413735,0.428515
230509888,0.337164,-0.0383879,0.428515
230711301,0.334083,-0.0324166,0.431493
230901246,0.331002,-0.0354023,0.425536
231103325,0.331002,-0.0383879,0.434471
231304702,0.349488,-0.0383879,0.413624
231505915,0.364893,-0.0443591,0.407667
231707212,0.367974,-0.0443591,0.398732
231908315,0.367974,-0.0503303,0.395754
232109380,0.361812,-0.0503303,0.413624
232310736,0.337164,-0.053316,0.428515
232500755,0.334083,-0.0503303,0.431493
232701753,0.337164,-0.0503303,0.431493
232902982,0.334083,-0.0473447,0.422558
233104079,0.312515,-0.0443591,0.440428
233305387,0.309434,-0.0443591,0.446384
233506419,0.327921,-0.0443591,0.431493
233707556,0.331002,-0.0443591,0.431493
233909956,0.35565,-0.053316,0.407667
234100203,0.367974,-0.0592872,0.392776
234301264,0.367974,-0.0592872,0.395754
234502368,0.35565,-0.0592872,0.410645
234703619,0.340245,-0.0503303,0.422558
234904830,0.327921,-0.0473447,0.425536
235105890,0.327921,-0.0443591,0.428515
235307242,0.331002,-0.0354023,0.434471
235508318,0.32484,-0.0443591,0.431493
235709429,0.331002,-0.0383879,0.428515
235899306,0.340245,-0.0383879,0.422558
236100752,0.364893,-0.0443591,0.404689
236301955,0.371055,-0.0473447,0.392776
236503107,0.361812,-0.0503303,0.401711
236704203,0.361812,-0.0443591,0.410645
236906121,0.349488,-0.0503303,0.410645
237107561,0.334083,-0.0503303,0.428515
237297805,0.337164,-0.029431,0.431493
237510144,0.334083,0.0332669,0.434471
237700180,0.321759,0.107907,0.422558
237901337,0.281705,0.179562,0.413624
238102508,0.232409,0.236289,0.422558
238303535,0.20468,0.254202,0.425536
238504889,0.180032,0.26913,0.41958
238706045,0.167707,0.254202,0.431493
238907202,0.167707,0.224346,0.45234
239108204,0.170788,0.272116,0.410645
239309551,0.220085,0.275102,0.392776
239499544,0.232409,0.272116,0.392776
239701840,0.238571,0.275102,0.38682
239903279,0.213923,0.278087,0.395754
240104299,0.176951,0.278087,0.413624
240305468,0.130735,0.296001,0.407667
240506538,0.0691148,0.313915,0.398732
240707618,-0.00174863,0.3169,0.404689
240908913,-0.0849362,0.304958,0.398732
241098978,-0.140395,0.272116,0.395754
241300155,-0.183529,0.245246,0.395754
241501313,-0.18661,0.239274,0.404689
241702402,-0.158881,0.230317,0.425536
241903711,-0.143476,0.24226,0.416602
242104650,-0.12807,0.245246,0.41958
242305883,-0.115746,0.257188,0.422558
242507880,-0.106503,0.260174,0.413624
242698055,-0.149638,0.263159,0.407667
242899387,-0.168124,0.26913,0.38682
243100688,-0.183529,0.254202,0.392776
243301861,-0.211258,0.230317,0.395754
243503155,-0.245149,0.188519,0.395754
243704228,-0.272878,0.143735,0.395754
243905379,-0.285203,0.107907,0.38682
244106726,-0.291365,0.087008,0.395754
244296593,-0.297527,0.0840223,0.389798
244508817,-0.288284,0.0840223,0.392776
244709986,-0.285203,0.107907,0.392776
244900241,-0.27904,0.128807,0.389798
245101366,-0.260554,0.16762,0.389798
245302484,-0.235906,0.191504,0.398732
245504889,-0.232825,0.200461,0.392776
245706128,-0.226663,0.206433,0.395754
245907311,-0.232825,0.203447,0.383841
246108403,-0.232825,0.200461,0.395754
246309449,-0.238987,0.197476,0.389798
246499543,-0.263635,0.209418,0.365972
246711825,-0.27904,0.215389,0.360016
246901749,-0.260554,0.197476,0.383841
247103113,-0.242068,0.188519,0.398732
247304269,-0.242068,0.188519,0.38682
247505408,-0.242068,0.185533,0.395754
247706531,-0.235906,0.188519,0.392776
247907932,-0.229744,0.239274,0.374907
248097827,-0.226663,0.29003,0.339168
248310942,-0.229744,0.215389,0.389798
248501243,-0.21742,0.218375,0.404689
248713613,-0.198934,0.230317,0.401711
248903822,-0.183529,0.245246,0.404689
249104897,-0.161962,0.266145,0.398732
249306161,-0.109584,0.278087,0.416602
249507287,-0.115746,0.281073,0.410645
249697334,-0.115746,0.284059,0.407667
249909471,-0.115746,0.287044,0.398732
250099562,-0.118827,0.287044,0.401711
250311874,-0.124989,0.301972,0.383841
250501982,-0.115746,0.361685,0.354059
250703023,-0.124989,0.293015,0.383841
