timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
244026574,-0.0679296,-0.345049,-0.09693,5006,0,-4.15662,-4.20391,-11.2343,5006,0
244031577,-0.347382,0.223903,-0.094945,5003,0,-6.58768,-1.66021,-16.205,5003,0
244036583,-0.146856,0.485561,-0.029914,5006,0,-3.58856,2.0504,-11.61,5006,0
244041592,-0.0435313,0.116782,0.0339842,5009,0,2.99218,4.59936,-8.60963,5009,0
244046598,0.0279882,0.0792485,0.140752,5006,0,8.03586,3.34829,-9.47995,5006,0
244051603,0.394815,-0.138614,0.0766559,5005,0,6.21116,-1.64553,-6.37013,5005,0
244056606,0.260172,-0.547523,-0.115208,5003,0,-0.740626,-4.55543,-6.01748,5003,0
244061613,-0.300701,-0.324328,-0.156786,5007,0,-7.48847,-3.14054,-15.0765,5007,0
244066617,-0.324993,0.561846,-0.0587584,5004,0,-7.84823,0.64954,-17.6364,5004,0
244071623,0.0543606,0.390728,-0.00118755,5006,0,-0.815083,4.09948,-8.14705,5006,0
244076648,-0.140573,0.087199,0.130928,5025,0,7.25662,4.74031,-8.91191,5025,0
244081635,0.300844,-0.0718231,0.166823,4987,0,8.67115,-0.596843,-7.48843,4987,0
244086641,0.45686,-0.393884,-0.0613583,5006,0,2.37251,-5.09663,-5.2289,5006,0
244091647,-0.238533,-0.532612,-0.21177,5006,0,-5.92434,-4.04366,-11.5017,5006,0
244096652,-0.479071,0.316056,-0.131579,5005,0,-8.57505,0.315164,-19.3394,5005,0
244101658,0.163615,0.502223,-0.0166624,5006,0,-2.66017,4.37494,-10.3383,5006,0
244106664,-0.155793,0.145131,0.0855279,5006,0,5.85455,5.28071,-8.34466,5006,0
244111670,0.190604,-0.0784834,0.177499,5006,0,8.26803,0.391697,-7.41454,5006,0
244116678,0.571914,-0.298822,-0.00255115,5008,0,2.82202,-4.81966,-5.22383,5008,0
244121681,-0.172268,-0.51392,-0.171577,5003,0,-5.40064,-4.84337,-10.378,5003,0
244126687,-0.603277,0.240358,-0.156296,5006,0,-8.0228,-0.82192,-18.5445,5006,0
244131693,0.192345,0.461281,-0.0358319,5006,0,-2.15289,4.28194,-11.4252,5006,0
244136700,-0.137182,0.183528,0.0841212,5007,0,6.2659,5.5013,-9.00122,5007,0
244141706,0.101657,-0.0919117,0.173741,5006,0,8.15392,0.591051,-7.17378,5006,0
244146710,0.614843,-0.328439,-0.0219321,5004,0,2.02325,-4.10436,-4.90331,5004,0
244151716,-0.128434,-0.479925,-0.1536,5006,0,-6.2706,-4.2113,-10.9089,5006,0
244156723,-0.609185,0.256105,-0.114723,5007,0,-8.15917,-0.843069,-18.0143,5007,0
244161728,0.218849,0.460164,-0.0137466,5005,0,-1.44674,3.47562,-11.4113,5005,0
244166735,-0.129853,0.178448,0.0921627,5007,0,7.00515,4.76977,-8.87315,5007,0
244171739,0.0521828,-0.0889854,0.146137,5004,0,8.46686,-0.33908,-7.12196,5004,0
244176748,0.568899,-0.362586,-0.0696295,5009,0,1.59578,-3.59887,-4.47022,5009,0
244181751,-0.177234,-0.463613,-0.154602,5003,0,-6.82354,-3.18818,-11.7368,5003,0
244186757,-0.520243,0.25938,-0.0731562,5006,0,-8.22408,0.39442,-17.9518,5006,0
244191762,0.270014,0.466657,0.0214007,5005,0,-0.879761,3.34095,-11.5044,5005,0
244196772,-0.116,0.150806,0.110383,5010,0,7.24364,3.57425,-8.51364,5010,0
244201774,0.0696115,-0.107338,0.102067,5002,0,7.76604,-1.60988,-6.86073,5002,0
244206780,0.497242,-0.373467,-0.100889,5006,0,0.631451,-3.19821,-4.90309,5006,0
244211786,-0.342866,-0.34127,-0.152738,5006,0,-6.86162,-2.34455,-12.7613,5006,0
244216793,-0.323542,0.263073,-0.0458071,5007,0,-7.13534,1.72846,-16.941,5007,0
244221797,0.268787,0.424146,0.0436281,5004,0,0.410454,3.22133,-11.4452,5004,0
244226803,-0.12275,0.0991208,0.110051,5006,0,7.37145,2.07053,-8.45454,5006,0
244231809,0.147247,-0.108814,0.0367727,5006,0,6.27377,-2.4043,-6.54049,5006,0
244236816,0.357974,-0.380006,-0.116384,5007,0,-1.23221,-2.68634,-6.10275,5007,0
244241820,-0.483615,-0.19519,-0.133384,5004,0,-7.05071,-1.12597,-14.2776,5004,0
244246826,-0.0672946,0.312131,-0.00440666,5006,0,-5.27053,2.5489,-15.5793,5006,0
244251832,0.226734,0.340466,0.0605052,5006,0,2.72062,2.8432,-10.4193,5006,0
244256839,-0.113331,0.0370214,0.105129,5007,0,7.61166,0.117964,-8.10163,5007,0
244261844,0.237369,-0.190679,-0.0396244,5005,0,4.34121,-2.83001,-5.68086,5005,0
244266849,0.122787,-0.39488,-0.141085,5005,0,-3.1676,-2.08238,-8.43991,5005,0
244271855,-0.488357,-0.0534883,-0.0892714,5006,0,-7.01241,0.801382,-15.5488,5006,0
244276863,0.19096,0.36645,0.0453139,5008,0,-3.0968,2.87348,-14.0253,5008,0
244281867,0.107486,0.20521,0.0856592,5004,0,4.71302,2.03009,-8.94954,5004,0
244286873,-0.0528024,-0.0309321,0.0619685,5006,0,7.00752,-1.75584,-7.5021,5006,0
244291878,0.29707,-0.300382,-0.100649,5005,0,1.95636,-2.8352,-5.33596,5005,0
244296886,-0.208448,-0.312701,-0.144596,5008,0,-4.73941,-1.26466,-11.4713,5008,0
244301890,-0.277258,0.101333,-0.0204476,5004,0,-6.10161,2.48861,-15.4354,5004,0
244306896,0.275326,0.305893,0.0673039,5006,0,-0.520703,2.60166,-11.6019,5006,0
244311902,0.0226082,0.0994086,0.0926938,5006,0,5.67943,0.730192,-9.10524,5006,0
244316909,0.042287,-0.0668429,-0.000720327,5007,0,5.3568,-2.73155,-6.82325,5007,0
244321914,0.187141,-0.336778,-0.13366,5005,0,-0.901771,-2.68198,-7.42312,5005,0
244326919,-0.390634,-0.140848,-0.113894,5005,0,-5.59101,0.358404,-13.721,5005,0
244331925,-0.00973765,0.205574,0.0535895,5006,0,-4.23733,3.08395,-13.8827,5006,0
244336932,0.234464,0.22439,0.0742868,5007,0,2.24138,2.03866,-10.1488,5007,0
244341937,-0.0176424,0.105066,0.05759,5005,0,5.82891,-0.874143,-8.83928,5005,0
244346942,0.105987,-0.199124,-0.0698372,5005,0,3.03917,-2.9384,-5.9893,5005,0
244351948,-0.0392201,-0.28256,-0.158522,5006,0,-2.93019,-1.98063,-10.9563,5006,0
244356959,-0.292269,0.0410609,-0.0289669,5011,0,-5.24934,2.28967,-14.276,5011,0
244361960,0.117424,0.241595,0.0926655,5001,0,-1.41039,2.62612,-11.279,5001,0
244366966,0.172487,0.173972,0.0667511,5006,0,3.85304,0.701769,-9.60859,5006,0
244371972,-0.00988478,-0.00463552,-0.0174948,5006,0,4.74333,-1.89083,-7.23456,5006,0
244376977,0.0718338,-0.294485,-0.119981,5005,0,0.477294,-2.59776,-8.31325,5005,0
244381983,-0.193557,-0.114278,-0.11222,5006,0,-3.71572,0.0783705,-13.4953,5006,0
244386989,-0.0683416,0.141875,0.0558167,5006,0,-3.66779,2.76582,-12.455,5006,0
244391995,0.143236,0.142795,0.0827735,5006,0,1.14844,1.58558,-9.61671,5006,0
244397000,0.104253,0.143633,0.0262319,5005,0,4.33781,-0.51632,-8.97944,5005,0
244402017,0.0144563,-0.194355,-0.0718542,5017,0,2.7661,-2.15939,-6.82074,5017,0
244407012,-0.0560396,-0.262527,-0.132011,4995,0,-1.55366,-1.75432,-11.8635,4995,0
244412018,-0.119229,0.0408259,-0.00872028,5006,0,-3.97796,1.81222,-13.9915,5006,0
244417024,0.0296304,0.139803,0.0929104,5006,0,-1.42258,2.02237,-9.72525,5006,0
244422029,0.119557,0.154695,0.0431605,5005,0,2.72815,0.563441,-9.25566,5005,0
244427035,0.0569183,-0.0153913,-0.0363786,5006,0,3.74434,-1.03647,-7.39587,5006,0
244432041,0.0164609,-0.29798,-0.102147,5006,0,0.613555,-2.1247,-9.73597,5006,0
244437050,-0.105852,-0.0992942,-0.0733278,5009,0,-2.67333,-0.0492464,-14.7266,5009,0
244442053,-0.0112312,0.128267,0.0607075,5003,0,-3.05788,1.8944,-11.4252,5003,0
244447058,0.0699065,0.111441,0.0645806,5005,0,0.486799,0.95409,-8.4989,5005,0
244452064,0.0794708,0.128658,-0.0123053,5006,0,3.17092,-0.0375525,-8.31894,5006,0
244457070,0.0217603,-0.165099,-0.0777403,5006,0,2.19778,-1.40991,-7.78191,5006,0
244462076,-0.0274528,-0.210989,-0.0858865,5006,0,-0.785143,-1.14054,-13.2382,5006,0
244467082,-0.0242966,0.0519843,0.0124252,5006,0,-2.98535,1.16712,-13.5424,5006,0
244472091,0.0218769,0.111644,0.0787879,5009,0,-1.23881,1.12565,-8.97236,5009,0
