timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
243657944,inf,0,1,1,1,0
244659158,inf,0,1,1,1,0
245660223,inf,0,1,1,1,0
245820378,inf,0,1,0,0,0
246521180,inf,0,0,0,0,0
247522428,inf,0,0,0,0,0
248523572,inf,0,0,0,0,0
249524678,inf,0,0,0,0,0
250526096,inf,0,0,0,0,0
251527194,inf,0,0,0,0,0
252528451,inf,0,0,0,0,0
253529642,inf,0,0,0,0,0
254530832,inf,0,0,0,0,0
255531943,inf,0,0,0,0,0
256533129,inf,0,0,0,0,0
257534366,inf,0,0,0,0,0
258535533,inf,0,0,0,0,0
259536390,inf,0,0,0,0,0
260538518,inf,0,0,0,0,0
261538752,inf,0,0,0,0,0
262539943,inf,0,0,0,0,0
263541095,inf,0,0,0,0,0
264542730,inf,0,0,0,0,0
265543617,inf,0,0,0,0,0
266545038,inf,0,0,0,0,0
267546037,inf,0,0,0,0,0
268547159,inf,0,0,0,0,0
269549355,inf,0,0,0,0,0
270550489,inf,0,0,0,0,0
271561467,inf,0,0,0,0,0
272561975,inf,0,0,0,0,0
273564029,inf,0,0,0,0,0
274565259,inf,0,0,0,0,0
275566311,inf,0,0,0,0,0
276577514,inf,0,0,0,0,0
277578693,inf,0,0,0,0,0
278579767,inf,0,0,0,0,0
279581071,inf,0,0,0,0,0
280582089,inf,0,0,0,0,0
281582548,inf,0,0,0,0,0
282584534,inf,0,0,0,0,0
283585611,inf,0,0,0,0,0
284586704,inf,0,0,0,0,0
285597976,inf,0,0,0,0,0
286599089,inf,0,0,0,0,0
287600271,inf,0,0,0,0,0
288601794,inf,0,0,0,0,0
289602563,inf,0,0,0,0,0
290603659,inf,0,0,0,0,0
291604836,inf,0,0,0,0,0
292605856,inf,0,0,0,0,0
293617028,inf,0,0,0,0,0
294618324,inf,0,0,0,0,0
295618347,inf,0,0,0,0,0
296620548,inf,0,0,0,0,0
297621829,inf,0,0,0,0,0
298622891,inf,0,0,0,0,0
299623914,inf,0,0,0,0,0
300635193,inf,0,0,0,0,0
301636256,inf,0,0,0,0,0
302637633,inf,0,0,0,0,0
303638496,inf,0,0,0,0,0
304638752,inf,0,0,0,0,0
305639724,inf,0,0,0,0,0
306640881,inf,0,0,0,0,0
307643086,inf,0,0,0,0,0
308654277,inf,0,0,0,0,0
309654500,inf,0,0,0,0,0
310655494,inf,0,0,0,0,0
311656825,inf,0,0,0,0,0
312657752,inf,0,0,0,0,0
313659065,inf,0,0,0,0,0
314659745,inf,0,0,0,0,0
315660946,inf,0,0,0,0,0
316662102,inf,0,0,0,0,0
317663441,inf,0,0,0,0,0
318664261,inf,0,0,0,0,0
319665817,inf,0,0,0,0,0
320667929,inf,0,0,0,0,0
321669200,inf,0,0,0,0,0
322670218,inf,0,0,0,0,0
323671256,inf,0,0,0,0,0
324672365,inf,0,0,0,0,0
325673607,inf,0,0,0,0,0
326683463,inf,0,0,0,0,0
327684490,inf,0,0,0,0,0
328685601,inf,0,0,0,0,0
329688048,inf,0,0,0,0,0
330689522,inf,0,0,0,0,0
331690174,inf,0,0,0,0,0
332691849,inf,0,0,0,0,0
333692881,inf,0,0,0,0,0
334693818,inf,0,0,0,0,0
335694690,inf,0,0,0,0,0
336705995,inf,0,0,0,0,0
337706911,inf,0,0,0,0,0
338708142,inf,0,0,0,0,0
339709374,inf,0,0,0,0,0
340710262,inf,0,0,0,0,0
341721821,inf,0,0,0,0,0
342722475,inf,0,0,0,0,0
343723758,inf,0,0,0,0,0
344724813,inf,0,0,0,0,0
345725834,inf,0,0,0,0,0
346726944,inf,0,0,0,0,0
347738052,inf,0,0,0,0,0
348739281,inf,0,0,0,0,0
349218396,inf,0,1,0,0,0
350219741,inf,0,1,0,0,0
351220880,inf,0,1,0,0,0
351451195,inf,0,1,1,0,0
351501208,inf,0,1,1,1,0
