timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
144065392,2,-1,0,7,0,0,1,0,0,0,0,0,0,0
144077664,2,0,1,7,0,0,1,0,0,0,0,0,0,0
144093629,2,1,2,7,0,0,1,0,0,0,0,0,0,0
149094823,2,1,2,7,0,0,1,0,0,0,0,0,0,0
151691280,2,2,3,7,0,0,1,0,0,0,0,0,0,0
253058140,2,3,4,7,0,0,1,0,0,0,0,0,0,0
299392879,2,4,5,7,0,0,1,0,0,0,0,0,0,0
403558741,2,5,6,7,0,0,1,0,0,0,0,0,0,0
436845577,2,6,6,7,0,0,1,0,1,0,0,0,0,0
483070560,3,-1,0,7,0,0,1,0,0,0,0,0,0,0
