timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
141043090,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
141546043,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
142052974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
142560479,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
143068973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
143575972,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
144061181,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
144072028,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
144083185,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
144094012,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
144602273,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
145110052,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
145616047,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
146122977,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
146632228,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
147139077,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
147647017,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
148155974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
148665003,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
149172348,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
149673979,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
150175415,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
150676013,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
151177165,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
151680134,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
152182010,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
152683398,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
153193044,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
153701977,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
154204976,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
154714990,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
155218011,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
155722466,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
156224262,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
156726044,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
157227029,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
157737061,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
158245341,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
158754310,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
159261571,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
159770046,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
160278018,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
160785976,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
161294976,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
161804319,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
162311189,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
162818043,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
163326271,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
163836355,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
164344032,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
164851974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
165360046,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
165868187,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
166374012,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
166881248,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
167388975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
167898138,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
168406974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
168917187,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
169425976,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
169933572,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
170442073,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
170949987,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
171457030,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
171964483,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
172471976,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
172983416,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
173490019,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
173998043,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
174507263,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
175013984,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
175514010,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
176023134,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
176531102,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
177040580,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
177548975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
178056973,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
178565080,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
179073101,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
179583083,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
180089975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
180598015,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
181105975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
181613179,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
182120135,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
182629005,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
183138526,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
183645002,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
184154013,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
184662454,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
185169306,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
185676973,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
186185008,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
186694973,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
187205168,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
187712973,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
188219358,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
188727125,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
189237288,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
189745014,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
190253114,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
190759975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
191269029,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
191778010,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
192286975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
192797560,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
193306076,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
193813029,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
194322021,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
194830400,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
195337007,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
195847199,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
196355030,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
196862974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
197372056,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
197879972,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
198389142,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
198898012,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
199405975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
199915127,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
200421105,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
200928149,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
201436975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
201945976,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
202455033,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
202963974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
203464086,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
203971161,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
204478077,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
204986057,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
205496077,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
206005083,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
206514103,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
207022140,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
207532326,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
208039975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
208548039,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
209056060,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
209563974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
210072974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
210581555,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
211089323,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
211596033,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
212105099,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
212612017,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
213119975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
213628022,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
214137050,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
214645169,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
215151975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
215661342,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
216168158,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
216677028,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
217185921,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
217693998,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
218200017,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
218710348,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
219217001,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
219726004,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
220233017,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
220742121,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
221249974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
221757088,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
222264975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
222773975,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
223281056,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
223790242,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
224296974,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
224806009,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
225314983,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
