timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
17940746,17940639,4259850,4325386,6.3872617e-06,-1.385099e-05,-1.5416137e-05,-0.0045889416,-0.0004529417,-0.047679003,4987,4908,0
17945742,17945624,4259850,4325386,-2.6524594e-06,0.00014621242,-0.0001281258,-0.0019417555,0.00025337876,-0.04783236,4985,4938,0
18439431,18439318,4259850,4325386,-0.00018755299,-0.00031587647,0.0006945465,-0.0039284895,0.0019014361,-0.050618324,4987,4966,0
18943156,18943016,4259850,4325386,1.627099e-05,0.00022459484,-0.0005550941,-0.0007389695,-0.0007500221,-0.04972502,4969,4973,0
19441906,19441773,4259850,4325386,0.0004900074,0.00017854093,-0.00022143811,-0.0013364957,-0.0039464356,-0.04532355,4956,4693,0
19945722,19945599,4259850,4325386,0.00019378007,0.000545266,-0.0005734362,-0.00048029664,-0.0047884434,-0.04859253,5246,4993,0
20444155,20444015,4259850,4325386,0.00043388546,0.00041433575,-0.0004016134,0.0011609674,-5.778741e-05,-0.047880027,4987,4909,0
20937935,20937794,4259850,4325386,0.00015455548,0.000191962,0.0006448816,-0.002533347,0.0008314604,-0.047565203,5036,4932,0
21441633,21441490,4259850,4325386,0.00031590142,-0.00052524696,-0.00024534966,-0.0028580565,-0.0017145032,-0.042951263,4985,4663,0
21940306,21940133,4259850,4325386,0.00012783575,-0.00063078443,-2.6138707e-05,0.00053088256,-0.0013326679,-0.044190478,4970,4910,0
22438876,22438740,4259850,4325386,0.0001575658,-0.0007211218,0.00075175095,0.00027056105,-0.002013118,-0.046637725,4991,4910,0
22942514,22942403,4259850,4325386,0.00029061874,0.00016511559,0.00024282387,-0.00248148,0.002830158,-0.045873612,4944,4910,0
23441247,23441085,4259850,4325386,-0.0021451958,0.0012553602,5.3059848e-05,-0.015953552,-0.0052063926,-0.061856683,4986,4934,0
23939885,23939767,4259850,4325386,0.0021860064,-0.00097105466,3.6251102e-05,0.0033957022,0.0018601944,-0.040797792,4987,4961,0
24438758,24438637,4259850,4325386,0.00011838648,-0.0007249576,-0.00082136726,-0.00094322755,0.002788516,-0.04565059,4955,4662,0
24942261,24942115,4259850,4325386,-0.00055000506,0.00048029344,-0.00041571958,-0.010783018,0.0062283534,-0.0584635,4982,4910,0
25440954,25440798,4259850,4325386,-0.0013847349,0.0003238571,0.000435193,0.0041046795,-0.0024525502,-0.051195666,4976,4960,0
25939585,25939476,4259850,4325386,-0.00072322605,0.00093168096,-0.00015138398,-0.017104259,-0.008457831,-0.056012157,4987,4931,0
26443282,26443146,4259850,4325386,-0.00040735662,-0.00023546425,0.00024915556,0.00051908015,-0.015668113,-0.045449633,4987,4910,0
26942111,26941999,4259850,4325386,-0.00088187645,0.00051419914,0.00041193792,-0.0019126768,-0.0031668448,-0.05025988,4954,4910,0
27440616,27440507,4259850,4325386,-0.00024381145,0.00026929058,0.00063408667,-0.0058340156,0.007806997,-0.043292295,4988,4868,0
27939347,27939237,4259850,4325386,0.0007446145,0.00017405758,-0.0002482929,0.0029101118,0.0070671705,-0.050088987,5035,4910,0
28438032,28437908,4259850,4325386,-0.00055754825,0.00057190936,0.0010448613,0.004373436,0.0071823206,-0.047767848,4987,4966,0
28941869,28941712,4259850,4325386,0.0005597492,0.00021262298,0.00033167886,-0.0009958291,0.0010901798,-0.042899277,4959,4956,0
29440659,29440471,4259850,4325386,0.00075975765,-0.0017197471,0.000104275474,0.0010832644,0.01220944,-0.040122617,4972,4909,0
29944042,29943894,4259850,4325386,-0.001081288,0.0008910106,-0.0006011588,-0.0038219218,0.0054555945,-0.047995288,4991,4907,0
30442721,30442569,4259850,4325386,-0.00051159685,0.00019388479,5.671905e-05,0.007266627,0.006441177,-0.04206814,4989,4960,0
30941839,30941255,4259850,4325386,0.00045059941,-7.090969e-05,0.00029593462,0.0048515312,0.0026539762,-0.04724436,4979,4909,0
31440081,31439969,4259850,4325386,-0.0011417401,0.00097614253,0.0014785753,-0.0008363744,0.0022955304,-0.054930437,4951,4990,0
31938743,31938610,4259850,4325386,-0.00014010094,0.00060307817,-0.0002817159,0.0037126644,0.009340654,-0.042246062,4986,4988,0
32441950,32441834,4259850,4325386,0.0013159114,-0.0015907118,-0.0009998443,-0.0042333156,-0.009829001,-0.044975255,4938,4938,0
32941070,32940960,4259850,4325386,-0.0012311077,0.00030062188,0.0005278134,-0.0029535207,0.0022955034,-0.044470016,4977,4915,0
33439815,33439697,4259850,4325386,0.00037517614,0.00012409576,-0.00010192593,-0.0021524744,-0.012952166,-0.043618806,5042,4913,0
33943532,33943397,4259850,4325386,-0.0007101051,-0.0006263407,-0.0005975105,-0.0051730596,0.0066389106,-0.046506543,4969,4987,0
34442158,34441995,4259850,4325386,2.5562988e-05,-0.0009294196,-0.0005382258,0.0026944205,-0.0029428764,-0.04840781,4990,4992,0
34941539,34941293,4259850,4325386,0.00045226986,-0.00072111917,-0.00026609967,-0.0052615213,-0.025038455,-0.056270033,4972,5855,0
35440035,35439904,4259850,4325386,-0.00013241018,-0.00040981566,4.4916884e-05,-0.0023804884,-0.0061758556,-0.04799525,4990,4908,0
35938697,35938582,4259850,4325386,8.126964e-05,6.913481e-05,-0.00038728578,-0.0075800125,-0.02556529,-0.05255686,4935,4899,0
36442611,36442256,4259850,4325386,-0.0013555055,-2.7211634e-06,0.00013587318,-0.0034436558,-0.007352287,-0.042516507,4991,4956,0
36941047,36940934,4259850,4325386,-2.0766674e-05,-0.00048990815,0.00045963976,-0.0052617434,0.0024578562,-0.04743314,4988,4906,0
37439939,37439791,4259850,4325386,0.00046553425,0.0005431168,0.00070935517,0.0012350825,0.008544496,-0.044491403,4961,4682,0
37943420,37943283,4259850,4325386,0.0019957905,-0.00011672672,-0.00012162783,0.004569489,0.009282333,-0.043040402,4987,4897,0
38442086,38441967,4259850,4325386,8.469082e-05,-0.00030096318,-0.00010658726,-0.0071978373,-0.0055561196,-0.04441088,4989,4911,0
38940766,38940650,4259850,4325386,-0.00021394933,-0.00040454796,-0.00014510086,-0.00882577,-0.013318404,-0.049819075,4978,4908,0
39439575,39439462,4259850,4325386,-0.00011282968,-0.000454,2.3135403e-06,-0.0060726074,-0.013833506,-0.049358655,4967,4909,0
39943584,39943466,4259850,4325386,0.00018216537,-7.3831965e-05,-0.00038336348,-0.0005604978,-0.013671952,-0.04637992,5006,4807,0
40442389,40442255,4259850,4325386,0.0021077173,-0.0016648719,-4.052007e-05,-0.002063595,0.0057249907,-0.045990534,4977,4701,0
40941262,40941077,4259850,4325386,-5.9031816e-05,0.00015660169,-0.0007108915,0.0025344326,-0.0058908425,-0.05348595,5250,5895,0
41439647,41439492,4259850,4325386,0.0010040808,-0.00032524823,-0.0007935793,-0.0032906807,-0.016826605,-0.0534856,4986,5711,0
41938350,41938231,4259850,4325386,-0.0012898222,0.0021878844,0.0005107246,-0.0043620435,0.0013333851,-0.046290856,4985,4643,0
42442086,42441976,4259850,4325386,-0.0007109206,-0.00043012886,0.00045346445,-0.002101942,0.016794363,-0.0468063,4966,4909,0
42940748,42940584,4259850,4325386,-0.0004681643,0.00092242763,0.00089572184,-0.0006855349,0.018495686,-0.046299305,4965,4910,0
43439339,43439207,4259850,4325386,-0.0004791941,0.00027239867,0.0006117705,-0.01326681,0.0038597097,-0.05107735,4987,4946,0
43942985,43942875,4259850,4325386,-0.00018573333,-0.00037843132,-0.000307766,-0.007530507,-0.010873637,-0.04992296,4986,4976,0
44441667,44441557,4259850,4325386,-0.0005862462,-0.00034034025,-0.00054967805,-0.004189021,0.004074644,-0.04642728,4985,4956,0
44940355,44940240,4259850,4325386,0.00080678414,0.0007976061,-0.00031558474,-0.0006916576,-0.007420745,-0.04871087,4975,4908,0
45439214,45439047,4259850,4325386,-0.0022419016,-0.00022990578,-3.7775593e-05,-0.009664799,-0.010539672,-0.049743008,4966,4964,0
