timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
361171267,34.0355688853,108.75737768,417.84,391.489,-0.0,0.731018,1.18673,417.74,2,0,1,0
361181025,34.0355688867,108.757377681,417.84,391.489,-0.0,0.731331,1.18695,417.74,2,0,1,0
361379664,34.0355689117,108.757377697,417.84,391.473,-0.0,0.731309,1.18751,417.746,2,0,1,0
361578306,34.0355689405,108.757377713,417.843,391.459,-0.0,0.73126,1.18725,417.746,2,0,1,0
361776947,34.0355689875,108.757377728,417.844,391.444,-0.0,0.731205,1.18699,417.754,2,0,1,0
361975732,34.0355690401,108.757377736,417.849,391.432,-0.0,0.731157,1.18674,417.756,2,0,1,0
362174229,34.0355690838,108.757377749,417.851,391.419,-0.0,0.731102,1.18727,417.756,2,0,1,0
362377834,34.0355691229,108.757377753,417.855,391.407,-0.0,0.731055,1.187,417.77,2,0,1,0
362576475,34.0355691589,108.757377744,417.865,391.402,-0.0,0.731033,1.18753,417.777,2,0,1,0
362775231,34.0355691921,108.757377733,417.877,391.398,-0.0,0.730985,1.18725,417.782,2,0,1,0
362973758,34.0355692319,108.757377737,417.888,391.394,-0.0,0.730932,1.18696,417.782,2,0,1,0
363177366,34.035569268,108.757377744,417.903,391.394,-0.0,0.730842,1.18748,417.782,2,0,1,0
363371039,34.0355693051,108.75737776,417.918,391.396,-0.0,0.730514,1.18699,417.782,2,0,1,0
363579708,34.0355693633,108.757377811,417.929,391.392,-0.0,0.730803,1.18693,417.782,2,0,1,0
363778253,34.0355694189,108.757377872,417.937,391.386,-0.0,0.73079,1.18666,417.782,2,0,1,0
363981860,34.0355694838,108.757377915,417.942,391.377,-0.0,0.730739,1.18718,417.782,2,0,1,0
364180501,34.035569534,108.757377979,417.949,391.37,-0.0,0.730698,1.18691,417.782,2,0,1,0
364379213,34.0355695992,108.757377989,417.95,391.357,-0.0,0.730667,1.18665,417.782,2,0,1,0
364577783,34.0355696806,108.757377988,417.951,391.345,-0.0,0.730632,1.18638,417.782,2,0,1,0
364776471,34.0355697627,108.757378023,417.954,391.335,-0.0,0.730605,1.18691,417.782,2,0,1,0
364975064,34.0355698152,108.757378087,417.959,391.328,-0.0,0.730605,1.18665,417.782,2,0,1,0
365173715,34.0355698358,108.757378292,417.971,391.326,-0.0,0.730545,1.18639,417.782,2,0,1,0
365377315,34.0355698673,108.757378689,417.984,391.327,-0.0,0.730483,1.18691,417.782,2,0,1,0
