timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
414536595,414536,1,1,1,0,0,0,0,0
415037729,414536,1,1,1,0,0,0,0,0
415547437,414536,1,1,1,0,0,0,0,0
416055356,414536,1,1,1,0,0,0,0,0
416565362,414536,1,1,1,0,0,0,0,0
417076309,414536,1,1,1,0,0,0,0,0
417583311,414536,1,1,1,0,0,0,0,0
418094305,414536,1,1,1,0,0,0,0,0
418604311,414536,1,1,1,0,0,0,0,0
419112367,414536,1,1,1,0,0,0,0,0
419623316,414536,1,1,1,0,0,0,0,0
420130255,414536,1,1,1,0,0,0,0,0
420640352,414536,1,1,1,0,0,0,0,0
421147515,414536,1,1,1,0,0,0,0,0
421655607,414536,1,1,1,0,0,0,0,0
422165310,414536,1,1,1,0,0,0,0,0
422672512,414536,1,1,1,0,0,0,0,0
423182718,414536,1,1,1,0,0,0,0,0
423690308,414536,1,1,1,0,0,0,0,0
424199366,414536,1,1,1,0,0,0,0,0
424709432,414536,1,1,1,0,0,0,0,0
425216413,414536,1,1,1,0,0,0,0,0
425717491,414536,1,1,1,0,0,0,0,0
426226377,414536,1,1,1,0,0,0,0,0
426735620,414536,1,1,1,0,0,0,0,0
427244313,414536,1,1,1,0,0,0,0,0
427752557,414536,1,1,1,0,0,0,0,0
428253311,414536,1,1,1,0,0,0,0,0
428762365,414536,1,1,1,0,0,0,0,0
429271545,414536,1,1,1,0,0,0,0,0
429780311,414536,1,1,1,0,0,0,0,0
430288048,414536,1,1,1,0,0,0,0,0
430788715,414536,1,1,1,0,0,0,0,0
431299435,414536,1,1,1,0,0,0,0,0
431800806,414536,1,1,1,0,0,0,0,0
432310311,414536,1,1,1,0,0,0,0,0
432816615,414536,1,1,1,0,0,0,0,0
433324818,414536,1,1,1,0,0,0,0,0
433832322,414536,1,1,1,0,0,0,0,0
434339309,414536,1,1,1,0,0,0,0,0
434850308,414536,1,1,1,0,0,0,0,0
435358741,414536,1,1,1,0,0,0,0,0
435859313,414536,1,1,1,0,0,0,0,0
436369403,414536,1,1,1,0,0,0,0,0
436877847,414536,1,1,1,0,0,0,0,0
437387924,414536,1,1,1,0,0,0,0,0
437894326,414536,1,1,1,0,0,0,0,0
438406191,414536,1,1,1,0,0,0,0,0
438915362,414536,1,1,1,0,0,0,0,0
439423421,414536,1,1,1,0,0,0,0,0
439935702,414536,1,1,1,0,0,0,0,0
440441310,414536,1,1,1,0,0,0,0,0
440951364,414536,1,1,1,0,0,0,0,0
441462369,414536,1,1,1,0,0,0,0,0
441971551,414536,1,1,1,0,0,0,0,0
442474389,414536,1,1,1,0,0,0,0,0
442983355,414536,1,1,1,0,0,0,0,0
443493523,414536,1,1,1,0,0,0,0,0
444003308,414536,1,1,1,0,0,0,0,0
444059586,414536,1,1,1,0,0,0,0,0
444566309,414536,1,1,1,0,0,0,0,0
445066357,414536,1,1,1,0,0,0,0,0
445575306,414536,1,1,1,0,0,0,0,0
446086307,414536,1,1,1,0,0,0,0,0
446595404,414536,1,1,1,0,0,0,0,0
447102311,414536,1,1,1,0,0,0,0,0
447613351,414536,1,1,1,0,0,0,0,0
448119657,414536,1,1,1,0,0,0,0,0
448629376,414536,1,1,1,0,0,0,0,0
449138404,414536,1,1,1,0,0,0,0,0
449644309,414536,1,1,1,0,0,0,0,0
450144360,414536,1,1,1,0,0,0,0,0
450651307,414536,1,1,1,0,0,0,0,0
451160309,414536,1,1,1,0,0,0,0,0
451660481,414536,1,1,1,0,0,0,0,0
451990895,414536,1,1,1,0,0,0,0,0
452500311,414536,1,1,1,0,0,0,0,0
453008309,414536,1,1,1,0,0,0,0,0
453517395,414536,1,1,1,0,0,0,0,0
454018309,414536,1,1,1,0,0,0,0,0
454527078,414536,1,1,1,0,0,0,0,0
455035539,414536,1,1,1,0,0,0,0,0
455544536,414536,1,1,1,0,0,0,0,0
456053308,414536,1,1,1,0,0,0,0,0
456553395,414536,1,1,1,0,0,0,0,0
457061385,414536,1,1,1,0,0,0,0,0
457571365,414536,1,1,1,0,0,0,0,0
458080365,414536,1,1,1,0,0,0,0,0
458588308,414536,1,1,1,0,0,0,0,0
459100549,414536,1,1,1,0,0,0,0,0
459607600,414536,1,1,1,0,0,0,0,0
460116310,414536,1,1,1,0,0,0,0,0
460625308,414536,1,1,1,0,0,0,0,0
461134312,414536,1,1,1,0,0,0,0,0
461644342,414536,1,1,1,0,0,0,0,0
462150405,414536,1,1,1,0,0,0,0,0
462659314,414536,1,1,1,0,0,0,0,0
463169620,414536,1,1,1,0,0,0,0,0
463675307,414536,1,1,1,0,0,0,0,0
464175311,414536,1,1,1,0,0,0,0,0
464681706,414536,1,1,1,0,0,0,0,0
465191385,414536,1,1,1,0,0,0,0,0
465701311,414536,1,1,1,0,0,0,0,0
466207797,414536,1,1,1,0,0,0,0,0
466708348,414536,1,1,1,0,0,0,0,0
467218416,414536,1,1,1,0,0,0,0,0
467719309,414536,1,1,1,0,0,0,0,0
468220313,414536,1,1,1,0,0,0,0,0
468730319,414536,1,1,1,0,0,0,0,0
469231305,414536,1,1,1,0,0,0,0,0
469741312,414536,1,1,1,0,0,0,0,0
470243537,414536,1,1,1,0,0,0,0,0
470753314,414536,1,1,1,0,0,0,0,0
471261703,414536,1,1,1,0,0,0,0,0
471771351,414536,1,1,1,0,0,0,0,0
472279309,414536,1,1,1,0,0,0,0,0
472786398,414536,1,1,1,0,0,0,0,0
473297396,414536,1,1,1,0,0,0,0,0
473803509,414536,1,1,1,0,0,0,0,0
474313313,414536,1,1,1,0,0,0,0,0
474822823,414536,1,1,1,0,0,0,0,0
475329351,414536,1,1,1,0,0,0,0,0
475839310,414536,1,1,1,0,0,0,0,0
476347406,414536,1,1,1,0,0,0,0,0
476848646,414536,1,1,1,0,0,0,0,0
477359308,414536,1,1,1,0,0,0,0,0
477866309,414536,1,1,1,0,0,0,0,0
478377392,414536,1,1,1,0,0,0,0,0
478884309,414536,1,1,1,0,0,0,0,0
479394364,414536,1,1,1,0,0,0,0,0
479905392,414536,1,1,1,0,0,0,0,0
480412304,414536,1,1,1,0,0,0,0,0
480923311,414536,1,1,1,0,0,0,0,0
481432311,414536,1,1,1,0,0,0,0,0
481942667,414536,1,1,1,0,0,0,0,0
482453308,414536,1,1,1,0,0,0,0,0
482963453,414536,1,1,1,0,0,0,0,0
483473815,414536,1,1,1,0,0,0,0,0
483981478,414536,1,1,1,0,0,0,0,0
484490489,414536,1,1,1,0,0,0,0,0
484999309,414536,1,1,1,0,0,0,0,0
485506318,414536,1,1,1,0,0,0,0,0
486015806,414536,1,1,1,0,0,0,0,0
486524346,414536,1,1,1,0,0,0,0,0
487032635,414536,1,1,1,0,0,0,0,0
487542765,414536,1,1,1,0,0,0,0,0
488050307,414536,1,1,1,0,0,0,0,0
488560304,414536,1,1,1,0,0,0,0,0
489068358,414536,1,1,1,0,0,0,0,0
489576309,414536,1,1,1,0,0,0,0,0
490086308,414536,1,1,1,0,0,0,0,0
490592309,414536,1,1,1,0,0,0,0,0
491103444,414536,1,1,1,0,0,0,0,0
491612366,414536,1,1,1,0,0,0,0,0
492120538,414536,1,1,1,0,0,0,0,0
492631307,414536,1,1,1,0,0,0,0,0
493139408,414536,1,1,1,0,0,0,0,0
493649309,414536,1,1,1,0,0,0,0,0
494159307,414536,1,1,1,0,0,0,0,0
494668088,414536,1,1,1,0,0,0,0,0
495178670,414536,1,1,1,0,0,0,0,0
495686310,414536,1,1,1,0,0,0,0,0
496196308,414536,1,1,1,0,0,0,0,0
496705328,414536,1,1,1,0,0,0,0,0
497212309,414536,1,1,1,0,0,0,0,0
497722359,414536,1,1,1,0,0,0,0,0
498229307,414536,1,1,1,0,0,0,0,0
498739361,414536,1,1,1,0,0,0,0,0
499249307,414536,1,1,1,0,0,0,0,0
499756590,414536,1,1,1,0,0,0,0,0
500258306,414536,1,1,1,0,0,0,0,0
500767435,414536,1,1,1,0,0,0,0,0
501276351,414536,1,1,1,0,0,0,0,0
501776385,414536,1,1,1,0,0,0,0,0
502282349,414536,1,1,1,0,0,0,0,0
502794708,414536,1,1,1,0,0,0,0,0
503301422,414536,1,1,1,0,0,0,0,0
503811309,414536,1,1,1,0,0,0,0,0
504322361,414536,1,1,1,0,0,0,0,0
504828306,414536,1,1,1,0,0,0,0,0
505338357,414536,1,1,1,0,0,0,0,0
505846745,414536,1,1,1,0,0,0,0,0
506353309,414536,1,1,1,0,0,0,0,0
506862307,414536,1,1,1,0,0,0,0,0
