timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
414813893,0.0853106,-0.131447,-0.0703489,5003,0,1.39242,-0.859136,-9.47292,5003,0
414818894,-0.00136954,-0.137931,-0.0740244,5001,0,-0.142866,-1.25979,-10.4025,5001,0
414823919,-0.0520488,-0.0967944,-0.0670745,5025,0,-2.54153,-0.63258,-10.3148,5025,0
414828901,-0.0801196,0.0115394,0.00360326,4982,0,-3.54446,0.642929,-10.454,4982,0
414833916,-0.010084,0.10851,0.0519491,5015,0,-2.048,1.38812,-10.9188,5015,0
414838909,0.0741459,0.211146,0.0839619,4993,0,0.628496,1.35544,-10.7682,4993,0
414843915,0.162065,0.140935,0.0234981,5006,0,2.66109,-0.402391,-9.46299,5006,0
414848931,0.165375,-0.156293,-0.0720299,5016,0,3.03313,-1.99441,-8.5172,5016,0
414853922,0.0520534,-0.289878,-0.112402,4991,0,0.551083,-2.90974,-9.34824,4991,0
414858928,-0.158275,-0.175773,-0.0797265,5006,0,-3.66524,-1.61344,-10.8176,5006,0
414863938,-0.252664,0.0746631,-0.0144062,5010,0,-5.58664,0.468394,-11.334,5010,0
414868932,-0.0151818,0.197776,0.046924,4994,0,-3.24585,2.92523,-11.3242,4994,0
414873937,0.145907,0.274898,0.117987,5005,0,1.22602,3.26722,-11.2967,5005,0
414878940,0.297424,0.163567,0.0698974,5003,0,4.907,0.0686009,-9.54302,5003,0
414883944,0.225441,-0.218365,-0.0961661,5004,0,4.80066,-3.90086,-6.91576,5004,0
414888948,0.0752231,-0.474828,-0.166696,5004,0,-0.246899,-4.20418,-7.53995,5004,0
414893955,-0.332757,-0.204764,-0.0755757,5007,0,-6.21041,-1.93403,-11.852,5007,0
414898956,-0.399184,0.255707,0.0292106,5001,0,-7.2488,1.43952,-13.3596,5001,0
414903960,0.0719159,0.37584,0.0627996,5004,0,-2.98363,4.20647,-12.1696,5004,0
414908964,0.342022,0.264557,0.133633,5004,0,3.83574,4.36908,-11.4643,5004,0
414913968,0.316027,0.0840424,0.100371,5004,0,7.83591,-1.72229,-8.31588,5004,0
414918972,0.260815,-0.351956,-0.211589,5004,0,3.86304,-6.52151,-4.63076,5004,0
414923976,-0.0908316,-0.561518,-0.229137,5004,0,-3.99638,-4.0184,-6.42259,5004,0
414928983,-0.633584,-0.0982146,-0.020178,5007,0,-8.31102,-0.0522447,-14.0821,5007,0
414933984,-0.154104,0.490207,0.0868085,5001,0,-6.166,3.42787,-16.169,5001,0
414938987,0.33403,0.427583,0.117724,5003,0,0.743324,5.16046,-12.044,5003,0
414943991,0.261206,0.128808,0.136703,5004,0,7.36058,1.32145,-9.41152,5004,0
414948995,0.307186,-0.192697,-0.0658949,5004,0,6.78715,-5.21305,-5.59302,5004,0
414953999,0.168017,-0.512053,-0.285651,5004,0,-1.50076,-6.11247,-3.53133,5004,0
414959003,-0.633069,-0.390766,-0.159763,5004,0,-7.83938,-1.08585,-10.7842,5004,0
414964010,-0.468302,0.32511,0.0703269,5007,0,-7.18418,2.95734,-17.5996,5007,0
414969011,0.387652,0.544043,0.122478,5001,0,-0.718798,5.01692,-14.4547,5001,0
414974015,0.257533,0.198122,0.189225,5004,0,5.93813,2.65945,-10.169,5004,0
414979019,0.23987,-0.18092,-0.00841637,5004,0,6.54016,-4.63009,-5.91707,5004,0
414984022,0.26267,-0.405068,-0.23904,5003,0,-0.279529,-6.68288,-3.22769,5003,0
414989026,-0.53976,-0.398572,-0.241015,5004,0,-7.11157,-2.27205,-8.56245,5004,0
414994030,-0.652529,0.177707,0.0396591,5004,0,-6.90034,3.19711,-16.3577,5004,0
414999035,0.29739,0.521509,0.123624,5005,0,-0.513496,5.06988,-16.4793,5005,0
415004038,0.310983,0.269501,0.20439,5003,0,5.7768,3.75464,-11.4686,5003,0
415009042,0.235111,-0.12417,0.038748,5004,0,5.80784,-3.82189,-5.80497,5004,0
415014046,0.279187,-0.411291,-0.226636,5004,0,-0.678528,-7.03042,-2.28629,5004,0
415019050,-0.450717,-0.420266,-0.272032,5004,0,-7.04062,-3.27129,-8.11285,5004,0
415024054,-0.699267,0.154498,0.0174034,5004,0,-6.62856,2.57191,-16.0559,5004,0
415029058,0.209381,0.519546,0.122704,5004,0,-0.00567502,4.77077,-17.0615,5004,0
415034062,0.319339,0.272878,0.19757,5004,0,6.09836,4.28904,-12.189,5004,0
415039065,0.189123,-0.119726,0.0638062,5003,0,5.63915,-2.71926,-6.01028,5003,0
415044069,0.297594,-0.402936,-0.220243,5004,0,-1.18196,-6.65098,-1.74597,5004,0
415049073,-0.369168,-0.405451,-0.282372,5004,0,-7.44497,-3.31796,-7.5951,5004,0
415054077,-0.715815,0.137386,0.018922,5004,0,-6.56485,2.3467,-16.0796,5004,0
415059081,0.20693,0.524141,0.129095,5004,0,0.482807,4.1279,-17.8134,5004,0
415064085,0.339367,0.276705,0.191201,5004,0,6.52764,3.99734,-12.3904,5004,0
415069089,0.144889,-0.135776,0.0589815,5004,0,5.56723,-2.51461,-5.87298,5004,0
415074095,0.287454,-0.429418,-0.241759,5006,0,-1.8461,-6.19957,-1.23752,5006,0
415079097,-0.302239,-0.37157,-0.274744,5002,0,-7.78277,-2.92395,-7.40425,5002,0
415084103,-0.632993,0.126233,0.0347158,5006,0,-5.53525,2.30175,-16.048,5006,0
415089104,0.121363,0.451049,0.132474,5001,0,1.70057,4.02801,-18.3257,5001,0
415094108,0.377235,0.216487,0.179538,5004,0,5.67576,3.86849,-12.8441,5004,0
415099112,0.233309,-0.117492,0.0703284,5004,0,4.05215,-2.14871,-5.32546,5004,0
415104119,0.198391,-0.361922,-0.263329,5007,0,-2.23061,-6.81613,-1.77752,5007,0
415109120,-0.291227,-0.28474,-0.292634,5001,0,-7.2538,-2.24169,-7.4755,5001,0
415114124,-0.562876,0.094357,0.0561689,5004,0,-4.34693,2.95963,-16.3912,5004,0
415119128,0.222482,0.353023,0.204794,5004,0,2.6062,4.79604,-16.2619,5004,0
415124132,0.5099,0.185145,0.131489,5004,0,4.69821,1.44942,-11.5702,5004,0
415129136,0.145004,-0.13641,-0.0752091,5004,0,0.80734,-3.29546,-5.58504,5004,0
415134140,0.0181517,-0.228362,-0.25192,5004,0,-4.06045,-4.5702,-5.09446,5004,0
415139143,-0.217986,-0.0512125,-0.0678313,5003,0,-4.30936,0.111881,-11.2855,5003,0
415144153,-0.0238813,0.146718,0.149658,5010,0,1.06376,2.98515,-11.4121,5010,0
415149151,0.28768,0.109191,0.0269282,4998,0,3.51885,0.618298,-12.0078,4998,0
415154163,0.00992739,-0.00186229,-0.120191,5012,0,-0.704783,-0.853922,-11.5737,5012,0
415159159,-0.0282274,-0.0177731,-0.0366505,4996,0,-4.12103,0.0954754,-9.27297,4996,0
415164163,0.278893,0.0248508,0.1285,5004,0,-1.13366,0.209137,-8.77782,5004,0
415169167,0.307979,0.0671638,0.0890376,5004,0,3.15078,-1.99846,-7.91027,5004,0
415174171,-0.171861,-0.0475729,-0.146295,5004,0,1.73708,-3.19785,-8.97577,5004,0
415179175,-0.418801,-0.115337,-0.153076,5004,0,-3.41964,-0.084847,-13.385,5004,0
415184181,0.00731072,-0.0210136,0.0926389,5006,0,-3.64919,4.04763,-13.4619,5006,0
415189183,0.637668,0.0995294,0.220704,5002,0,1.68672,1.99314,-9.8536,5002,0
415194186,0.350052,0.129283,0.00312676,5003,0,2.95959,-4.55338,-6.53071,5003,0
415199194,-0.489328,-0.0579492,-0.18991,5008,0,-2.65595,-4.69796,-8.067,5008,0
415204194,-0.483857,-0.133135,-0.107899,5000,0,-4.71904,1.38473,-11.1776,5000,0
415209202,0.509344,-0.103677,0.108099,5008,0,1.77002,3.32412,-12.1579,5008,0
415214202,0.491794,0.12449,0.0781119,5000,0,4.99653,-1.5707,-11.84,5000,0
415219206,-0.548277,0.122085,-0.0780674,5004,0,-2.10015,-3.31761,-11.3814,5004,0
415224210,-0.527504,0.0130875,-0.132046,5004,0,-7.38278,0.24872,-8.10339,5004,0
415229216,0.601174,-0.146274,0.0181515,5006,0,-0.539073,2.39404,-6.80301,5006,0
415234220,0.499669,0.0163029,0.0466488,5004,0,5.95755,-1.93047,-10.6279,5004,0
415239231,-0.655703,0.122281,-0.00154648,5011,0,1.13345,-2.54375,-14.8044,5011,0
415244226,-0.637742,0.117102,-0.0803169,4995,0,-5.0756,-0.566533,-10.3327,4995,0
415249229,0.563867,-0.176982,-0.0886998,5003,0,-1.8699,1.45535,-6.08081,5003,0
415254233,0.451632,-0.142424,-0.0139868,5004,0,2.15069,0.439828,-9.53004,5004,0
415259241,-0.555004,0.199717,0.152705,5008,0,0.0262458,0.0621765,-14.982,5008,0
415264241,-0.455828,0.197561,0.0609137,5000,0,-2.77592,-1.99694,-9.30422,5000,0
415269248,0.464938,-0.0616722,-0.162573,5007,0,-0.293691,-2.06079,-5.79887,5007,0
415274251,0.200059,-0.190703,-0.0810424,5003,0,1.95639,1.38256,-8.42516,5003,0
415279261,-0.685816,-0.047613,0.201043,5010,0,-0.439377,1.73904,-15.7684,5010,0
415284257,-0.0798414,0.0664258,0.136048,4996,0,-2.59754,-2.05085,-11.2799,4996,0
415289261,0.505864,0.241658,-0.179526,5004,0,-1.29227,-3.1653,-6.32555,5004,0
415294271,-0.236665,-0.0209895,-0.0897974,5010,0,0.424955,2.60069,-7.90394,5010,0
415299275,-0.77649,-0.19305,0.20582,5004,0,-0.592798,1.45564,-15.2723,5004,0
415304279,0.490551,0.00349343,0.165827,5004,0,0.111742,-3.19688,-12.9999,5004,0
415309291,0.413985,0.401141,-0.19275,5012,0,-0.622199,-3.04881,-7.04648,5012,0
415314286,-0.784571,0.0996197,-0.168255,4995,0,-1.95109,4.11234,-5.42706,4995,0
415319292,-0.501446,-0.429545,0.130168,5006,0,-0.450182,2.06759,-11.1918,5006,0
415324290,0.74151,-0.0267307,0.168001,4998,0,1.65954,-5.53655,-17.2232,4998,0
415329292,0.124074,0.725246,-0.133338,5002,0,-1.68469,-2.97074,-11.0172,5002,0
415334296,-1.0428,0.187536,-0.153599,5004,0,-3.50377,5.19215,-1.83828,5004,0
415339300,-0.119172,-0.662747,0.0584234,5004,0,1.26007,2.21558,-7.23832,5004,0
415344304,0.972349,-0.0779315,0.138912,5004,0,3.24369,-5.25265,-17.9021,5004,0
415349308,-0.464424,0.891825,-0.0377385,5004,0,-2.51553,-2.75268,-13.7198,5004,0
415354314,-0.980772,0.112595,-0.155718,5006,0,-3.89508,3.79432,-1.62346,5006,0
415359316,0.588641,-0.788706,0.0377525,5002,0,2.77329,2.90779,-6.6671,5002,0
415364320,0.653215,-0.0148844,0.0999842,5004,0,3.50289,-4.45042,-16.5827,5004,0
415369325,-0.761648,0.829037,-0.0348697,5005,0,-3.89235,-0.362432,-12.9849,5005,0
415374327,-0.539089,-0.129656,-0.126178,5002,0,-2.94161,4.36256,-1.50423,5002,0
415379331,0.776322,-0.764938,-0.00813307,5004,0,3.87457,-0.191079,-9.5767,5004,0
415384335,0.437446,0.231143,0.0669603,5004,0,1.24082,-3.99588,-20.1216,5004,0
415389339,-0.895003,0.710612,0.067048,5004,0,-4.3653,1.29977,-9.61563,5004,0
415394343,-0.274966,-0.418317,-0.127697,5004,0,-0.744808,2.52575,0.610156,5004,0
415399347,1.01485,-0.607486,-0.169303,5004,0,3.74673,-2.15652,-11.028,5004,0
415404351,-0.0549829,0.386412,0.177407,5004,0,-0.684631,0.115344,-21.5766,5004,0
415409355,-0.909052,0.340666,0.176835,5004,0,-3.39637,0.672696,-5.68528,5004,0
415414359,0.639764,-0.565184,-0.303675,5004,0,-0.140962,-2.1309,-0.834168,5004,0
415419362,0.772451,-0.301343,-0.240253,5003,0,2.45712,-0.45236,-13.629,5003,0
415424369,-0.902353,0.452085,0.312362,5007,0,-1.2882,1.84058,-19.4582,5007,0
415429370,-0.13738,0.058315,0.0649067,5001,0,-2.7184,-1.23183,-4.50384,5001,0
415434374,1.05082,-0.53007,-0.387464,5004,0,-0.209074,-1.1019,-3.52581,5004,0
415439378,-0.0684687,-0.195179,-0.0750999,5004,0,1.43165,3.02863,-16.2765,5004,0
415444382,-0.668109,0.327083,0.348803,5004,0,-0.554086,-0.426051,-15.8865,5004,0
415449394,0.646139,-0.047584,-0.035048,5012,0,-1.41159,-3.99853,-4.70127,5012,0
415454406,0.450502,-0.303252,-0.353799,5012,0,-1.27688,-0.217307,-7.28745,5012,0
415459393,-0.474365,-0.0875348,0.0211172,4987,0,-1.07421,4.14709,-15.5539,4987,0
415464416,0.123838,0.065185,0.273242,5023,0,0.213808,0.55715,-11.4711,5023,0
415469403,0.623501,0.131218,-0.143266,4987,0,0.190098,-4.08517,-5.82544,4987,0
415474405,-0.0610791,-0.0717195,-0.344682,5002,0,-2.23601,-0.407943,-9.65055,5002,0
415479409,-0.373139,-0.265944,0.120931,5004,0,-2.05481,2.49316,-14.4591,5004,0
415484413,0.747721,0.036523,0.264058,5004,0,1.57901,-1.4683,-10.3476,5004,0
415489417,0.344115,0.508215,-0.275618,5004,0,-0.133425,-2.50574,-4.45969,5004,0
415494432,-0.686361,-0.0757537,-0.312133,5015,0,-3.73355,2.3992,-8.45258,5015,0
415499428,0.154398,-0.701244,0.170685,4996,0,0.619771,1.65772,-16.0542,4996,0
415504429,1.12886,0.237136,0.236334,5001,0,3.30926,-2.37118,-15.6513,5001,0
415509433,-0.185643,0.934991,-0.291285,5004,0,-4.18039,-1.54353,-5.32042,5004,0
415514437,-0.69875,-0.263255,-0.23593,5004,0,-4.35732,1.90244,-1.34618,5004,0
415519440,0.78269,-0.990833,0.208057,5003,0,4.79719,-0.826423,-13.1136,5003,0
415524444,0.601267,0.680323,0.0750704,5004,0,2.04608,-2.91326,-21.8909,5004,0
415529448,-0.680188,1.21098,-0.283225,5004,0,-6.83858,2.54769,-5.80957,5004,0
415534466,-0.0317822,-0.901395,-0.0732369,5018,0,-1.53222,1.94321,0.656377,5018,0
