timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
350942060,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
351449571,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
351958104,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
352466131,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
352975011,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
353482004,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
353988981,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
354495272,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
355001969,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
355512325,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
356021030,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
356527976,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
357036446,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
357545111,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
358052975,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
358560006,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
359068071,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
359574755,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
360080007,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
360588973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
361096977,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
361607150,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
362114972,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
362624037,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
363132375,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
363641634,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
364150972,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
364658400,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
365167121,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
365674975,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
366182987,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
366691149,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
367200065,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
367706976,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
368215441,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
368723065,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
369229974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
369738976,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
370247115,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
370753777,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
371261973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
371771285,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
372279038,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
372786003,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
373295053,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
373802503,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
374309974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
374819211,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
375327974,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
375837973,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
