timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
79705987,1600844402599633,340348724,1087565106,422258,394342,0.205,0.655103,0.872,1.037,0.59,0.99,115,11,0.042,0.012,-0.04,0.041,3.67205,0,nan,0.0,3,1,19
79933683,1600844402799633,340348724,1087565105,422255,394340,0.253,0.655114,0.87,1.034,0.59,0.99,115,11,0.017,0.017,-0.001,0.094,3.67205,0,nan,0.0,3,1,19
80912941,1600844403799633,340348725,1087565101,422312,394396,0.22,0.655164,0.86,1.022,0.59,0.99,115,8,0.017,0.009,-0.014,0.025,3.67205,0,nan,0.0,3,1,19
81910068,1600844404799632,340348721,1087565098,422344,394429,0.204,0.65521,0.852,1.012,0.59,0.99,115,10,0.02,-0.009,-0.018,0.036,3.67205,0,nan,0.0,3,1,19
82906941,1600844405799632,340348716,1087565093,422348,394433,0.192,0.655254,0.844,1.001,0.59,0.99,115,8,0.025,-0.025,0.003,0.041,3.67205,0,nan,0.0,3,1,19
83911938,1600844406799631,340348712,1087565086,422332,394417,0.236,0.655299,0.834,0.991,0.59,0.99,115,14,0.059,0.056,-0.02,0.089,3.67205,0,nan,0.0,3,1,19
84904950,1600844407799631,340348708,1087565080,422306,394391,0.197,0.655341,0.826,0.981,0.59,0.99,114,9,0.044,-0.009,-0.043,0.071,3.67205,0,nan,0.0,3,1,19
85907941,1600844408799631,340348705,1087565073,422310,394394,0.223,0.655385,0.818,0.972,0.59,0.99,114,13,0.035,-0.025,-0.024,-0.018,3.67205,0,nan,0.0,3,1,19
86911941,1600844409799630,340348698,1087565063,422291,394375,0.174,0.655421,0.808,0.963,0.59,0.99,114,11,0.114,-0.082,-0.08,0.081,3.67205,0,nan,0.0,3,1,19
87901942,1600844410799630,340348676,1087565041,422558,394643,0.284,0.375642,0.801,0.96,0.59,0.99,114,15,0.17,-0.06,-0.159,-0.357,3.76742,0,nan,0.0,3,1,19
88899069,1600844411799629,340348672,1087565006,422869,394953,0.256,0.567677,0.799,0.957,0.59,0.99,83,4,0.094,-0.038,-0.085,-0.403,4.61265,0,nan,0.0,3,1,19
89901941,1600844412799629,340348656,1087564995,422913,394998,0.239,0.778046,0.796,0.954,0.59,0.99,83,6,0.114,-0.063,-0.095,0.514,3.87417,0,nan,0.0,3,1,19
90903940,1600844413799628,340348667,1087565001,423031,395116,0.16,0.73336,0.793,0.956,0.59,0.99,83,4,0.264,0.24,-0.109,-0.158,0.0710932,0,nan,0.0,3,1,19
91902003,1600844414799628,340348710,1087564986,422984,395069,0.144,0.264152,0.791,0.954,0.59,0.99,83,4,0.759,0.532,-0.541,-0.555,5.80146,0,nan,0.0,3,1,19
92900198,1600844415799627,340348771,1087564964,423448,395533,0.247,0.253557,0.788,0.953,0.57,0.97,83,5,0.593,0.593,-0.001,0.192,6.2186,0,nan,0.0,3,1,20
93906094,1600844416799627,340348789,1087564996,423654,395739,0.244,0.624875,0.778,0.947,0.57,0.97,83,4,0.261,0.114,0.235,-0.744,1.11263,0,nan,0.0,3,1,20
94908939,1600844417799627,340348787,1087565009,424239,396324,0.24,0.598749,0.775,0.949,0.57,0.97,89,4,0.226,0.172,0.146,0.193,1.14577,0,nan,0.0,3,1,20
95907382,1600844418799626,340348798,1087565011,423915,395999,0.223,0.752811,0.768,0.946,0.57,0.97,89,6,0.089,-0.077,-0.045,-0.544,0.459425,0,nan,0.0,3,1,20
96907939,1600844419799626,340348790,1087565030,424100,396185,0.226,0.686421,0.762,0.944,0.57,0.97,89,4,0.12,-0.074,0.094,0.513,1.75711,0,nan,0.0,3,1,20
97905976,1600844420799625,340348795,1087565025,423896,395980,0.205,0.476671,0.758,0.943,0.57,0.97,89,5,0.385,0.341,-0.177,-0.745,5.89079,0,nan,0.0,3,1,20
98907173,1600844421799625,340348853,1087564998,424010,396094,0.191,0.15597,0.752,0.938,0.57,0.97,89,3,0.731,0.728,0.065,0.441,0.0344744,0,nan,0.0,3,1,20
99900979,1600844422799624,340348908,1087565026,423835,395919,0.191,0.137611,0.746,0.936,0.57,0.97,89,4,0.831,0.757,0.344,-0.294,0.411802,0,nan,0.0,3,1,20
100912940,1600844423799624,340348972,1087565038,424353,396438,0.167,0.138615,0.744,0.935,0.57,0.97,89,3,0.885,0.882,0.074,-0.359,0.0705715,0,nan,0.0,3,1,20
101912974,1600844424799623,340349044,1087565034,424064,396149,0.262,0.169038,0.743,0.937,0.57,0.97,89,6,0.916,0.912,-0.086,0.64,6.1897,0,nan,0.0,3,1,20
102914941,1600844425799623,340349113,1087565031,423708,395793,0.223,0.142461,0.739,0.933,0.57,0.97,83,3,0.796,0.771,0.197,0.137,0.18088,0,nan,0.0,3,1,20
103917942,1600844426799623,340349202,1087565061,423777,395862,0.16,0.101207,0.734,0.927,0.57,0.97,84,5,1.373,1.352,0.237,-0.154,0.227373,0,nan,0.0,4,1,20
104907940,1600844427799622,340349314,1087565084,424201,396286,0.153,0.11349,0.727,0.923,0.57,0.97,89,4,1.148,1.145,0.083,-0.252,0.113481,0,nan,0.0,4,1,20
105917395,1600844428799622,340349413,1087565086,423953,396037,0.205,0.11115,0.719,0.918,0.57,0.97,89,6,1.133,1.13,0.086,0.837,0.0475735,0,nan,0.0,4,1,20
106915061,1600844429799621,340349513,1087565076,423540,395625,0.188,0.160939,0.715,0.916,0.57,0.97,89,6,0.972,0.972,0.005,-0.1,6.21364,0,nan,0.0,4,1,20
107913164,1600844430799621,340349614,1087565103,424327,396412,0.168,0.0800729,0.712,0.912,0.57,0.97,95,5,1.343,1.298,0.345,-0.409,0.248132,0,nan,0.0,4,1,20
108912890,1600844431799620,340349718,1087565130,424431,396516,0.186,0.151341,0.711,0.914,0.57,0.97,95,5,0.921,0.908,0.154,-0.015,0.172058,0,nan,0.0,4,1,20
109909998,1600844432799620,340349802,1087565133,424145,396230,0.189,0.111262,0.709,0.914,0.57,0.97,95,3,1.02,1.02,0.04,0.528,0.0188972,0,nan,0.0,4,1,20
110911969,1600844433799619,340349897,1087565126,423640,395724,0.232,0.123974,0.706,0.911,0.57,0.97,95,3,0.953,0.953,0.036,0.782,6.26364,0,nan,0.0,4,1,20
111910236,1600844434799619,340349965,1087565144,423319,395404,0.215,0.148143,0.705,0.909,0.57,0.97,95,3,0.838,0.792,0.275,0.028,0.275269,0,nan,0.0,4,1,20
112907968,1600844435799619,340350050,1087565154,423659,395743,0.174,0.124723,0.704,0.907,0.57,0.97,95,5,1.065,1.065,-0.003,-0.288,0.015231,0,nan,0.0,4,1,20
113912263,1600844436799618,340350128,1087565151,423618,395702,0.261,0.179287,0.702,0.908,0.57,0.97,95,3,0.833,0.833,-0.023,0.708,6.24617,0,nan,0.0,4,1,20
114910943,1600844437799618,340350205,1087565157,422989,395074,0.219,0.112437,0.702,0.907,0.57,0.97,95,4,1.137,1.133,0.093,0.398,0.0656795,0,nan,0.0,4,1,20
115907949,1600844438799617,340350301,1087565153,423036,395121,0.173,0.133594,0.702,0.909,0.57,0.97,95,5,1.093,1.092,-0.037,-0.402,6.22201,0,nan,0.0,4,1,20
116912278,1600844439799617,340350378,1087565155,423481,395566,0.185,0.185782,0.703,0.909,0.57,0.97,95,4,0.693,0.692,-0.041,-0.419,6.24267,0,nan,0.0,4,1,20
117903938,1600844440799616,340350453,1087565158,423686,395770,0.191,0.190245,0.7,0.909,0.57,0.97,95,4,0.827,0.699,0.441,0.176,0.301035,0,nan,0.0,4,1,20
118909952,1600844441799616,340350509,1087565196,423340,395424,0.198,0.14702,0.697,0.907,0.57,0.97,95,5,0.798,0.724,0.335,0.611,0.467484,0,nan,0.0,4,1,20
