timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
948834169,15188688,34.0348508,108.7566808,1.09496,1.6346,-2.36185,-0.0017292,-0.000995226,0.0,0.129296,-0.117471,-0.00244889,0.0169556,0.00207205,-0.00918655,0.142962,-0.190882,0.533342,-0.535701,0.0764696,0.00580707,418.445,0.10633,0.331406,0.387377,0.136751,0.0961775,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
948844178,15188688,34.0348508,108.7566808,1.09448,1.63408,-2.36181,-0.0017292,-0.000995226,0.0,0.109853,-0.131659,-0.0148478,0.00444089,0.00207205,-0.00918655,0.142962,-2.19306,-1.55443,-0.898403,0.0764993,0.00580707,418.445,0.106256,0.332239,0.387958,0.13717,0.0963497,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
948934284,15188688,34.0348508,108.7566808,1.08295,1.63051,-2.36049,-0.0017292,-0.000995226,0.0,0.132054,-0.11923,-0.00623921,0.0129909,0.00207205,-0.00918655,0.142962,3.68599,-4.13326,2.28782,0.0758863,0.00580707,418.445,0.110156,0.323048,0.385247,0.132686,0.0953266,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
949034405,15188688,34.0348508,108.7566808,1.07295,1.6247,-2.35946,-0.0017292,-0.000995226,0.0,0.117742,-0.164012,-0.0109693,0.00826546,0.00207205,-0.00918655,0.142962,-3.37917,-8.51563,2.11839,0.0753948,0.00580707,418.445,0.109615,0.331127,0.386258,0.136927,0.0966546,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
949134520,15188688,34.0348508,108.7566808,1.06208,1.62049,-2.35981,-0.0017292,-0.000995226,0.0,0.082811,-0.141987,0.00768048,0.0260154,0.00207205,-0.00918655,0.142962,0.230811,4.3829,2.58092,0.0740005,0.00580707,418.445,0.109967,0.322774,0.3865,0.133037,0.0960252,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
949234638,15188688,34.0348508,108.7566808,1.05586,1.61538,-2.36052,-0.0017292,-0.000995226,0.0,0.116389,-0.1506,0.00448726,0.0214961,0.00207205,-0.00918655,0.142962,3.00341,-0.535957,-1.45662,0.072224,0.00580707,418.445,0.110676,0.330867,0.387541,0.137486,0.0974034,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
949334759,15188688,34.0348508,108.7566808,1.04723,1.6126,-2.36275,-0.0017292,-0.000995226,0.0,0.104075,-0.157379,-0.0648322,-0.0499298,0.00207205,-0.00918655,0.142962,2.74272,-0.963236,-5.31768,0.0718826,0.00580707,418.445,0.112909,0.322493,0.385438,0.133526,0.0965629,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
949434877,15188688,34.0348508,108.7566808,1.04015,1.60988,-2.36594,-0.0017292,-0.000995226,0.0,0.0881881,-0.139368,0.0174449,0.030152,0.00207205,-0.00918655,0.142962,1.95231,-1.67665,3.49013,0.0723186,0.00580707,418.445,0.116101,0.330602,0.386495,0.138204,0.0979846,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
949534992,15188688,34.0348508,108.7566808,1.03134,1.60934,-2.36939,-0.0017292,-0.000995226,0.0,0.108082,-0.136052,0.00235622,0.0131969,0.00207205,-0.00918655,0.142962,1.99038,-2.02573,6.23161,0.071785,0.00580707,418.445,0.119551,0.322203,0.384418,0.134205,0.0971386,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
949635110,15188688,34.0348508,108.7566808,1.02711,1.60649,-2.37231,-0.0017292,-0.000995226,0.0,0.10999,-0.14794,0.0021515,0.0109862,0.00207205,-0.00918655,0.142962,0.504082,0.112036,4.25315,0.0698195,0.00580707,418.445,0.122472,0.33033,0.385491,0.139026,0.0985941,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1
