timestamp,safety_switch_available,safety_off,override_available,override_enabled
382699600,1,1,0,0
383700037,1,1,0,0
384700465,1,1,0,0
385703356,1,1,0,0
386723811,1,1,0,0
387744215,1,1,0,0
388759514,1,1,0,0
389764921,1,1,0,0
390765330,1,1,0,0
391768411,1,1,0,0
392771309,1,1,0,0
393776638,1,1,0,0
394797073,1,1,0,0
395800140,1,1,0,0
396800443,1,1,0,0
397818254,1,1,0,0
398823843,1,1,0,0
399844017,1,1,0,0
400861833,1,1,0,0
401867287,1,1,0,0
402887659,1,1,0,0
403893265,1,1,0,0
404896148,1,1,0,0
405896761,1,1,0,0
406916905,1,1,0,0
407919963,1,1,0,0
408920181,1,1,0,0
409920807,1,1,0,0
410921235,1,1,0,0
411921776,1,1,0,0
412939678,1,1,0,0
413959856,1,1,0,0
414965334,1,1,0,0
415965729,1,1,0,0
416986112,1,1,0,0
417989101,1,1,0,0
419009398,1,1,0,0
420027280,1,1,0,0
421047571,1,1,0,0
422052925,1,1,0,0
423053440,1,1,0,0
424058862,1,1,0,0
425059267,1,1,0,0
426062259,1,1,0,0
427062715,1,1,0,0
428065638,1,1,0,0
429068663,1,1,0,0
430069185,1,1,0,0
431089829,1,1,0,0
432094888,1,1,0,0
433096579,1,1,0,0
434117838,1,1,0,0
435135947,1,1,0,0
436149285,1,1,0,0
437149446,1,1,0,0
438154809,1,1,0,0
439157726,1,1,0,0
440163149,1,1,0,0
441168612,1,1,0,0
442171592,1,1,0,0
443172155,1,1,0,0
444172425,1,1,0,0
445193104,1,1,0,0
446193240,1,1,0,0
447208847,1,1,0,0
448229005,1,1,0,0
449229382,1,1,0,0
450249755,1,1,0,0
451252824,1,1,0,0
452258115,1,1,0,0
453263513,1,1,0,0
454281504,1,1,0,0
455299413,1,1,0,0
456304730,1,1,0,0
457307599,1,1,0,0
458310523,1,1,0,0
459313590,1,1,0,0
460314127,1,1,0,0
461317012,1,1,0,0
462317430,1,1,0,0
463317853,1,1,0,0
464338209,1,1,0,0
465358589,1,1,0,0
466358919,1,1,0,0
467379412,1,1,0,0
468379692,1,1,0,0
469382721,1,1,0,0
470395543,1,1,0,0
471396131,1,1,0,0
472411337,1,1,0,0
473419387,1,1,0,0
474434587,1,1,0,0
475453881,1,1,0,0
476475309,1,1,0,0
477493180,1,1,0,0
478493690,1,1,0,0
479499121,1,1,0,0
480499573,1,1,0,0
