timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
360158689,360158689,42,0,0,21687,1501,1520,1093,1921,1503,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,8,0,0,2
360178703,360178703,42,0,0,21687,1501,1520,1093,1921,1503,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,8,0,0,2
360649307,360649307,42,0,0,21291,1501,1499,1093,1530,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
361169799,361169799,42,0,0,21206,1497,1499,1093,1465,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
361663683,361663683,42,0,0,21207,1497,1499,1093,1465,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
362168685,362168685,42,0,0,21206,1497,1499,1093,1465,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
362661464,362661464,42,0,0,21214,1505,1499,1093,1465,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
363159695,363159695,42,0,0,21206,1497,1500,1091,1466,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
363652633,363652633,42,0,0,21207,1497,1500,1092,1466,1504,1086,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
364153112,364153112,42,0,0,21254,1502,1499,1092,1521,1503,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
364663701,364663701,42,0,0,21246,1504,1492,1092,1507,1503,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
365164239,365164239,42,0,0,21327,1497,1499,1169,1509,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
365658156,365658156,42,0,0,21463,1508,1498,1233,1571,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
366155400,366155400,42,0,0,21462,1517,1500,1242,1547,1503,1087,1087,1088,0,0,0,0,0,0,0,0,0,0,8,0,0,2
366665924,366665924,42,0,0,21449,1516,1498,1329,1455,1503,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
367164262,367164262,42,0,0,21562,1544,1499,1390,1486,1503,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
367657026,367657026,42,0,0,21613,1534,1481,1446,1500,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
368157626,368157626,42,0,0,21592,1551,1443,1454,1502,1503,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
368668169,368668169,42,0,0,21736,1548,1499,1501,1535,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
369156519,369156519,42,0,0,21633,1491,1501,1485,1504,1504,1086,1088,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
369659284,369659284,42,0,0,21634,1522,1441,1537,1483,1504,1086,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
370159826,370159826,42,0,0,21726,1550,1466,1538,1521,1504,1086,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
370650393,370650393,42,0,0,21727,1550,1543,1482,1501,1503,1087,1087,1087,0,0,0,0,0,0,0,0,0,0,8,0,0,2
371160976,371160976,42,0,0,21759,1547,1564,1495,1496,1504,1086,1088,1086,0,0,0,0,0,0,0,0,0,0,8,0,0,2
