timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
69487201,2,-1,0,7,0,0,1,0,0,0,0,0,0,0
69498769,2,0,1,7,0,0,1,0,0,0,0,0,0,0
69510077,2,1,2,7,0,0,1,0,0,0,0,0,0,0
73060709,2,1,2,7,0,0,1,0,0,0,0,0,0,0
77039466,2,2,3,7,0,0,1,0,0,0,0,0,0,0
179204907,2,3,4,7,0,0,1,0,0,0,0,0,0,0
225568723,2,4,5,7,0,0,1,0,0,0,0,0,0,0
329659117,2,5,6,7,0,0,1,0,0,0,0,0,0,0
363079629,2,6,6,7,0,0,1,0,1,0,0,0,0,0
390772521,3,-1,0,7,0,0,1,0,0,0,0,0,0,0
