timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
66916776,0.0,1.598,536,-10000,-10000,-10000,-10000,0,0,0,0,1075,1075,1075,1075,1500,1500,0,0,1487,1508,1090,1918,1499,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
67934563,0.0,1.543,536,-10000,-10000,-10000,-10000,0,0,0,0,1075,1075,1075,1075,1500,1500,0,0,1487,1508,1090,1488,1499,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
68952285,0.0,1.592,536,-2006,-5582,-5114,-2370,0,0,0,0,1424,1289,1288,1408,1500,1500,0,0,1487,1507,1321,1490,1499,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
69973276,0.0,1.614,536,2158,2078,2235,1953,0,0,0,0,1606,1602,1609,1597,1500,1500,0,0,1487,1508,1321,1490,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
70996255,0.0,1.601,536,-1736,-1163,-35,731,0,0,0,0,1436,1461,1510,1543,1500,1500,0,0,1487,1508,1321,1491,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
72024423,0.0,1.579,536,238,1022,1208,728,0,0,0,0,1522,1556,1564,1543,1500,1500,0,0,1487,1508,1320,1491,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
73050603,0.0,1.592,536,689,1831,995,1205,0,0,0,0,1542,1592,1555,1564,1500,1500,0,0,1487,1508,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
74072968,0.0,1.592,536,3486,-1110,207,3473,0,0,0,0,1664,1463,1521,1663,1500,1500,0,0,1487,1508,1320,1491,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
75090442,0.0,1.633,536,2189,3751,-1560,668,0,0,0,0,1607,1676,1443,1541,1500,1500,0,0,1487,1507,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
76113974,0.0,1.56,536,2512,-308,425,3227,0,0,0,0,1621,1498,1530,1653,1500,1500,0,0,1487,1507,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
77137363,0.0,1.588,536,498,2090,1010,2122,0,0,0,0,1533,1603,1556,1604,1500,1500,0,0,1487,1508,1320,1491,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
78163180,0.0,1.571,536,3099,3425,-1245,-147,0,0,0,0,1647,1661,1457,1505,1500,1500,0,0,1487,1508,1321,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
79176557,0.0,1.595,536,985,2363,1628,1320,0,0,0,0,1555,1615,1583,1636,1500,1500,0,0,1487,1508,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
80197087,0.0,1.591,536,1075,-1991,1298,4930,0,0,0,0,1559,1424,1568,1659,1500,1500,0,0,1487,1508,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
81215055,0.0,1.562,536,2437,271,-307,1505,0,0,0,0,1618,1523,1498,1577,1500,1500,0,0,1487,1508,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
82240538,0.0,1.607,536,-306,2228,1451,1437,0,0,0,0,1500,1609,1575,1574,1500,1500,0,0,1487,1508,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
83262185,0.0,1.573,536,1300,1247,214,2646,0,0,0,0,1568,1566,1521,1627,1500,1500,0,0,1487,1507,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
84290846,0.0,1.615,536,2835,-683,-514,3394,0,0,0,0,1636,1482,1489,1616,1500,1500,0,0,1487,1508,1321,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
85315526,0.0,1.563,536,724,812,520,2247,0,0,0,0,1543,1547,1521,1610,1500,1500,0,0,1486,1508,1320,1491,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
86331656,0.0,1.61,536,1201,2559,624,1596,0,0,0,0,1564,1623,1539,1581,1500,1500,0,0,1487,1508,1321,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
87350753,0.0,1.596,536,-620,2336,1680,908,0,0,0,0,1484,1614,1585,1636,1500,1500,0,0,1486,1507,1321,1491,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
88379039,0.0,1.596,536,-128,1956,875,1785,0,0,0,0,1506,1579,1550,1590,1500,1500,0,0,1487,1508,1321,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
89408460,0.0,1.599,536,-790,2618,1470,878,0,0,0,0,1477,1626,1576,1573,1500,1500,0,0,1487,1507,1321,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
90430000,0.0,1.604,536,877,563,-161,2297,0,0,0,0,1550,1536,1504,1569,1500,1500,0,0,1487,1507,1321,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
91451751,0.0,1.619,536,-296,1569,895,1809,0,0,0,0,1491,1580,1551,1591,1500,1500,0,0,1487,1508,1321,1493,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
92467502,0.0,1.619,536,-1343,3047,1121,1531,0,0,0,0,1453,1577,1561,1578,1500,1500,0,0,1487,1508,1321,1493,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
93492846,0.0,1.603,536,-233,1390,380,2284,0,0,0,0,1501,1572,1528,1611,1500,1500,0,0,1487,1508,1321,1493,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
94507210,0.0,1.575,536,564,1028,98,2274,0,0,0,0,1536,1556,1526,1611,1500,1500,0,0,1487,1508,1321,1493,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
95528996,0.0,1.571,536,904,-167,-308,2676,0,0,0,0,1598,1504,1498,1629,1500,1500,0,0,1487,1508,1320,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
96551761,0.0,1.601,536,-46,1742,737,1975,0,0,0,0,1509,1588,1544,1598,1500,1500,0,0,1487,1508,1321,1492,1933,1065,1065,1065,1933,1057,1542,1542,1514,1514,1514,1514,998,998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1
