timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
66927095,0.0,0.0,0.0,0.0
66928334,0.0,0.0,0.0,0.0
67129449,0.0,0.0,0.0,0.0
67329343,0.0,0.0,0.0,0.0
67529212,0.0,0.0,0.0,0.0
67729105,0.0,0.0,0.0,0.0
67931520,0.0,0.0,0.0,0.0
68131510,-0.00361362,-0.00178964,1.97195e-05,0.0
68327486,-0.00775965,-0.00337995,-3.51876e-05,0.0
68529844,-0.0124928,-0.00546667,-6.92583e-05,0.0
68729726,-0.0165959,-0.00695077,-0.000123233,0.0
68928484,-0.0206238,-0.00836159,-0.00030469,0.0
69128256,-0.024716,-0.00995066,-0.000411154,0.0
69328116,-0.0285551,-0.0110707,-0.000608105,0.0
69530510,-0.0325918,-0.0119974,-0.00232278,0.0
69730456,-0.0293961,-0.0127498,-0.0028641,0.0
69930278,-0.022817,-0.0136923,-0.00270999,0.0
70130126,-0.017992,-0.0116054,-0.00208439,0.0
70328760,-0.0176757,-0.0135324,-0.00138739,0.0
70528699,-0.0176303,-0.0153419,-0.00134226,0.0
70728525,-0.0186367,-0.0137348,-0.00227552,0.0
70930930,-0.0183691,-0.0134695,-0.00329168,0.0
71130756,-0.0179948,-0.0132273,-0.00420435,0.0
71329433,-0.0182976,-0.0127014,-0.00487905,0.0
71529277,-0.0190828,-0.0122613,-0.00561359,0.0
71729165,-0.0179273,-0.011875,-0.00551131,0.0
71929056,-0.0162124,-0.011524,-0.00540559,0.0
72127683,-0.0167313,-0.0110996,-0.00517067,0.0
72331285,-0.0165406,-0.0111959,-0.00505411,0.0
72529922,-0.0170928,-0.0108632,-0.00491543,0.0
72729812,-0.0174115,-0.0105073,-0.00490228,0.0
72929676,-0.0171797,-0.0111336,-0.00490977,0.0
73129571,-0.0200359,-0.0107057,-0.00793033,0.0
73328224,-0.0217198,-0.00933996,-0.0174882,0.0
73528072,-0.0222481,-0.00962032,-0.023054,0.0
73731689,-0.0189957,-0.00933671,-0.0257388,0.0
73930346,-0.0183474,-0.00981761,-0.0260613,0.0
74130212,-0.0206749,-0.0104621,-0.0255577,0.0
74330092,-0.0221251,-0.0138313,-0.0247077,0.0
74528720,-0.024422,-0.0146857,-0.0240432,0.0
74728596,-0.0245188,-0.0157004,-0.023426,0.0
74928478,-0.0245575,-0.0170216,-0.0230077,0.0
75131012,-0.0240291,-0.0190841,-0.0128705,0.0
75330727,-0.0237656,-0.0194542,-0.00643489,0.0
75530598,-0.0244946,-0.0193974,-0.00313754,0.0
75729258,-0.0246614,-0.0198572,-0.00218175,0.0
75929311,-0.0241992,-0.019717,-0.00262717,0.0
76129006,-0.0235953,-0.0205473,-0.00361913,0.0
76327635,-0.0244298,-0.0208071,-0.00480052,0.0
76531250,-0.0245285,-0.0212516,-0.00585193,0.0
76731288,-0.0247185,-0.0214151,-0.00636494,0.0
76929757,-0.0240664,-0.0217287,-0.00659345,0.0
77129639,-0.0234233,-0.0220439,-0.0060984,0.0
77329572,-0.0264306,-0.022359,-0.00635072,0.0
77528276,-0.0256865,-0.0235163,-0.00661965,0.0
77728037,-0.0256862,-0.0237964,-0.00691426,0.0
77930397,-0.0256209,-0.0242861,-0.00710199,0.0
78130279,-0.0246923,-0.022562,-0.00116893,0.0
78330217,-0.0248472,-0.0226976,0.00696381,0.0
78530038,-0.0265862,-0.0221497,0.0113813,0.0
78728671,-0.0265256,-0.0262587,0.0132772,0.0
78928559,-0.0280837,-0.0248125,0.0136374,0.0
79128562,-0.026684,-0.0238677,0.0130367,0.0
79330792,-0.0219005,-0.0233352,0.0121276,0.0
79530674,-0.0207481,-0.0235711,0.0112405,0.0
79730565,-0.0210926,-0.0247273,0.010503,0.0
79929198,-0.0221131,-0.0252234,0.0100347,0.0
80129075,-0.0229122,-0.0265514,0.00627533,0.0
