timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
65178828,nan,nan,nan,3.08558,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
69504168,2.64876,1.07169,0.112433,3.09544,-0.785398,0.00664095,0.0212488,-0.00624046,4.0736e-07,8.14721e-07,0.00154511,0.0,0.0,0.0,-0.0,-0.0,-0.50992
69524032,2.64888,1.07209,0.112319,3.09073,-0.247307,0.00473138,0.0194758,-0.00492748,-0.140415,-0.0140514,0.0867409,0.0,0.0,0.0,-0.0072383,-0.00072434,-0.505489
69603487,2.6492,1.07348,0.111681,3.09073,0.0,-0.00723015,0.00822518,-0.0100693,-0.105858,-0.244932,-0.19626,0.0,0.0,0.0,-0.00561587,-0.0129939,-0.520207
69702830,2.64923,1.07454,0.108258,3.09073,0.0,-0.0194474,-0.00882021,-0.0534891,-0.126551,-0.256764,-0.617856,0.0,0.0,0.0,-0.00699598,-0.0141944,-0.542132
69802125,2.6492,1.07485,0.0982039,3.09073,0.0,-0.0332562,-0.0255096,-0.141658,-0.176673,-0.265864,-1.14272,0.0,0.0,0.0,-0.0102586,-0.0154375,-0.569428
69901454,2.64918,1.07461,0.0784161,3.09073,0.0,-0.0471348,-0.0365269,-0.267432,-0.204247,-0.260274,-1.62936,0.0,0.0,0.0,-0.0123871,-0.0157849,-0.594736
70000866,2.64916,1.07435,0.045351,3.09073,0.0,-0.0609716,-0.0481878,-0.432065,-0.264163,-0.378385,-2.11509,0.0,0.0,0.0,-0.016701,-0.0239224,-0.619996
70100082,2.64913,1.07411,-0.00377064,3.09073,0.0,-0.0734334,-0.0626685,-0.62929,-0.272194,-0.42795,-2.43166,0.0,0.0,0.0,-0.0176654,-0.027774,-0.63646
70199401,2.64911,1.0739,-0.0717424,3.09073,0.0,-0.081954,-0.0751998,-0.835092,-0.285227,-0.565625,-2.22355,0.0,0.0,0.0,-0.0181966,-0.036085,-0.625637
70303686,2.64909,1.07369,-0.160372,3.09073,0.0,-0.0881046,-0.088232,-1.0089,-0.275831,-0.554097,-1.79512,0.0,0.0,0.0,-0.0169704,-0.0340907,-0.603356
70403035,2.64907,1.07352,-0.258484,3.09073,0.0,-0.0928099,-0.103844,-1.13733,-0.299625,-0.578954,-1.46828,0.0,0.0,0.0,-0.0179155,-0.0346175,-0.586359
70502326,2.64906,1.07336,-0.365597,3.09073,0.0,-0.096621,-0.120204,-1.22942,-0.290597,-0.576762,-1.22378,0.0,0.0,0.0,-0.0169985,-0.0337377,-0.573643
70601643,2.64904,1.07323,-0.478938,3.09073,0.0,-0.0983574,-0.144272,-1.28536,-0.257812,-0.677942,-0.901118,0.0,0.0,0.0,-0.0146396,-0.0384964,-0.556863
70700962,2.64902,1.07311,-0.594306,3.09073,0.0,-0.0978096,-0.168601,-1.30519,-0.235334,-0.632879,-0.550212,0.0,0.0,0.0,-0.0129255,-0.0347601,-0.538614
70800403,2.64901,1.07301,-0.709509,3.09073,0.0,-0.108812,-0.197078,-1.29158,-0.303852,-0.730074,-0.192735,0.0,0.0,0.0,-0.0161125,-0.038714,-0.520023
70899600,2.64899,1.07293,-0.820335,3.09073,0.0,-0.121673,-0.223685,-1.24912,-0.309583,-0.733775,0.101252,0.0,0.0,0.0,-0.0159338,-0.0377664,-0.504734
70998921,2.64898,1.07287,-0.925007,3.09073,0.0,-0.12694,-0.252588,-1.18202,-0.261133,-0.793497,0.287908,0.0,0.0,0.0,-0.0131816,-0.0400544,-0.495027
71098294,2.64897,1.07282,-1.02143,3.09073,0.0,-0.127054,-0.280043,-1.08857,-0.240808,-0.87831,0.589032,0.0,0.0,0.0,-0.0117711,-0.0429332,-0.479367
71197560,2.64896,1.07278,-1.10807,3.09073,0.0,-0.132521,-0.294104,-0.98317,-0.27954,-0.798401,0.414979,0.0,0.0,0.0,-0.0139223,-0.0397639,-0.488419
71296880,2.64895,1.07273,-1.18647,3.09073,0.0,-0.139366,-0.297645,-0.897045,-0.297462,-0.782645,0.0699409,0.0,0.0,0.0,-0.0153593,-0.0404116,-0.506363
71396202,2.64894,1.07269,-1.25784,3.09073,0.0,-0.145604,-0.292253,-0.825898,-0.280911,-0.614283,-0.252971,0.0,0.0,0.0,-0.0149859,-0.0327704,-0.523156
71495515,2.64893,1.07265,-1.3242,3.09073,0.0,-0.150135,-0.280149,-0.769585,-0.313494,-0.566418,-0.41696,0.0,0.0,0.0,-0.0169966,-0.0307092,-0.531684
71604821,2.64892,1.0726,-1.3924,3.09073,0.0,-0.160639,-0.266442,-0.723924,-0.286895,-0.499735,-0.560923,0.0,0.0,0.0,-0.0157737,-0.0274759,-0.539171
71699119,2.64891,1.07257,-1.44793,3.09073,0.0,-0.169163,-0.253288,-0.691942,-0.346332,-0.544903,-0.578358,0.0,0.0,0.0,-0.0190732,-0.0300089,-0.540078
71798438,2.6489,1.07253,-1.50368,3.09073,0.0,-0.173182,-0.241404,-0.663594,-0.294878,-0.442388,-0.622019,0.0,0.0,0.0,-0.0163079,-0.0244658,-0.542348
71897922,2.6489,1.07249,-1.55746,3.09073,0.0,-0.172442,-0.230618,-0.640561,-0.290929,-0.424459,-0.638128,0.0,0.0,0.0,-0.016115,-0.0235114,-0.543186
71997083,2.64889,1.07246,-1.60903,3.09073,0.0,-0.165787,-0.223855,-0.617657,-0.221673,-0.503791,-0.628912,0.0,0.0,0.0,-0.0122676,-0.0278804,-0.542707
72096395,2.64889,1.07243,-1.659,3.09073,0.0,-0.155029,-0.219374,-0.594125,-0.242393,-0.448753,-0.583124,0.0,0.0,0.0,-0.0133555,-0.0247255,-0.540326
72200682,2.64888,1.07239,-1.70918,3.09073,0.0,-0.155906,-0.209719,-0.573452,-0.214678,-0.361487,-0.654387,0.0,0.0,0.0,-0.0119098,-0.0200545,-0.544032
72300008,2.64888,1.07236,-1.75537,3.09073,0.0,-0.161963,-0.197221,-0.554967,-0.301263,-0.453146,-0.622222,0.0,0.0,0.0,-0.0166613,-0.0250612,-0.542359
72399376,2.64887,1.07234,-1.7997,3.09073,0.0,-0.166547,-0.19126,-0.53648,-0.280456,-0.410337,-0.662659,0.0,0.0,0.0,-0.0155707,-0.0227816,-0.544462
72503604,2.64887,1.07231,-1.84436,3.09073,0.0,-0.168199,-0.18661,-0.519003,-0.288361,-0.402244,-0.71901,0.0,0.0,0.0,-0.0160956,-0.0224524,-0.547392
72602923,2.64886,1.07228,-1.88501,3.09073,0.0,-0.170032,-0.184169,-0.502904,-0.303401,-0.435131,-0.728484,0.0,0.0,0.0,-0.0169506,-0.0243102,-0.547885
72702418,2.64886,1.07225,-1.92421,3.09073,0.0,-0.16988,-0.180823,-0.486523,-0.266997,-0.489797,-0.778164,0.0,0.0,0.0,-0.0149871,-0.0274933,-0.550469
72801564,2.64885,1.07223,-1.96158,3.09073,0.0,-0.170536,-0.178783,-0.468268,-0.270671,-0.39129,-0.844335,0.0,0.0,0.0,-0.0152881,-0.0221008,-0.55391
72900881,2.64885,1.07221,-1.99763,3.09073,0.0,-0.169171,-0.175786,-0.449127,-0.27085,-0.398315,-0.166106,0.0,0.0,0.0,-0.0153811,-0.0226197,-0.556894
72995233,2.64885,1.07219,-2.03035,3.09073,0.0,-0.169153,-0.172175,-0.428216,-0.281564,-0.502984,-0.127189,0.0,0.0,0.0,-0.0159442,-0.0284825,-0.555312
73104484,2.64883,1.0722,-2.06763,3.06124,-0.785398,-0.169265,-0.1631,-0.405428,-0.283073,-0.148395,0.00650206,0.0,0.0,0.0,-0.015962,-0.00836776,-0.552988
73203840,2.64867,1.07383,-2.1033,2.98321,-0.785398,-0.17585,-0.125286,-0.375808,-0.309171,0.151651,0.203216,0.0,0.0,0.0,-0.0170644,0.00837022,-0.541274
73303122,2.64833,1.08098,-2.13689,2.90429,-0.785398,-0.184814,-0.0453667,-0.341376,-0.380814,0.611472,0.296328,0.0,0.0,0.0,-0.0208374,0.0334585,-0.536606
73402441,2.64782,1.09716,-2.16721,2.82723,-0.785398,-0.187475,0.0779242,-0.313679,-0.289081,0.983942,0.183838,0.0,0.0,0.0,-0.0160121,0.0545002,-0.543188
73501870,2.64712,1.12672,-2.19533,2.74917,-0.785398,-0.186169,0.249655,-0.289757,-0.356241,1.54359,0.0555558,0.0,0.0,0.0,-0.0199857,0.086598,-0.55017
73601081,2.64623,1.17394,-2.22098,2.67036,-0.785398,-0.182308,0.459415,-0.268219,-0.324236,1.73395,-0.0212095,0.0,0.0,0.0,-0.0183777,0.0982803,-0.555841
73700399,2.64518,1.23789,-2.2433,2.59329,-0.785398,-0.176507,0.644838,-0.246883,-0.368129,1.4214,-0.0485862,0.0,0.0,0.0,-0.0209458,0.0808749,-0.55798
73804684,2.64386,1.32231,-2.26415,2.51045,-0.785398,-0.17397,0.801018,-0.22084,-0.408783,0.936946,-0.0966476,0.0,0.0,0.0,-0.0233522,0.0535242,-0.560214
73894088,2.64257,1.40321,-2.27921,2.44018,-0.785398,-0.173593,0.894752,-0.197899,-0.470767,0.580174,-0.1102,0.0,0.0,0.0,-0.0269317,0.0331907,-0.561014
74003323,2.64081,1.50913,-2.29419,2.35444,-0.785398,-0.173297,0.961037,-0.173044,-0.460395,0.20369,-0.127661,0.0,0.0,0.0,-0.0264984,0.0117235,-0.564433
74102643,2.63905,1.60712,-2.30531,2.27734,-0.785398,-0.171433,0.977797,-0.174168,-0.483588,-0.0737491,-0.501736,0.0,0.0,0.0,-0.0287517,-0.00438474,-0.583068
74201960,2.63723,1.70733,-2.31648,2.19862,-0.785398,-0.17018,0.983518,-0.18315,-0.453373,-0.0977667,-0.518731,0.0,0.0,0.0,-0.0269655,-0.00581492,-0.583268
