timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
304828207,0.325609,-0.325657,-0.272052,5005,0,5.4875,-5.49154,-6.77536,5005,0
304833211,-0.124531,-0.340445,-0.195338,5004,0,-6.09691,-1.79311,-6.07608,5004,0
304838215,-0.816199,-0.052319,0.054357,5004,0,-12.4545,2.50564,-11.9528,5004,0
304843221,0.119025,0.518043,0.14146,5006,0,-7.37721,3.37008,-15.7905,5006,0
304848224,0.610899,0.375721,0.190669,5003,0,4.91441,3.0684,-11.7492,5003,0
304853237,0.0219241,-0.13474,0.0268664,5013,0,11.7564,-3.54354,-9.96766,5013,0
304858231,0.274069,-0.311534,-0.270416,4994,0,5.79622,-5.59292,-6.57926,4994,0
304863238,0.000882586,-0.3775,-0.254386,5007,0,-5.95715,-2.3756,-4.54197,5007,0
304868240,-0.84339,-0.123238,0.0343397,5002,0,-12.5299,2.09158,-12.0181,5002,0
304873247,-0.0126628,0.52112,0.185215,5007,0,-7.23314,3.08036,-17.0894,5007,0
304878258,0.674146,0.358322,0.213661,5011,0,5.46213,2.89262,-12.0545,5011,0
304883256,-0.0192654,-0.159144,0.0291252,4998,0,11.6552,-2.90739,-10.2873,4998,0
304888281,0.201813,-0.274285,-0.284025,5025,0,4.83973,-5.22003,-5.98385,5025,0
304893273,0.0363861,-0.363343,-0.267923,4992,0,-7.0668,-1.81919,-3.49077,4992,0
304898273,-0.831523,-0.115034,0.0795194,5000,0,-12.7344,1.86382,-12.1571,5000,0
304903283,-0.0128113,0.550793,0.209611,5010,0,-5.97515,2.18922,-17.8883,5010,0
304908282,0.66948,0.347784,0.206004,4999,0,6.96825,2.1119,-12.6984,4999,0
304913284,-0.10083,-0.18777,0.0225335,5002,0,11.5202,-2.5614,-10.3277,5002,0
304918285,0.144298,-0.259012,-0.278925,5001,0,3.46455,-4.58132,-5.23745,5001,0
304923291,0.0680665,-0.36771,-0.294318,5006,0,-8.21601,-1.14282,-2.83422,5006,0
304928295,-0.775719,-0.0973423,0.0533439,5004,0,-12.3635,2.01899,-12.6793,5004,0
304933301,0.0673505,0.539462,0.226011,5006,0,-4.11001,2.18117,-17.7404,5006,0
304938306,0.639974,0.274415,0.206564,5005,0,8.0535,0.901318,-13.0812,5005,0
304943313,-0.162856,-0.199678,-0.0373432,5007,0,10.1057,-3.06409,-10.3658,5007,0
304948323,0.0774331,-0.233106,-0.315524,5010,0,1.13877,-3.70644,-4.73274,5010,0
304953319,-0.0590556,-0.284063,-0.236131,4996,0,-9.58574,0.0460193,-4.10629,4996,0
304958321,-0.659456,0.0309395,0.124118,5002,0,-10.4941,2.04052,-12.9351,5002,0
304963328,0.264399,0.409121,0.242952,5007,0,0.00554589,1.77772,-16.7968,5007,0
304968341,0.463809,0.193139,0.168095,5013,0,8.58805,-0.29927,-14.0302,5013,0
304973337,-0.185781,-0.173421,-0.105258,4996,0,7.05075,-3.51948,-8.87012,4996,0
304978339,0.0934374,-0.260226,-0.309315,5002,0,-1.9008,-3.05695,-3.98249,5002,0
304983346,-0.239627,-0.16524,-0.19261,5007,0,-10.2135,0.435693,-6.9364,5007,0
304988350,-0.415016,0.112789,0.136274,5004,0,-7.38868,3.1039,-12.8036,5004,0
304993355,0.4652,0.289567,0.235338,5005,0,3.42966,2.20689,-14.6524,5005,0
304998357,0.243438,0.0881847,0.0799966,5002,0,8.25492,-2.81635,-12.7934,5002,0
305003362,-0.135952,-0.179162,-0.234011,5005,0,2.37364,-3.85901,-8.80082,5005,0
305008366,-0.199514,-0.0807771,-0.227902,5004,0,-6.8506,-0.664267,-7.37497,5004,0
305013371,-0.238906,0.0584638,0.06738,5005,0,-7.70127,2.55704,-8.65721,5005,0
305018375,0.334957,0.132676,0.228294,5004,0,1.06881,2.05698,-9.87134,5004,0
305023382,0.211667,0.0789793,0.0690882,5007,0,6.56066,-2.37046,-12.2384,5007,0
305028384,-0.308432,0.0196085,-0.189683,5002,0,1.30825,-3.69961,-14.4446,5002,0
305033389,-0.217389,0.0176331,-0.187578,5005,0,-5.83392,0.00682006,-10.2817,5005,0
305038393,0.196885,-0.085437,0.0659872,5004,0,-3.73415,3.02765,-6.75995,5004,0
305043398,0.26221,0.0585478,0.184213,5005,0,3.02681,1.01083,-7.81749,5005,0
305048402,0.0813637,0.0684461,-0.0360556,5004,0,3.39005,-3.80283,-9.00327,5004,0
305053407,-0.463562,0.0035275,-0.164785,5005,0,-3.00324,-2.82475,-13.9459,5005,0
305058411,-0.28692,-0.0189634,-0.0125465,5004,0,-5.01715,2.16288,-12.9694,5004,0
305063428,0.460702,0.00100305,0.139331,5017,0,0.626143,2.98081,-9.40958,5017,0
305068420,0.372409,0.10142,0.111065,4992,0,4.61636,-1.76748,-8.09335,4992,0
305073425,-0.291747,-0.00242788,-0.0907201,5005,0,-0.196815,-4.90237,-10.0425,5005,0
305078431,-0.539527,-0.0287563,-0.141718,5006,0,-6.34601,-0.67155,-11.1809,5006,0
305083437,0.0678353,-0.0861764,0.00932895,5006,0,-2.33296,3.10665,-8.59512,5006,0
305088438,0.459181,0.0329702,0.131125,5001,0,4.56434,1.09996,-11.2017,5001,0
305093443,-0.0821117,0.121161,0.038359,5005,0,2.3281,-3.34291,-13.8942,5005,0
305098447,-0.467594,0.093619,-0.104286,5004,0,-4.78152,-2.18933,-10.4551,5004,0
305103453,0.020228,-0.141344,-0.0945213,5006,0,-4.31742,1.78909,-5.4429,5006,0
305108456,0.186583,-0.0723355,0.055049,5003,0,2.17626,1.50577,-8.27798,5003,0
305113464,0.0633193,0.171783,0.0654429,5008,0,3.14853,-2.22424,-15.0284,5008,0
305118465,-0.452574,0.183967,0.0361849,5001,0,-2.19171,-2.73258,-14.5461,5001,0
305123470,-0.00109719,-0.0983919,-0.0686679,5005,0,-3.74869,0.843936,-6.25144,5005,0
305128474,0.0446624,-0.133886,-0.0804649,5004,0,0.0908572,1.81535,-5.82827,5004,0
305133479,0.10001,0.133504,0.0312679,5005,0,1.98741,-0.502188,-12.6182,5005,0
305138483,-0.258891,0.19645,0.151766,5004,0,-0.951046,-2.29361,-14.9607,5004,0
305143498,-0.0817948,-0.0364854,-0.0221831,5015,0,-2.35235,-1.43014,-8.48514,5015,0
305148494,0.0230968,-0.147137,-0.160026,4996,0,-0.193011,0.513089,-5.43038,4996,0
305153499,-0.069985,0.0843628,-0.0762263,5005,0,0.810418,0.963194,-11.4736,5005,0
305158505,-0.234303,0.170562,0.19132,5006,0,-1.19977,0.161709,-14.6301,5006,0
305163506,0.0495584,-0.0744351,0.108906,5001,0,-1.67773,-2.01712,-9.62504,5001,0
305168510,0.0803614,-0.0578145,-0.148843,5004,0,0.143103,-1.41409,-6.33029,5004,0
305173515,-0.263428,0.178557,-0.197224,5005,0,0.0282898,0.0842548,-11.3008,5005,0
305178523,-0.322175,0.145307,0.148291,5008,0,-1.48726,1.71602,-13.997,5008,0
305183523,0.226417,-0.25394,0.230297,5000,0,-0.0960974,-0.879081,-8.80403,5000,0
305188532,0.193044,-0.0195317,-0.105238,5009,0,0.893435,-2.46329,-7.40176,5009,0
305193532,-0.476523,0.277852,-0.253324,5000,0,-1.60966,-0.117678,-10.7164,5000,0
305198537,-0.544925,0.0996006,0.0910822,5005,0,-2.61106,2.32769,-14.0067,5005,0
305203541,0.532128,-0.376632,0.284069,5004,0,0.989881,-0.542952,-10.2663,5004,0
305208551,0.39141,0.0203943,-0.0265884,5010,0,1.97757,-3.26993,-9.35344,5010,0
305213554,-0.775591,0.418955,-0.225593,5003,0,-1.92955,-0.0183931,-8.12338,5003,0
305218555,-0.662631,-0.0786301,-0.010762,5001,0,-3.06152,2.06467,-9.44783,5001,0
305223570,0.735345,-0.569013,0.278254,5015,0,0.92646,0.110366,-12.4702,5015,0
305228564,0.362036,0.189268,0.0837666,4994,0,2.18996,-3.40551,-15.0751,4994,0
305233582,-0.944053,0.675187,-0.155432,5018,0,-1.78608,0.142633,-7.46656,5018,0
305238573,-0.519184,-0.300712,-0.0974079,4991,0,-3.5663,1.70539,-4.02166,4991,0
305243585,0.837626,-0.850181,0.170505,5012,0,1.03988,0.566165,-10.7525,5012,0
305248589,0.330999,0.303039,0.146911,5004,0,3.169,-2.34567,-18.7489,5004,0
305253588,-1.09023,0.961233,-0.0963686,4999,0,-2.05639,-0.20387,-9.24213,4999,0
305258591,-0.475861,-0.488562,-0.139757,5003,0,-4.13994,0.592356,-1.3659,5003,0
305263597,1.09237,-1.16231,0.108258,5006,0,1.13021,0.237183,-11.152,5006,0
305268600,0.196878,0.494237,0.175027,5003,0,3.14686,-1.12144,-21.539,5003,0
305273606,-1.18623,1.16802,-0.067594,5006,0,-2.97698,0.606358,-7.46238,5006,0
305278612,-0.274954,-0.581627,-0.183387,5006,0,-4.43603,0.0667655,1.78096,5006,0
305283615,1.09858,-1.29769,0.0829786,5003,0,1.90191,-0.993366,-12.1628,5003,0
305288618,0.0381359,0.669874,0.211448,5003,0,3.17101,-0.898506,-25.6501,5003,0
305293623,-1.0564,1.22168,-0.0452573,5005,0,-3.45352,0.9595,-6.24126,5005,0
305298627,-0.0725942,-0.62492,-0.260208,5004,0,-4.39505,-0.16033,4.47234,5004,0
305303632,1.00249,-1.22577,0.0602588,5005,0,2.23473,-0.952169,-12.0033,5005,0
305308642,-0.151703,0.691418,0.273326,5010,0,2.79125,-0.322177,-27.0384,5010,0
305313641,-0.891335,1.1153,-0.0492641,4999,0,-3.53823,1.00097,-6.58849,4999,0
