timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
17677125,5.19009,3.28872,1,0,1,0,1,0,0
17687642,4.99189,3.28711,1,0,1,0,1,0,0
18177064,5.14497,3.29194,1,0,1,0,1,0,0
18677155,5.19976,3.29194,1,0,1,0,1,0,0
19177083,5.17397,3.28711,1,0,1,0,1,0,0
19677066,5.19976,3.2855,1,0,1,0,1,0,0
20177066,5.17559,3.29194,1,0,1,0,1,0,0
20677091,5.22393,3.29033,1,0,1,0,1,0,0
21177065,5.22231,3.28711,1,0,1,0,1,0,0
21677239,5.22231,3.29194,1,0,1,0,1,0,0
22177148,5.19492,3.29194,1,0,1,0,1,0,0
22677100,5.22231,3.28711,1,0,1,0,1,0,0
23177065,5.21426,3.28872,1,0,1,0,1,0,0
23677108,5.22393,3.29194,1,0,1,0,1,0,0
24177065,5.22231,3.29194,1,0,1,0,1,0,0
24677168,5.2207,3.28872,1,0,1,0,1,0,0
25177065,5.2207,3.29194,1,0,1,0,1,0,0
25677084,5.19814,3.29194,1,0,1,0,1,0,0
26177212,5.1917,3.28872,1,0,1,0,1,0,0
26677066,5.21748,3.28872,1,0,1,0,1,0,0
27177196,5.21587,3.29194,1,0,1,0,1,0,0
27677065,5.20781,3.29194,1,0,1,0,1,0,0
28177143,5.20781,3.28872,1,0,1,0,1,0,0
28677213,5.20781,3.29355,1,0,1,0,1,0,0
29177093,5.21265,3.29194,1,0,1,0,1,0,0
29677092,5.21587,3.28872,1,0,1,0,1,0,0
30177255,5.2062,3.28711,1,0,1,0,1,0,0
30677119,5.20942,3.29194,1,0,1,0,1,0,0
31177088,5.21265,3.29194,1,0,1,0,1,0,0
31677098,5.21426,3.28872,1,0,1,0,1,0,0
32177091,5.20942,3.28872,1,0,1,0,1,0,0
32677066,5.21104,3.29355,1,0,1,0,1,0,0
33177208,5.20942,3.29194,1,0,1,0,1,0,0
33677547,5.21265,3.29033,1,0,1,0,1,0,0
34177073,5.2062,3.29194,1,0,1,0,1,0,0
34677261,5.20298,3.29194,1,0,1,0,1,0,0
35177355,5.20459,3.28711,1,0,1,0,1,0,0
35677105,5.20781,3.28872,1,0,1,0,1,0,0
36177065,5.20459,3.29355,1,0,1,0,1,0,0
36677527,5.2062,3.29194,1,0,1,0,1,0,0
37177110,5.2062,3.28872,1,0,1,0,1,0,0
37677099,5.20298,3.29194,1,0,1,0,1,0,0
38177345,5.19814,3.29194,1,0,1,0,1,0,0
38677065,5.19814,3.28872,1,0,1,0,1,0,0
39177139,5.1917,3.28711,1,0,1,0,1,0,0
39677672,5.19492,3.29194,1,0,1,0,1,0,0
40177067,5.19814,3.29194,1,0,1,0,1,0,0
40677105,5.19814,3.28872,1,0,1,0,1,0,0
41177479,5.19492,3.2855,1,0,1,0,1,0,0
41677144,5.19492,3.29194,1,0,1,0,1,0,0
42177066,5.19331,3.28711,1,0,1,0,1,0,0
42677507,5.19331,3.28711,1,0,1,0,1,0,0
43177164,5.19814,3.29355,1,0,1,0,1,0,0
43677065,5.19492,3.29194,1,0,1,0,1,0,0
44177278,5.19492,3.28872,1,0,1,0,1,0,0
