timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
21871457,21871131,3932170,3932170,-0.000193405,0.000126024,-3.62168e-05,-0.00250376,0.000460363,-0.0491165,4966,4966,0
21876471,21876110,3932170,3932170,3.69692e-05,1.48843e-05,5.12873e-05,-0.000354012,-8.02605e-05,-0.0486813,4979,4979,0
22375033,22374775,3932170,3932170,0.000532137,0.00038982,-0.000129834,0.00210732,0.000382171,-0.0498808,4985,4985,0
22873953,22873692,3932170,3932170,0.00011173,-0.00135647,0.000159637,-0.00084019,0.00197876,-0.0511775,4986,4986,0
23377848,23377600,3932170,3932170,-0.000237787,0.00046036,0.000711699,-0.000737365,0.00491074,-0.0523738,4986,4986,0
23876761,23876517,3932170,3932170,0.000547782,0.000135976,8.82919e-05,0.0011329,-0.00186362,-0.0501356,4942,4942,0
24375733,24375439,3932170,3932170,0.000607646,-0.00032092,-0.000379947,0.00443835,-0.00928851,-0.0506957,4992,4992,0
24874651,24874363,3932170,3932170,6.34359e-06,-0.000617985,0.000330861,0.0123163,-0.000395415,-0.0491682,4914,4914,0
25373856,25373463,3932170,3932170,-0.00207553,0.00069689,0.000385104,0.00369736,0.00390944,-0.0521289,4970,4970,0
25872450,25872188,3932170,3932170,-0.000986822,0.00015084,0.000486177,0.0177376,-0.0106061,-0.0460216,4986,4986,0
26376367,26376095,3932170,3932170,0.000565511,0.000129403,0.000176796,-0.00631261,-0.000794111,-0.054241,4989,4989,0
26875275,26875015,3932170,3932170,0.000175522,-0.000118615,-0.000122307,-0.00194677,-0.00330808,-0.0491788,4984,4984,0
27374240,27373931,3932170,3932170,-0.000138609,1.16481e-05,0.00108313,0.00387009,-0.000110619,-0.0519078,4988,4988,0
27873141,27872850,3932170,3932170,7.51223e-05,-0.000106194,0.000302955,0.00579491,-0.0137682,-0.0504277,4989,4989,0
28372125,28371829,3932170,3932170,0.000563096,-0.000391118,-0.00086008,-0.00150233,-0.00244018,-0.0462807,4978,4978,0
