timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
40748151,0.999454,0.0130978,-0.0116586,0.0280099,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
40753121,0.999456,0.0130485,-0.0115702,0.0280059,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
40802788,0.999441,0.0130244,-0.011631,0.0285205,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
40852461,0.999461,0.0131891,-0.0115904,0.0277294,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
40902183,0.999446,0.0130957,-0.0115557,0.0283399,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
40951814,0.999451,0.0129826,-0.0118173,0.0280968,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41001471,0.999463,0.013241,-0.0112903,0.0277689,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41051142,0.999439,0.0135306,-0.011448,0.028404,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41100813,0.999453,0.0130323,-0.0118929,0.0279646,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41150489,0.999464,0.0129219,-0.0117431,0.0277052,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41200342,0.999471,0.0131362,-0.0114053,0.0274736,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41254793,0.999474,0.0130453,-0.0114557,0.0273924,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41299496,0.999464,0.0130288,-0.0114683,0.0277662,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41349168,0.99946,0.0133071,-0.0114842,0.0277682,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41398839,0.999458,0.013462,-0.0117702,0.0276224,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
41453583,0.999462,0.0134856,-0.0116886,0.0275117,0.996567,-3.02939e-09,8.11081e-09,-0.0827902,3
