timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
40592075,1600844748999801,340348623,1087565147,422404,394488,0.183,0.715615,0.843,1.106,0.58,0.88,118,6,0.064,-0.058,-0.027,-0.019,0.17135,0,nan,0.0,3,1,19
40792064,1600844749199800,340348622,1087565145,422365,394450,0.19,0.715622,0.841,1.103,0.58,0.88,118,6,0.03,0.012,0.027,-0.025,0.17135,0,nan,0.0,3,1,19
41589937,1600844749999801,340348620,1087565143,422284,394369,0.177,0.71565,0.831,1.092,0.58,0.88,118,7,0.053,0.044,0.028,-0.012,0.17135,0,nan,0.0,3,1,19
42590962,1600844750999800,340348617,1087565137,422156,394241,0.212,0.71569,0.82,1.079,0.55,0.87,118,5,0.02,-0.014,0.014,-0.053,0.17135,0,nan,0.0,3,1,20
43590208,1600844751999800,340348615,1087565130,422025,394110,0.184,0.715726,0.809,1.067,0.58,0.88,118,6,0.055,-0.049,-0.027,-0.001,0.17135,0,nan,0.0,3,1,19
44589978,1600844752999800,340348612,1087565126,421969,394054,0.188,0.715764,0.8,1.055,0.58,0.88,118,6,0.047,-0.021,-0.042,0.032,0.17135,0,nan,0.0,3,1,19
45600946,1600844753999799,340348610,1087565122,421938,394023,0.204,0.715804,0.792,1.045,0.58,0.88,118,6,0.012,-0.008,-0.009,0.02,0.17135,0,nan,0.0,3,1,19
46588933,1600844754999799,340348609,1087565120,421930,394015,0.219,0.715843,0.786,1.036,0.55,0.87,118,7,0.008,0.004,0.007,0.014,0.17135,0,nan,0.0,3,1,20
47591952,1600844755999798,340348607,1087565119,422026,394111,0.193,0.715881,0.779,1.025,0.55,0.87,110,7,0.09,0.09,-0.008,-0.212,0.17135,0,nan,0.0,3,1,20
48592044,1600844756999798,340348638,1087565116,422332,394417,0.151,0.259071,0.769,1.009,0.55,0.87,110,6,0.44,0.44,-0.016,-0.208,6.19743,0,nan,0.0,3,1,20
49590285,1600844757999798,340348699,1087565106,422812,394896,0.154,0.133309,0.761,0.997,0.55,0.87,110,11,0.927,0.919,-0.123,-0.492,6.15007,0,nan,0.0,3,1,20
50600397,1600844758999797,340348769,1087565103,423085,395170,0.155,0.171102,0.754,0.987,0.55,0.87,110,6,0.736,0.734,-0.052,0.029,6.2454,0,nan,0.0,3,1,20
51604034,1600844759999797,340348836,1087565111,423134,395219,0.152,0.177394,0.747,0.976,0.55,0.87,110,7,0.709,0.701,-0.104,-0.095,6.26769,0,nan,0.0,3,1,20
52591083,1600844760999796,340348906,1087565107,423360,395445,0.131,0.197031,0.737,0.963,0.55,0.87,110,6,0.641,0.617,-0.174,-0.262,6.15284,0,nan,0.0,3,1,20
53590933,1600844761999796,340348964,1087565113,423392,395477,0.136,0.260294,0.723,0.95,0.55,0.87,111,6,0.537,0.521,-0.129,0.046,6.19934,0,nan,0.0,3,1,20
54589023,1600844762999796,340349010,1087565111,423371,395456,0.173,0.225008,0.715,0.943,0.55,0.87,111,6,0.612,0.61,-0.04,0.142,6.23083,0,nan,0.0,3,1,20
55590938,1600844763999795,340349088,1087565104,423373,395457,0.145,0.146288,0.709,0.937,0.55,0.87,110,8,0.799,0.794,-0.083,0.047,6.16526,0,nan,0.0,3,1,20
56589104,1600844764999795,340349147,1087565125,423421,395506,0.142,0.156151,0.699,0.927,0.55,0.87,110,8,0.665,0.62,0.24,-0.078,0.363011,0,nan,0.0,3,1,20
57604023,1600844765999794,340349235,1087565143,423291,395376,0.162,0.0819411,0.689,0.916,0.55,0.87,110,9,1.279,1.272,0.135,0.184,0.14468,0,nan,0.0,3,1,20
58579938,1600844766999794,340349341,1087565152,422992,395077,0.171,0.119817,0.684,0.91,0.55,0.87,110,12,1.028,0.99,0.277,0.097,0.179302,0,nan,0.0,3,1,20
59589088,1600844767999794,340349426,1087565175,422812,394896,0.158,0.0972131,0.679,0.903,0.54,0.85,110,10,1.156,1.15,0.118,0.13,0.146343,0,nan,0.0,3,1,21
