timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
39318364,0,0,0,0,98,74,0
40487350,0,0,0,0,98,63,0
41232307,0,0,0,0,100,67,0
42329321,0,0,0,0,98,54,0
43483306,0,0,0,0,98,58,0
44641776,0,0,0,0,89,59,0
45328148,0,0,0,0,100,61,0
46482314,0,0,0,0,100,64,0
47404311,0,0,0,0,95,67,0
48316318,0,0,0,0,100,65,0
49480392,0,0,0,0,96,56,0
50207146,0,0,0,0,98,50,0
51316450,0,0,0,0,93,63,0
52276350,0,0,0,0,96,52,0
53231550,0,0,0,0,100,76,0
54310185,0,0,0,0,100,67,0
55310476,0,0,0,0,98,45,0
56223313,0,0,0,0,100,55,0
57305315,0,0,0,0,100,73,0
58236935,0,0,0,0,100,62,0
59456303,0,0,0,0,98,91,0
60311314,0,0,0,0,98,75,0
61266387,0,0,0,0,100,86,0
62422554,0,0,0,0,91,84,0
63301318,0,0,0,0,96,78,0
64230357,0,0,0,0,100,71,0
65381033,0,0,20,0,93,74,0
66294426,0,0,46,0,98,76,0
67280459,0,0,60,0,100,79,0
68379303,0,0,68,0,97,67,0
69531314,0,0,73,0,96,74,0
70489350,0,0,75,0,92,56,0
71369307,0,0,76,0,96,61,0
72293314,0,0,77,0,95,62,0
73447313,0,0,77,0,93,60,0
74404319,0,0,77,0,100,36,0
75592486,0,0,77,0,96,62,0
76446365,0,0,77,0,94,66,0
77594781,0,0,68,0,97,61,0
78516318,0,0,61,0,94,52,0
79239303,0,0,52,0,98,45,0
80360359,0,0,47,0,86,53,0
81313345,0,0,45,0,100,70,0
82223631,0,0,43,0,100,61,0
83426307,0,0,43,0,93,39,0
84509363,0,0,43,0,94,45,0
85431316,0,0,43,0,98,75,0
86347309,0,0,43,0,96,69,0
87496316,0,0,43,0,91,54,0
88225309,0,0,43,0,100,49,0
89348305,0,0,43,0,100,52,0
90262172,0,0,43,0,100,49,0
91492238,0,0,43,0,98,68,0
92343303,0,0,43,0,100,51,0
93499375,0,0,43,0,98,63,0
94217314,0,0,43,0,98,51,0
95333309,0,0,43,0,96,66,0
96286656,0,0,43,0,97,63,0
97239311,0,0,43,0,100,71,0
98335570,0,0,43,0,98,62,0
99554372,0,0,43,0,90,66,0
100411122,0,0,43,0,95,56,0
101390343,0,0,43,0,100,63,0
102324259,0,0,43,0,94,67,0
103400472,0,0,43,0,96,39,0
104329616,0,0,43,0,98,49,0
105479445,0,0,43,0,91,61,0
106403198,0,0,43,0,100,64,0
107554309,0,0,43,0,91,55,0
108478323,0,0,43,0,94,44,0
109632132,0,0,43,0,97,58,0
110312437,0,0,43,0,93,64,0
111465311,0,0,43,0,93,73,0
112393303,0,0,43,0,85,69,0
113359309,0,0,43,0,100,86,0
114466960,0,0,43,0,96,61,0
115455308,0,0,43,0,93,69,0
116541872,0,0,43,0,94,53,0
117266312,0,0,43,0,100,62,0
118616361,0,0,43,0,86,72,0
119377310,0,0,43,0,98,52,0
120225389,0,0,43,0,98,75,0
121379348,0,0,43,0,100,69,0
122303672,0,0,43,0,98,85,0
123498172,0,0,66,0,96,94,0
124380336,0,0,73,0,100,81,0
125531492,0,0,86,0,98,79,0
126259310,0,0,88,0,98,85,0
