timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
29857525,23641076,34.0348437,108.7567165,-0.563427,-0.363775,-0.285841,0.0122426,0.347281,0.0,0.169816,-0.188108,0.0190014,-0.00823936,-0.252517,0.441897,0.0733227,-6.18756,-0.615368,-3.26827,-0.0558156,-0.0022861,418.062,0.100544,0.381756,0.397534,0.167902,0.113466,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
29867532,23641076,34.0348437,108.7567165,-0.564315,-0.364454,-0.285912,0.0122426,0.347281,0.0,0.131235,-0.154292,0.0104085,-0.0167395,-0.252517,0.441897,0.0733227,-0.743519,4.68716,0.587462,-0.0558086,-0.0022861,418.062,0.100817,0.382624,0.398214,0.168559,0.113688,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
29957625,23641076,34.0348437,108.7567165,-0.579555,-0.36353,-0.285877,0.0122426,0.347281,0.0,0.126046,-0.18515,0.0120496,-0.0146845,-0.252517,0.441897,0.0733227,-8.39857,1.3383,-8.20888,-0.0559777,-0.0022861,418.062,0.101151,0.371012,0.394731,0.162042,0.111651,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30057729,23641076,34.0348437,108.7567165,-0.590846,-0.365278,-0.286914,0.0122426,0.347281,0.0,0.187073,-0.143207,0.0144672,-0.0125247,-0.252517,0.441897,0.0733227,6.98049,0.274078,3.17954,-0.0540704,-0.0022861,418.062,0.102188,0.379376,0.398897,0.173896,0.113598,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30157836,23641076,34.0348437,108.7567165,-0.609812,-0.362845,-0.289008,0.0122426,0.347281,0.0,0.136814,-0.16428,0.012373,-0.0163202,-0.252517,0.441897,0.0733227,-2.23478,0.761666,-4.53571,-0.0548723,-0.0022861,418.062,0.104283,0.368833,0.396086,0.17425,0.111786,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30257937,23641076,34.0348437,108.7567165,-0.622303,-0.363821,-0.290121,0.0122426,0.347281,0.0,0.151266,-0.138984,0.00716332,-0.0219151,-0.252517,0.441897,0.0733227,2.13865,3.26842,-4.04266,-0.0538939,-0.0022861,418.062,0.105395,0.377328,0.39775,0.192397,0.113468,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30358055,23641076,34.0348437,108.7567165,-0.638046,-0.360598,-0.292003,0.0122426,0.347281,0.0,0.142863,-0.137253,0.0501354,0.020007,-0.252517,0.441897,0.0733227,1.23281,-2.19979,5.23253,-0.0548351,-0.0022861,418.062,0.107277,0.36672,0.394958,0.191793,0.111635,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30458145,23641076,34.0348437,108.7567165,-0.649433,-0.357659,-0.294603,0.0122426,0.347281,0.0,0.129318,-0.113835,0.0444909,0.0135026,-0.252517,0.441897,0.0733227,1.25535,-2.51232,9.59814,-0.0536698,-0.0022861,418.062,0.109878,0.375378,0.396649,0.212566,0.113292,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30558249,23641076,34.0348437,108.7567165,-0.665814,-0.353328,-0.29752,0.0122426,0.347281,0.0,0.12528,-0.105565,0.00750656,-0.0236319,-0.252517,0.441897,0.0733227,4.10119,-3.28819,-4.59992,-0.0532721,-0.0022861,418.062,0.112795,0.364759,0.396374,0.207545,0.111712,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30658359,23641076,34.0348437,108.7567165,-0.679329,-0.351109,-0.302448,0.0122426,0.347281,0.0,0.119748,-0.109062,-0.0346433,-0.0672497,-0.252517,0.441897,0.0733227,2.47309,-2.28711,-10.8208,-0.0534953,-0.0022861,418.062,0.117722,0.373615,0.398078,0.228819,0.113355,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30758457,23641076,34.0348437,108.7567165,-0.696654,-0.345494,-0.306194,0.0122426,0.347281,0.0,0.0860565,-0.0719652,-0.00593764,-0.0391344,-0.252517,0.441897,0.0733227,-1.64024,1.9366,2.64668,-0.0532057,-0.0022861,418.062,0.121468,0.36295,0.395226,0.21805,0.111476,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30858561,23641076,34.0348437,108.7567165,-0.710909,-0.339723,-0.309113,0.0122426,0.347281,0.0,0.0682386,-0.053512,0.0225677,-0.010002,-0.252517,0.441897,0.0733227,-1.61413,0.361326,1.36885,-0.0520327,-0.0022861,418.062,0.124387,0.372011,0.396932,0.238285,0.113085,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
30958665,23641076,34.0348437,108.7567165,-0.727469,-0.333956,-0.311607,0.0122426,0.347281,0.0,0.0562115,-0.0525183,-0.0177599,-0.0492426,-0.252517,0.441897,0.0733227,-0.924492,-3.66913,-5.32682,-0.0531615,-0.0022861,418.062,0.126882,0.361203,0.396634,0.222876,0.111479,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31058769,23641076,34.0348437,108.7567165,-0.743004,-0.32796,-0.315536,0.0122426,0.347281,0.0,0.0425021,-0.0169259,-0.0151081,-0.0461457,-0.252517,0.441897,0.0733227,-1.7576,0.996841,3.99529,-0.0531519,-0.0022861,418.062,0.13081,0.370408,0.398397,0.241618,0.113084,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31158876,23641076,34.0348437,108.7567165,-0.761056,-0.32152,-0.319708,0.0122426,0.347281,0.0,0.0337209,-0.013578,0.00678718,-0.0232509,-0.252517,0.441897,0.0733227,1.9594,-1.66895,4.63408,-0.0507121,-0.0022861,418.062,0.134982,0.359687,0.395559,0.224049,0.111208,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31258977,23641076,34.0348437,108.7567165,-0.775743,-0.316721,-0.322881,0.0122426,0.347281,0.0,0.0306298,-0.0165411,-0.00719038,-0.0369443,-0.252517,0.441897,0.0733227,2.27119,-3.37067,-5.36577,-0.0485432,-0.0022861,418.062,0.138155,0.369047,0.397336,0.241193,0.112797,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31359081,23641076,34.0348437,108.7567165,-0.792417,-0.310754,-0.32652,0.0122426,0.347281,0.0,0.0211519,-0.0197544,-0.0494225,-0.0786256,-0.252517,0.441897,0.0733227,0.537395,-4.48134,-8.46073,-0.049175,-0.0022861,418.062,0.141794,0.358272,0.394524,0.222405,0.11093,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31459185,23641076,34.0348437,108.7567165,-0.805891,-0.305639,-0.329813,0.0122426,0.347281,0.0,-0.000208455,0.00631551,-0.0252327,-0.0536589,-0.252517,0.441897,0.0733227,-2.25005,2.23555,3.62596,-0.0514625,-0.0022861,418.062,0.145088,0.367742,0.396313,0.237848,0.112479,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31559289,23641076,34.0348437,108.7567165,-0.820112,-0.29965,-0.334319,0.0122426,0.347281,0.0,-0.00901131,0.0317394,0.0112836,-0.017713,-0.252517,0.441897,0.0733227,-2.26585,3.37998,6.7595,-0.0520309,-0.0022861,418.062,0.149594,0.35696,0.393526,0.218915,0.110615,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31659405,23641076,34.0348437,108.7567165,-0.830817,-0.293906,-0.338425,0.0122426,0.347281,0.0,-0.0128446,0.0493221,0.00562198,-0.0240982,-0.252517,0.441897,0.0733227,-0.233274,1.69744,0.610489,-0.0509785,-0.0022861,418.062,0.153699,0.366511,0.397878,0.232952,0.112436,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31759500,23641076,34.0348437,108.7567165,-0.841797,-0.283046,-0.345223,0.0122426,0.347281,0.0,-0.00872101,0.043996,-0.024923,-0.057135,-0.252517,0.441897,0.0733227,2.06793,-2.01361,-7.59074,-0.0508046,-0.0022861,418.062,0.160498,0.355738,0.395062,0.214525,0.110573,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31859602,23641076,34.0348437,108.7567165,-0.849227,-0.271695,-0.352282,0.0122426,0.347281,0.0,-2.08751e-05,0.0581695,-0.0205537,-0.0552983,-0.252517,0.441897,0.0733227,2.37954,2.06475,-1.63787,-0.0511126,-0.0022861,418.062,0.167557,0.36534,0.396907,0.227234,0.112098,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
31959706,23641076,34.0348437,108.7567165,-0.859769,-0.26362,-0.361408,0.0122426,0.347281,0.0,0.00202645,0.0752455,-0.0182677,-0.0570862,-0.252517,0.441897,0.0733227,2.01729,0.0020786,2.41013,-0.0515441,-0.0022861,418.062,0.176682,0.354585,0.394123,0.209616,0.110237,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32059809,23641076,34.0348437,108.7567165,-0.868181,-0.256187,-0.371925,0.0122426,0.347281,0.0,0.00827404,0.0753927,-0.0308895,-0.0731406,-0.252517,0.441897,0.0733227,2.2161,-3.20961,-2.88245,-0.0503892,-0.0022861,418.062,0.187199,0.364213,0.395972,0.221204,0.111749,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32159919,23641076,34.0348437,108.7567165,-0.879007,-0.251819,-0.381149,0.0122426,0.347281,0.0,-0.0036609,0.0595516,-0.0473603,-0.0919434,-0.252517,0.441897,0.0733227,1.4744,-0.246557,-7.85417,-0.0488809,-0.0022861,418.062,0.196423,0.353481,0.39321,0.204588,0.10991,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32260018,23641076,34.0348437,108.7567165,-0.888194,-0.248833,-0.388613,0.0122426,0.347281,0.0,-0.00753751,0.0649327,-0.0472353,-0.091756,-0.252517,0.441897,0.0733227,-1.8343,1.63739,-1.82219,-0.0480159,-0.0022861,418.062,0.203887,0.363121,0.395068,0.215189,0.111398,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32360122,23641076,34.0348437,108.7567165,-0.899438,-0.245542,-0.392731,0.0122426,0.347281,0.0,-0.0197521,0.0983322,-0.0301307,-0.0716829,-0.252517,0.441897,0.0733227,-0.62541,4.61952,4.33005,-0.0468238,-0.0022861,418.062,0.208006,0.352531,0.392335,0.199832,0.109578,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32460236,23641076,34.0348437,108.7567165,-0.907502,-0.241964,-0.397593,0.0122426,0.347281,0.0,-0.020806,0.0914031,-0.012093,-0.0506724,-0.252517,0.441897,0.0733227,2.34894,2.50088,4.20089,-0.0487075,-0.0022861,418.062,0.212868,0.362186,0.396725,0.209613,0.111338,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32560333,23641076,34.0348437,108.7567165,-0.918089,-0.24011,-0.402604,0.0122426,0.347281,0.0,0.00183725,0.0622119,-0.0402244,-0.0764593,-0.252517,0.441897,0.0733227,4.79162,-2.98177,-8.18952,-0.0495372,-0.0022861,418.062,0.217879,0.35155,0.393961,0.194951,0.109516,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32660438,23641076,34.0348437,108.7567165,-0.926836,-0.239459,-0.406463,0.0122426,0.347281,0.0,-0.0123207,0.0504347,-0.061139,-0.0943748,-0.252517,0.441897,0.0733227,-0.222389,-0.123485,-3.05331,-0.0500993,-0.0022861,418.062,0.221737,0.361187,0.39585,0.204005,0.110989,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32760538,23641076,34.0348437,108.7567165,-0.938209,-0.239059,-0.409829,0.0122426,0.347281,0.0,-0.0335444,0.0805724,-0.0238004,-0.05355,-0.252517,0.441897,0.0733227,-2.77985,5.46366,5.14158,-0.0505848,-0.0022861,418.062,0.225104,0.350686,0.393114,0.19049,0.109179,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32860642,23641076,34.0348437,108.7567165,-0.94682,-0.236672,-0.413515,0.0122426,0.347281,0.0,-0.0253072,0.0952228,-0.0267598,-0.0533088,-0.252517,0.441897,0.0733227,0.254522,1.72822,2.21091,-0.0507147,-0.0022861,418.062,0.22879,0.360312,0.395008,0.198927,0.110636,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
32960746,23641076,34.0348437,108.7567165,-0.956593,-0.235844,-0.415333,0.0122426,0.347281,0.0,-0.0138561,0.0692579,-0.0422768,-0.0641675,-0.252517,0.441897,0.0733227,2.34955,-2.22601,-5.50706,-0.0515225,-0.0022861,418.062,0.230607,0.34977,0.392282,0.186064,0.108843,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33060851,23641076,34.0348437,108.7567165,-0.964419,-0.236669,-0.418142,0.0122426,0.347281,0.0,-0.0159088,0.0476036,-0.0520745,-0.070869,-0.252517,0.441897,0.0733227,-0.883342,-0.636543,-1.65552,-0.0549293,-0.0022861,418.062,0.233417,0.35936,0.394161,0.193969,0.110284,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33160958,23641076,34.0348437,108.7567165,-0.973555,-0.238732,-0.419889,0.0122426,0.347281,0.0,-0.0082549,0.0313138,-0.0259638,-0.0404455,-0.252517,0.441897,0.0733227,2.10288,-1.35912,3.35849,-0.0564157,-0.0022861,418.062,0.235164,0.348893,0.393936,0.18191,0.108767,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33261059,23641076,34.0348437,108.7567165,-0.980324,-0.240547,-0.420466,0.0122426,0.347281,0.0,-0.00306964,0.0339625,-0.0487233,-0.058764,-0.252517,0.441897,0.0733227,1.1436,-2.5319,-8.96469,-0.0547057,-0.0022861,418.062,0.23574,0.358441,0.39585,0.189364,0.110219,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33361169,23641076,34.0348437,108.7567165,-0.987988,-0.241868,-0.420029,0.0122426,0.347281,0.0,-0.00746127,0.0531029,-0.0466721,-0.0523144,-0.252517,0.441897,0.0733227,-2.65174,1.28849,-3.79352,-0.0543373,-0.0022861,418.062,0.235303,0.348068,0.393121,0.178071,0.108446,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33461274,23641076,34.0348437,108.7567165,-0.993485,-0.241978,-0.420424,0.0122426,0.347281,0.0,-0.0190847,0.0666664,-0.020652,-0.0239408,-0.252517,0.441897,0.0733227,-4.05295,2.70882,7.29277,-0.0551573,-0.0022861,418.062,0.235698,0.35757,0.395025,0.18511,0.109864,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33561372,23641076,34.0348437,108.7567165,-1.00135,-0.242748,-0.422189,0.0122426,0.347281,0.0,-0.00860955,0.0554671,-0.00575711,-0.00800984,-0.252517,0.441897,0.0733227,0.00567133,0.476081,1.60291,-0.0553215,-0.0022861,418.062,0.237463,0.347298,0.392316,0.174496,0.108104,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33661476,23641076,34.0348437,108.7567165,-1.00725,-0.244111,-0.424755,0.0122426,0.347281,0.0,0.00278593,0.0324877,-0.0419788,-0.0445334,-0.252517,0.441897,0.0733227,1.93894,-1.82584,-6.1217,-0.0555867,-0.0022861,418.062,0.24003,0.356753,0.394209,0.181246,0.109527,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33761580,23641076,34.0348437,108.7567165,-1.01474,-0.243942,-0.426417,0.0122426,0.347281,0.0,0.00476109,0.0414505,-0.0292616,-0.0312142,-0.252517,0.441897,0.0733227,-0.548949,1.88778,1.05132,-0.0579968,-0.0022861,418.062,0.241691,0.346539,0.391519,0.171219,0.107784,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33861684,23641076,34.0348437,108.7567165,-1.02073,-0.242934,-0.428731,0.0122426,0.347281,0.0,0.00858437,0.0337224,-0.0252207,-0.0268874,-0.252517,0.441897,0.0733227,1.0559,-2.39262,-2.26279,-0.0588309,-0.0022861,418.062,0.244006,0.355944,0.393409,0.17764,0.109187,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
33961788,23641076,34.0348437,108.7567165,-1.02826,-0.243958,-0.430331,0.0122426,0.347281,0.0,0.0133332,0.00466686,-0.0430726,-0.0436142,-0.252517,0.441897,0.0733227,1.0741,-5.39115,-6.30157,-0.055973,-0.0022861,418.062,0.245606,0.345804,0.393204,0.168225,0.107746,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
34061899,23641076,34.0348437,108.7567165,-1.03415,-0.245528,-0.43159,0.0122426,0.347281,0.0,0.0144384,0.0212447,-0.0519109,-0.0512858,-0.252517,0.441897,0.0733227,-0.554043,-0.0790722,-2.85806,-0.0562306,-0.0022861,418.062,0.246864,0.355159,0.395118,0.174436,0.109156,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
34161997,23641076,34.0348437,108.7567165,-1.04227,-0.243618,-0.432269,0.0122426,0.347281,0.0,0.00407553,0.045112,-0.0214598,-0.0189112,-0.252517,0.441897,0.0733227,-3.44688,1.25789,5.44176,-0.0571532,-0.0022861,418.062,0.247543,0.34516,0.392414,0.165558,0.107444,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
34262101,23641076,34.0348437,108.7567165,-1.04804,-0.240634,-0.433249,0.0122426,0.347281,0.0,0.00992922,0.0471926,-0.00516559,-0.00116394,-0.252517,0.441897,0.0733227,-0.881197,-0.502691,0.887866,-0.0567701,-0.0022861,418.062,0.248524,0.354476,0.394297,0.17162,0.10884,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
34362206,23641076,34.0348437,108.7567165,-1.05593,-0.239953,-0.433267,0.0122426,0.347281,0.0,0.0174804,0.023304,-0.0361875,-0.0302833,-0.252517,0.441897,0.0733227,0.0774508,-2.83385,-5.1224,-0.0582175,-0.0022861,418.062,0.248541,0.34454,0.391604,0.16325,0.107154,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
