timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
66634735,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67137969,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67646966,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68154007,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68661067,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69169018,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69676970,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70185063,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70691970,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71198989,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71705970,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72213468,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72722164,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73228812,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73736006,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74243979,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74751055,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75258230,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75767157,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76276025,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76617979,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77118106,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
