timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
42340533,-0.254392,0.0422237,0.455319
42351708,-0.272878,0.0332669,0.458297
42541732,-0.257473,0.0272957,0.422558
42731549,-0.242068,0.0332669,0.458297
42943986,-0.24823,0.0362525,0.45234
43144941,-0.260554,0.0332669,0.461275
43346025,-0.257473,0.0452093,0.485101
43536015,-0.266716,0.0362525,0.449362
43737187,-0.254392,0.0452093,0.47021
43939278,-0.251311,0.0422237,0.464253
44140413,-0.238987,0.0422237,0.455319
44341611,-0.24823,0.0511806,0.473188
44542769,-0.24823,0.0541662,0.47021
44743967,-0.245149,0.0422237,0.443406
44945332,-0.254392,0.0392381,0.473188
45134960,-0.266716,0.0332669,0.425536
45336154,-0.263635,0.0302813,0.425536
45537144,-0.257473,0.0332669,0.428515
45738429,-0.266716,0.0272957,0.425536
45939387,-0.266716,0.02431,0.428515
46140627,-0.269797,0.0213244,0.428515
46341765,-0.27904,0.0213244,0.422558
46542808,-0.272878,0.0153532,0.41958
46745119,-0.251311,0.0153532,0.440428
46935203,-0.242068,0.0153532,0.449362
47147474,-0.232825,0.0153532,0.446384
47337417,-0.229744,0.0153532,0.455319
47538582,-0.254392,0.0123676,0.434471
47739738,-0.285203,0.0272957,0.407667
47940717,-0.297527,0.0690943,0.401711
48141883,-0.300608,0.0780511,0.407667
48343098,-0.300608,0.0661087,0.401711
48544220,-0.303689,0.0183388,0.404689
48745184,-0.297527,0.00639635,0.410645
48935314,-0.297527,0.00341073,0.407667
49147517,-0.300608,0.000425116,0.407667
49337456,-0.297527,0.00341073,0.404689
49539342,-0.297527,-0.0025605,0.404689
49740741,-0.300608,-0.0025605,0.407667
49941920,-0.309851,0.00938196,0.407667
50143233,-0.254392,0.0452093,0.455319
50344151,-0.226663,0.0661087,0.47021
50534321,-0.260554,0.0720799,0.416602
50746663,-0.275959,0.0720799,0.413624
50936517,-0.27904,0.0750655,0.41958
51137384,-0.27904,0.0690943,0.410645
51338702,-0.285203,0.063123,0.407667
51539895,-0.285203,0.063123,0.413624
51741031,-0.285203,0.0601374,0.413624
51941990,-0.288284,0.063123,0.407667
52143018,-0.288284,0.063123,0.407667
52344426,-0.285203,0.063123,0.416602
52535499,-0.288284,0.0661087,0.413624
52747635,-0.285203,0.0661087,0.410645
52937739,-0.282121,0.063123,0.413624
53138875,-0.275959,0.063123,0.416602
53339990,-0.282121,0.063123,0.410645
53541053,-0.285203,0.063123,0.410645
53742183,-0.27904,0.063123,0.41958
53943332,-0.27904,0.0571518,0.410645
54144437,-0.282121,0.0571518,0.410645
54345430,-0.282121,0.0601374,0.410645
54535512,-0.282121,0.0601374,0.410645
54736671,-0.282121,0.0601374,0.413624
54937754,-0.285203,0.0601374,0.407667
55138740,-0.285203,0.0571518,0.413624
55341122,-0.27904,0.0571518,0.413624
55542395,-0.282121,0.0601374,0.410645
55743584,-0.285203,0.063123,0.413624
55944600,-0.27904,0.063123,0.413624
56134618,-0.27904,0.0661087,0.413624
56335749,-0.282121,0.0661087,0.413624
56547889,-0.282121,0.063123,0.404689
56737828,-0.275959,0.063123,0.413624
56939096,-0.27904,0.063123,0.416602
57140149,-0.282121,0.063123,0.413624
57341209,-0.282121,0.063123,0.413624
57542430,-0.282121,0.063123,0.410645
57743646,-0.27904,0.0661087,0.410645
57933543,-0.282121,0.063123,0.410645
58146896,-0.282121,0.063123,0.407667
58336941,-0.282121,0.0601374,0.416602
58538140,-0.282121,0.063123,0.404689
58739284,-0.285203,0.0571518,0.410645
58940433,-0.282121,0.0571518,0.410645
59141445,-0.285203,0.0571518,0.413624
59342631,-0.285203,0.0601374,0.410645
59543708,-0.285203,0.0601374,0.407667
59744764,-0.285203,0.0601374,0.413624
59945782,-0.285203,0.0601374,0.407667
60147124,-0.285203,0.0571518,0.407667
60337223,-0.285203,0.0601374,0.413624
60538455,-0.27904,0.0601374,0.407667
60739562,-0.27904,0.0601374,0.407667
60940673,-0.282121,0.0601374,0.410645
61142754,-0.27904,0.0571518,0.407667
61343974,-0.282121,0.0571518,0.407667
